"行业","corp_name","corp_id","申万一级","申万二级","申万三级"
"白酒","北京顺鑫农业股份有限公司","91110000633712032W","食品饮料","饮料制造","白酒"
"白酒","河北衡水老白干酒业股份有限公司","911311007216760190","食品饮料","饮料制造","白酒"
"白酒","山西杏花村汾酒厂股份有限公司","911400001123599660","食品饮料","饮料制造","白酒"
"白酒","江苏洋河酒厂股份有限公司","9132000074557990XP","食品饮料","饮料制造","白酒"
"白酒","江苏今世缘酒业股份有限公司","91320800139859741X","食品饮料","饮料制造","白酒"
"白酒","安徽古井贡酒股份有限公司","913400001519400083","食品饮料","饮料制造","白酒"
"白酒","安徽口子酒业股份有限公司","91340000744890974R","食品饮料","饮料制造","白酒"
"白酒","安徽金种子酒业股份有限公司","913412007050444417","食品饮料","饮料制造","白酒"
"白酒","安徽迎驾贡酒股份有限公司","91341500756807242A","食品饮料","饮料制造","白酒"
"白酒","酒鬼酒股份有限公司","91433100183806380W","食品饮料","饮料制造","白酒"
"白酒","四川沱牌舍得酒业股份有限公司","915100002063581985","食品饮料","饮料制造","白酒"
"白酒","四川水井坊股份有限公司","9151010072341539XY","食品饮料","饮料制造","白酒"
"白酒","泸州老窖股份有限公司","91510500204706718H","食品饮料","饮料制造","白酒"
"白酒","宜宾五粮液股份有限公司","91511500MA62A0WM8P","食品饮料","饮料制造","白酒"
"白酒","贵州茅台酒股份有限公司","9152000071430580XT","食品饮料","饮料制造","白酒"
"白酒","甘肃皇台酒业股份有限公司","91620000710265652T","食品饮料","饮料制造","白酒"
"白酒","金徽酒股份有限公司","91621200695632863J","食品饮料","饮料制造","白酒"
"白酒","新疆伊力特实业股份有限公司","91650000710892189L","食品饮料","饮料制造","白酒"
"白色家电","四川长虹电子控股集团有限公司","510700000004075","家用电器","白色家电","NaN"
"白色家电","上海海立(集团)股份有限公司","91310000607232705D","家用电器","白色家电","NaN"
"白色家电","上海开能环保设备股份有限公司","91310000703199757R","家用电器","白色家电","小家电"
"白色家电","上海飞科电器股份有限公司","91310000789541823F","家用电器","白色家电","小家电"
"白色家电","苏州中科创新型材料股份有限公司","91320000743904529Q","家用电器","白色家电","家电零部件"
"白色家电","江苏立霸实业股份有限公司","91320200250225560N","家用电器","白色家电","家电零部件"
"白色家电","无锡小天鹅股份有限公司","91320200704046760T","家用电器","白色家电","洗衣机"
"白色家电","莱克电气股份有限公司","91320500733338412Q","家用电器","白色家电","小家电"
"白色家电","常熟市天银机电股份有限公司","91320500741304044W","家用电器","白色家电","家电零部件"
"白色家电","日出东方太阳能股份有限公司","913207001389723206","家用电器","白色家电","家电零部件"
"白色家电","镇江东方电热科技股份有限公司","91321100718698874L","家用电器","白色家电","家电零部件"
"白色家电","江苏春兰制冷设备股份有限公司","913212006079000565","家用电器","白色家电","空调"
"白色家电","江苏秀强玻璃工艺股份有限公司","91321300732499521G","家用电器","白色家电","家电零部件"
"白色家电","浙江三花智能控制股份有限公司","913300006096907427","家用电器","白色家电","家电零部件"
"白色家电","浙江爱仕达电器股份有限公司","91330000610004375Y","家用电器","白色家电","小家电"
"白色家电","浙江盾安人工环境股份有限公司","91330000704512063Y","家用电器","白色家电","NaN"
"白色家电","浙江苏泊尔股份有限公司","913300007046976861","家用电器","白色家电","小家电"
"白色家电","杭州老板电器股份有限公司","91330000725252053F","家用电器","白色家电","小家电"
"白色家电","浙江美大实业股份有限公司","913300007345204358","家用电器","白色家电","小家电"
"白色家电","浙江康盛股份有限公司","9133000074507862XQ","家用电器","白色家电","NaN"
"白色家电","杭州星帅尔电器股份有限公司","913301007161431629","家用电器","白色家电","家电零部件"
"白色家电","奇精机械股份有限公司","913302002543897812","家用电器","白色家电","家电零部件"
"白色家电","浙江朗迪集团股份有限公司","91330200704803223P","家用电器","白色家电","家电零部件"
"白色家电","宁波圣莱达电器股份有限公司","91330200756283354Q","家用电器","白色家电","小家电"
"白色家电","奥克斯集团有限公司","913302127301453080","家用电器","白色家电","NaN"
"白色家电","浙江三星新材股份有限公司","91330500704459485N","家用电器","白色家电","家电零部件"
"白色家电","星星集团有限公司","9133100272004401XP","家用电器","白色家电","NaN"
"白色家电","合肥美菱股份有限公司","9134000014918555XK","家用电器","白色家电","冰箱"
"白色家电","合肥市国有资产控股有限公司","913401001491752983","家用电器","白色家电","NaN"
"白色家电","惠而浦(中国)股份有限公司","91340100610307130N","家用电器","白色家电","洗衣机"
"白色家电","安徽乐金健康科技股份有限公司","91340100610307675N","家用电器","白色家电","小家电"
"白色家电","安徽聚隆传动科技股份有限公司","91341800153442926M","家用电器","白色家电","家电零部件"
"白色家电","奥佳华智能健康科技集团股份有限公司","91350200260060034P","家用电器","白色家电","小家电"
"白色家电","华意压缩机股份有限公司","9136020070562223XY","家用电器","白色家电","家电零部件"
"白色家电","九阳股份有限公司","91370100742442772T","家用电器","白色家电","小家电"
"白色家电","澳柯玛股份有限公司","91370200163621493Q","家用电器","白色家电","冰箱"
"白色家电","青岛海尔股份有限公司","91370200264574251E","家用电器","白色家电","冰箱"
"白色家电","青岛三特电器集团有限公司","913702826937977016","家用电器","白色家电","0"
"白色家电","皇明洁能控股有限公司","9137140016727461XX","家用电器","白色家电","0"
