指标名称,产量:卷烟:当月值,卷烟:工商库存,卷烟:销量:当月值,产量:包装专用设备:当月值,申万行业指数:包装印刷,工业增加值:印刷和记录媒介的复制业:当月同比,广东:规模以上工业增加值:制造业:印刷和记录媒介复制业:当月值,上海:规模以上工业总产值:印刷业和记录媒介的复制:当月值,用电量:印刷业和记录媒介的复制:当月值,进出口金额:印刷设备器材:当月值,出口数量:印刷品:当月值,进口金额:印刷器材:当月值,进口金额:印刷设备:辅机零件:非数字用:当月值,进口金额:印刷设备:印刷机:胶印机:当月值,进口金额:印刷器材:油墨:当月值,进口金额:印刷器材:胶印版材:当月值,进口金额:印刷器材:柔性印刷版:当月值,进口金额:印刷设备器材:软片:当月值,出口金额:印刷设备器材:当月值,出口金额:印刷设备:印刷机:胶印机:当月值,出口金额:印刷设备:辅机零件:当月值,出口金额:印刷器材:油墨:当月值,产量:初级形态的塑料:当月值,橡胶和塑料制品业:营业收入:累计值,申万行业指数:塑料,申万行业指数:印制电路板
2010-01-04,,,,,2466.11 ,,,,,,,,,,,,,,,,,,,,2337.20 ,1858.41 
2010-01-05,,,,,2468.85 ,,,,,,,,,,,,,,,,,,,,2348.49 ,1949.48 
2010-01-06,,,,,2464.92 ,,,,,,,,,,,,,,,,,,,,2345.22 ,1942.78 
2010-01-07,,,,,2422.25 ,,,,,,,,,,,,,,,,,,,,2293.41 ,1896.61 
2010-01-08,,,,,2435.19 ,,,,,,,,,,,,,,,,,,,,2287.63 ,1976.85 
2010-01-11,,,,,2465.37 ,,,,,,,,,,,,,,,,,,,,2282.24 ,2013.79 
2010-01-12,,,,,2552.64 ,,,,,,,,,,,,,,,,,,,,2336.76 ,2015.74 
2010-01-13,,,,,2514.51 ,,,,,,,,,,,,,,,,,,,,2310.30 ,2024.83 
2010-01-14,,,,,2574.90 ,,,,,,,,,,,,,,,,,,,,2404.00 ,2068.11 
2010-01-15,,,,,2593.32 ,,,,,,,,,,,,,,,,,,,,2451.78 ,2071.90 
2010-01-18,,,,,2621.28 ,,,,,,,,,,,,,,,,,,,,2501.82 ,2129.34 
2010-01-19,,,,,2597.14 ,,,,,,,,,,,,,,,,,,,,2491.86 ,2104.32 
2010-01-20,,,,,2478.31 ,,,,,,,,,,,,,,,,,,,,2426.56 ,1947.37 
2010-01-21,,,,,2521.10 ,,,,,,,,,,,,,,,,,,,,2471.83 ,1947.85 
2010-01-22,,,,,2476.67 ,,,,,,,,,,,,,,,,,,,,2384.88 ,1891.57 
