"","time","actual","pred"
"1",2011 Q1,37975290.0497059,31908615.0372014
"2",2011 Q2,37312837.3779412,38847800.3839208
"3",2011 Q3,34884764.0290909,40205341.8486378
"4",2011 Q4,33406434.9779412,26949471.5880399
"5",2012 Q1,29557269.6964189,33369329.6261578
"6",2012 Q2,31673303.244527,31674472.6358048
"7",2012 Q3,30341081.6410135,31983257.4729829
"8",2012 Q4,25545418.0793919,20810663.5324586
"9",2013 Q1,31936959.9229279,33503740.5859918
"10",2013 Q2,35691087.4437387,35201796.1582556
"11",2013 Q3,35533175.4437387,37658594.543528
"12",2013 Q4,10451805.2495946,20552279.5353421
"13",2014 Q1,41121048.7595721,39399316.0239223
"14",2014 Q2,41876898.4852477,40204356.3349879
"15",2014 Q3,41652830.3765476,41987258.665694
"16",2014 Q4,32627527.4115,30238314.4140128
"17",2015 Q1,42591546.1603095,36378472.8218209
"18",2015 Q2,48002106.6845952,46812248.8293258
"19",2015 Q3,39158336.5003095,44728553.1644043
"20",2015 Q4,45683297.4972794,43637287.2450507
"21",2016 Q1,47189554.0609804,48196437.0109796
"22",2016 Q2,45418253.4545098,52508712.0674625
"23",2016 Q3,54648158.6156863,48732476.708917
"24",2016 Q4,29568129.6279412,35094596.5287442
"25",2017 Q1,54454989.9114706,47718711.9383366
