"","time","actual","pred"
"1",2011 Q1,307457160.309289,293730621.052518
"2",2011 Q2,319978855.065172,323005797.330399
"3",2011 Q3,319007938.778207,323416023.990831
"4",2011 Q4,342948351.981397,342647372.357214
"5",2012 Q1,296431984.345608,308278882.578156
"6",2012 Q2,322654590.61723,315200992.195209
"7",2012 Q3,347090689.208986,352662975.404728
"8",2012 Q4,340913725.46223,357713903.454965
"9",2013 Q1,343646899.794212,350822725.875383
"10",2013 Q2,363625493.575023,371730012.671705
"11",2013 Q3,383538708.360158,388718224.005451
"12",2013 Q4,381902297.523581,394353489.175245
"13",2014 Q1,382882850.191869,365721132.24728
"14",2014 Q2,399695321.37295,377741247.565911
"15",2014 Q3,433393245.157548,402583763.355149
"16",2014 Q4,426780295.473929,425020679.681196
"17",2015 Q1,419307653.62131,414674456.476043
"18",2015 Q2,437630602.450452,440877681.205759
"19",2015 Q3,443447717.056167,466166707.470386
"20",2015 Q4,487448251.906544,484001333.086508
"21",2016 Q1,463686456.220245,463208469.117427
"22",2016 Q2,458277198.082892,467968856.634994
"23",2016 Q3,529760685.500686,522691289.835207
"24",2016 Q4,563083970.891765,539340115.484317
"25",2017 Q1,491949527.101176,514263717.796645
