指标名称,申万行业指数:半导体,申万行业指数:市盈率:半导体,申万行业指数:总市值:半导体,申万行业指数:半导体材料,Wind行业指数:半导体与半导体生产设备,Wind行业指数:半导体产品与半导体设备,Wind行业指数:半导体设备,Wind行业指数:半导体产品,出厂价(含税):多晶硅片(A片):国内主流厂商平均,出厂价(含税):八寸单晶硅片(A片):国内主流厂商平均,出厂价(含税):六寸半单晶硅片(A片):国内主流厂商平均,进口金额:半导体器件封装材料(32141010):当月值,半导体:销售额:合计:当月值,半导体:销售额:全球:三个月移动平均值,半导体:销量:全球:当季值,费城半导体指数,台湾半导体行业指数,华强北指数:半导体二极管,华强北指数:半导体三极管,美国:产能利用率:制造业(NAICS):半导体及相关设备:季调,日本:工业生产指数:半导体和平板显示器制造设备,现货价(周平均价):单晶硅片(156mm×156mm),出货量:硅片:全球,含税价:无取向硅钢片:0.5mm:上海,出口交货值:计算机、通信和其他电子设备制造业:当月值,计算机、通信和其他电子设备制造业:营业收入:累计值,PPI:计算机、通信和其他电子设备制造业:当月同比,PPI:计算机、通信和其他电子设备制造业:当月同比,Wind行业指数:电子设备、仪器和元件,企业家信心指数:预期指数:计算机、通信和其他电子设备制造业,市场价:进口硅料:国内,申万行业指数:LED,价格:液晶显示器面板:21.5寸:LED:FHD,出厂价(含税):国产原生多晶硅(一级料):国内主流厂商平均,经销价(不含税):进口原生多晶硅:国外主流厂商平均,用电量:交通运输、电气、电子设备制造业:轻工业:当月值
2010-01-04,977.14 ,276.11 ,538.17 ,581.52 ,981.03 ,981.03 ,,980.54 ,,,,,,,,366.08 ,85.78 ,,,,,,,,,,,,1603.95 ,,,1143.25 ,,,,
2010-01-05,1016.19 ,287.14 ,559.63 ,598.21 ,1011.63 ,1011.63 ,,1012.17 ,,,,,,,,366.42 ,85.41 ,,,,,,,,,,,,1638.02 ,,,1175.46 ,,,,
2010-01-06,1027.59 ,290.37 ,562.56 ,595.85 ,1020.83 ,1020.83 ,,1022.18 ,,,,,,,,366.34 ,86.52 ,,,,,,,,,,,,1635.73 ,,,1205.20 ,,,,
2010-01-07,1009.81 ,285.34 ,551.49 ,593.87 ,995.64 ,995.64 ,,996.68 ,,,,,,,,362.30 ,85.85 ,,,,,,,,,,,,1592.43 ,,,1219.66 ,,,,
2010-01-08,1051.88 ,297.23 ,571.81 ,600.53 ,1019.76 ,1019.76 ,,1022.33 ,,,,,,,,367.68 ,85.36 ,,,,,,,,,,,,1631.99 ,,,1255.56 ,,,,
2010-01-11,1082.05 ,305.76 ,589.81 ,634.92 ,1042.70 ,1042.70 ,,1045.92 ,,,,,,,,366.62 ,85.89 ,,,,,,,,,,,,1666.14 ,,,1278.13 ,,,,
2010-01-12,1084.95 ,306.38 ,592.41 ,638.18 ,1052.36 ,1052.36 ,,1055.45 ,,,,,,,,353.45 ,85.31 ,,,,,,,,,,,,1680.99 ,,,1318.29 ,,,,
2010-01-13,1073.67 ,303.19 ,587.24 ,653.24 ,1043.86 ,1043.86 ,,1047.27 ,,,,,,,,359.09 ,84.06 ,,,,,,,,,,,,1672.63 ,,,1303.23 ,,,,
2010-01-14,1095.74 ,309.42 ,598.51 ,665.53 ,1066.94 ,1066.94 ,,1069.69 ,,,,,,,,356.96 ,85.39 ,,,,,,,,,,,,1735.78 ,,,1319.11 ,,,,
2010-01-15,1086.90 ,306.93 ,595.94 ,654.45 ,1068.16 ,1068.16 ,,1071.22 ,,,,,,,,344.67 ,86.21 ,,,,,,,,,,,,1740.25 ,,,1313.46 ,,,,
