指标名称,申万行业指数:商业贸易,社会消费品零售总额:当月值,社会消费品零售总额:城镇:当月值,社会消费品零售总额:乡村:当月值,社会消费品零售总额:商品零售:当月值,社会消费品零售总额:餐饮收入:当月值,消费者信心指数(月),消费者满意指数(月),消费者预期指数(月),全国百家大型零售企业:零售额:当月同比,义乌中国小商品指数:总价格指数,义乌中国小商品指数:景气指数,义乌中国小商品指数:规模指数,义乌中国小商品指数:顾客人气指数,规模以上快递业务收入:当月值,阿里巴巴:交易额:当季值,阿里巴巴:交易额:天猫:当季值,阿里巴巴:交易额:淘宝:当季值,京东商城:交易额:当季值,城镇居民家庭人均可支配收入,税收收入:当月值,国库现金管理商业银行定期存款:中标利率:3个月
2010-01-03,,,,,,,,,,,100.46 ,,,,,,,,,,,
2010-01-04,4406.33 ,,,,,,,,,,,,,,,,,,,,,
2010-01-05,4421.32 ,,,,,,,,,,,,,,,,,,,,,
2010-01-06,4388.49 ,,,,,,,,,,,,,,,,,,,,,
2010-01-07,4285.96 ,,,,,,,,,,,,,,,,,,,,,
2010-01-08,4335.22 ,,,,,,,,,,,,,,,,,,,,,
2010-01-10,,,,,,,,,,,100.48 ,,,,,,,,,,,
2010-01-11,4333.31 ,,,,,,,,,,,,,,,,,,,,,
2010-01-12,4417.52 ,,,,,,,,,,,,,,,,,,,,,
2010-01-13,4358.40 ,,,,,,,,,,,,,,,,,,,,,
2010-01-14,4494.09 ,,,,,,,,,,,,,,,,,,,,,
2010-01-15,4506.43 ,,,,,,,,,,,,,,,,,,,,,
2010-01-17,,,,,,,,,,,100.43 ,,,,,,,,,,,
2010-01-18,4622.07 ,,,,,,,,,,,,,,,,,,,,,
2010-01-19,4634.88 ,,,,,,,,,,,,,,,,,,,,,
2010-01-20,4464.05 ,,,,,,,,,,,,,,,,,,,,,
2010-01-21,4499.87 ,,,,,,,,,,,,,,,,,,,,,
2010-01-22,4372.49 ,,,,,,,,,,,,,,,,,,,,,
2010-01-24,,,,,,,,,,,100.68 ,,,,,,,,,,,
2010-01-25,4312.74 ,,,,,,,,,,,,,,,,,,,,,
2010-01-26,4164.95 ,,,,,,,,,,,,,,,,,,,,,
2010-01-27,4129.02 ,,,,,,,,,,,,,,,,,,,,,
2010-01-28,4185.90 ,,,,,,,,,,,,,,,,,,,,,
2010-01-29,4235.24 ,,,,,,,,,,,,,,,,,,,,,
2010-01-31,,12718.10 ,10517.00 ,2201.10 ,11292.50 ,1425.60 ,104.70 ,104.80 ,104.60 ,,100.64 ,1095.77 ,844.60 ,869.30 ,44.80 ,,,,,,7923.91 ,
2010-02-01,4207.03 ,,,,,,,,,,,,,,,,,,,,,
