"","time","actual","pred"
"1",2011 Q1,100173535.320758,97969563.6115044
"2",2011 Q2,94415949.8383712,101510398.517472
"3",2011 Q3,95888638.0916284,104178852.740277
"4",2011 Q4,103835647.209489,78877573.8720876
"5",2012 Q1,95056311.4719112,94056826.3855295
"6",2012 Q2,80171493.4664377,94705790.1368035
"7",2012 Q3,77842514.1295199,82937118.0873973
"8",2012 Q4,105860077.982745,106531661.261312
"9",2013 Q1,113418067.561259,124050356.190929
"10",2013 Q2,109280693.927925,88617958.7668611
"11",2013 Q3,87017485.3849561,76764330.4989723
"12",2013 Q4,113467128.641995,100329010.170146
"13",2014 Q1,106300587.153872,116361530.898703
"14",2014 Q2,97234414.2175174,90699689.2187705
"15",2014 Q3,74633391.439184,102059880.10265
"16",2014 Q4,110587814.715469,119676254.85206
"17",2015 Q1,131893484.210435,145959965.614438
"18",2015 Q2,158861753.76489,154047728.352552
"19",2015 Q3,70483454.3523626,94787654.8288647
"20",2015 Q4,22228876.1484615,37264583.6828551
"21",2016 Q1,95631195.9104682,91564861.7942136
"22",2016 Q2,103226189.019157,106660400.589565
"23",2016 Q3,115873752.960717,106317384.558831
"24",2016 Q4,135006128.165119,115752707.852838
"25",2017 Q1,151880990.163797,118587492.662809
