"","time","actual","pred"
"1",2011 Q1,2786465576.22775,2876226831.7786
"2",2011 Q2,2689577845.21878,2720204787.20697
"3",2011 Q3,2884028585.47534,2781129937.13846
"4",2011 Q4,2980285638.48129,3128174445.97101
"5",2012 Q1,2992333288.81465,3016618747.30871
"6",2012 Q2,2892814433.21048,2917876241.60117
"7",2012 Q3,3059445253.85493,2984895039.8764
"8",2012 Q4,3339736912.14946,3367787427.89912
"9",2013 Q1,3321695074.95807,3206420970.76676
"10",2013 Q2,3247841259.8771,3124176271.82742
"11",2013 Q3,3221538358.13696,3204055577.04112
"12",2013 Q4,3801154253.31034,3620037268.91577
"13",2014 Q1,3334662396.82798,3415977495.0242
"14",2014 Q2,3259407627.19472,3343441832.81357
"15",2014 Q3,3296216866.75525,3425779753.24247
"16",2014 Q4,3916069755.66786,3868341160.95844
"17",2015 Q1,3700775989.75853,3697803253.06098
"18",2015 Q2,3665431476.44027,3624581535.95932
"19",2015 Q3,3808908095.30148,3732284975.96316
"20",2015 Q4,4009953860.36863,4243127356.72909
"21",2016 Q1,3981850152.60064,3929271977.64288
"22",2016 Q2,3843293963.41893,3858345673.27133
"23",2016 Q3,3833616801.54473,3985348940.4876
"24",2016 Q4,4617877365.73845,4534692751.96053
"25",2017 Q1,4314248077.56279,4192628654.45035
