"","time","actual","pred"
"1",2011 Q1,109860266.33798,32243346.9990131
"2",2011 Q2,66048211.0849216,112506015.262449
"3",2011 Q3,145219169.264469,143390497.692789
"4",2011 Q4,227624716.168176,258702655.503263
"5",2012 Q1,-39186588.2540278,-72521141.89048
"6",2012 Q2,121970908.085861,133698090.691629
"7",2012 Q3,257245624.635694,272208371.776184
"8",2012 Q4,173324686.219806,279254043.478124
"9",2013 Q1,88102693.6247606,15679278.7923475
"10",2013 Q2,41310763.2801507,23919836.5945359
"11",2013 Q3,135565420.349832,112041276.187844
"12",2013 Q4,316856759.754991,344371904.461864
"13",2014 Q1,3562932.36822807,5690019.05176924
"14",2014 Q2,21374895.1466491,55088108.7899369
"15",2014 Q3,17113095.9694386,5626482.23471957
"16",2014 Q4,232171837.495745,171403001.825714
"17",2015 Q1,-2044859.82255377,-5281788.20219254
"18",2015 Q2,148550620.706005,84694351.0102444
"19",2015 Q3,167358788.98269,222973696.23099
"20",2015 Q4,364442175.268324,326306917.58949
"21",2016 Q1,-55284838.7414074,6502475.87866346
"22",2016 Q2,90429202.9776245,79778198.9324176
"23",2016 Q3,213776139.631569,180037914.711166
"24",2016 Q4,360959732.236667,295341384.285253
"25",2017 Q1,-232578697.042152,-109881282.158292
