"","time","actual","pred"
"1",2011 Q1,2910917973.86227,2890257638.81076
"2",2011 Q2,2806673134.95227,2819631067.40251
"3",2011 Q3,2995303622.50644,2923175074.56891
"4",2011 Q4,3080336241.7327,3148832247.02936
"5",2012 Q1,3330536448.21316,3274004131.9683
"6",2012 Q2,3212477462.99433,3262968565.22911
"7",2012 Q3,3285302212.78624,3225910221.31182
"8",2012 Q4,3562178394.5129,3568654165.47105
"9",2013 Q1,3456917535.23195,3508261700.21055
"10",2013 Q2,3369235379.38935,3415380940.71871
"11",2013 Q3,3317576725.40208,3384548019.71217
"12",2013 Q4,3912147530.90551,3659283056.13758
"13",2014 Q1,3641583297.63892,3635891459.39098
"14",2014 Q2,3543303352.995,3556736394.0468
"15",2014 Q3,3557219773.54861,3590586915.46052
"16",2014 Q4,3960096354.74047,3947074807.3356
"17",2015 Q1,3827792228.24712,3876695532.85924
"18",2015 Q2,3764098979.59438,3724420407.45307
"19",2015 Q3,3866533699.95427,3796379640.98027
"20",2015 Q4,4044880690.95068,4097947573.83316
"21",2016 Q1,4103078718.18322,4168522928.90595
"22",2016 Q2,3936667067.02812,4011578788.64889
"23",2016 Q3,3910902749.02345,4155863022.39852
"24",2016 Q4,4728045286.88917,4570807725.36209
"25",2017 Q1,4475519810.42734,4385912646.46402
