"corp_name","report_period","营业总收入"
"北京燕京啤酒股份有限公司",2010-03-31,2086990150
"北京燕京啤酒股份有限公司",2010-06-30,5035443546.18
"北京燕京啤酒股份有限公司",2010-09-30,8956326999.18
"北京燕京啤酒股份有限公司",2010-12-31,10298391447.4
"北京燕京啤酒股份有限公司",2011-03-31,2581318517.67
"北京燕京啤酒股份有限公司",2011-06-30,6189250029.48
"北京燕京啤酒股份有限公司",2011-09-30,10373904786.16
"北京燕京啤酒股份有限公司",2011-12-31,12136836613.27
"北京燕京啤酒股份有限公司",2012-03-31,2612626527.41
"北京燕京啤酒股份有限公司",2012-06-30,6765511085.65
"北京燕京啤酒股份有限公司",2012-09-30,11217328032.15
"北京燕京啤酒股份有限公司",2012-12-31,13033346502.65
"北京燕京啤酒股份有限公司",2013-03-31,2868679839.42
"北京燕京啤酒股份有限公司",2013-06-30,7366959519.47
"北京燕京啤酒股份有限公司",2013-09-30,11859752924.19
"北京燕京啤酒股份有限公司",2013-12-31,13748383877.83
"北京燕京啤酒股份有限公司",2014-03-31,3018319253.11
"北京燕京啤酒股份有限公司",2014-06-30,7757406731.53
"北京燕京啤酒股份有限公司",2014-09-30,12244882108.44
"北京燕京啤酒股份有限公司",2014-12-31,13503754125.92
"北京燕京啤酒股份有限公司",2015-03-31,3145666266.57
"北京燕京啤酒股份有限公司",2015-06-30,7037807319.88
"北京燕京啤酒股份有限公司",2015-09-30,11448087955.68
"北京燕京啤酒股份有限公司",2015-12-31,12538267006.52
"北京燕京啤酒股份有限公司",2016-03-31,3107628791.37
"北京燕京啤酒股份有限公司",2016-06-30,6293679812.67
"北京燕京啤酒股份有限公司",2016-09-30,10371550762.55
"北京燕京啤酒股份有限公司",2016-12-31,11573195544.49
"北京燕京啤酒股份有限公司",2017-03-31,3173460013.37
"福建省燕京惠泉啤酒股份有限公司",2010-03-31,185175191.44
"福建省燕京惠泉啤酒股份有限公司",2010-06-30,442568962.06
"福建省燕京惠泉啤酒股份有限公司",2010-09-30,790287350.29
"福建省燕京惠泉啤酒股份有限公司",2010-12-31,908717705.73
"福建省燕京惠泉啤酒股份有限公司",2011-03-31,183474958.49
"福建省燕京惠泉啤酒股份有限公司",2011-06-30,456795094.64
"福建省燕京惠泉啤酒股份有限公司",2011-09-30,758247984.1
"福建省燕京惠泉啤酒股份有限公司",2011-12-31,880383577.94
"福建省燕京惠泉啤酒股份有限公司",2012-03-31,159340156.13
"福建省燕京惠泉啤酒股份有限公司",2012-06-30,388719833.16
"福建省燕京惠泉啤酒股份有限公司",2012-09-30,603724281.62
"福建省燕京惠泉啤酒股份有限公司",2012-12-31,690594463.75
"福建省燕京惠泉啤酒股份有限公司",2013-03-31,163389982.31
"福建省燕京惠泉啤酒股份有限公司",2013-06-30,379799221.87
"福建省燕京惠泉啤酒股份有限公司",2013-09-30,667819974.66
"福建省燕京惠泉啤酒股份有限公司",2013-12-31,796306504.88
"福建省燕京惠泉啤酒股份有限公司",2014-03-31,152850352.86
"福建省燕京惠泉啤酒股份有限公司",2014-06-30,409388347.97
"福建省燕京惠泉啤酒股份有限公司",2014-09-30,723834920.95
"福建省燕京惠泉啤酒股份有限公司",2014-12-31,829008363.38
"福建省燕京惠泉啤酒股份有限公司",2015-03-31,159343830.92
"福建省燕京惠泉啤酒股份有限公司",2015-06-30,405350989.81
"福建省燕京惠泉啤酒股份有限公司",2015-09-30,651547889.56
"福建省燕京惠泉啤酒股份有限公司",2015-12-31,751548181.38
"福建省燕京惠泉啤酒股份有限公司",2016-03-31,126257037.95
"福建省燕京惠泉啤酒股份有限公司",2016-06-30,308617751.58
"福建省燕京惠泉啤酒股份有限公司",2016-09-30,517483665.58
"福建省燕京惠泉啤酒股份有限公司",2016-12-31,617578980.23
"福建省燕京惠泉啤酒股份有限公司",2017-03-31,115461657.82
"青岛啤酒股份有限公司",2010-03-31,4140663572
"青岛啤酒股份有限公司",2010-06-30,9927822034
"青岛啤酒股份有限公司",2010-09-30,16347917171
"青岛啤酒股份有限公司",2010-12-31,19897827765
"青岛啤酒股份有限公司",2011-03-31,5244891233
"青岛啤酒股份有限公司",2011-06-30,12049983553
"青岛啤酒股份有限公司",2011-09-30,19173354193
"青岛啤酒股份有限公司",2011-12-31,23158054330
"青岛啤酒股份有限公司",2012-03-31,5599765341
"青岛啤酒股份有限公司",2012-06-30,13405497777
"青岛啤酒股份有限公司",2012-09-30,21795346252
"青岛啤酒股份有限公司",2012-12-31,25781543977
"青岛啤酒股份有限公司",2013-03-31,6311912059
"青岛啤酒股份有限公司",2013-06-30,14971338262
"青岛啤酒股份有限公司",2013-09-30,24192662711
"青岛啤酒股份有限公司",2013-12-31,28290978428
"青岛啤酒股份有限公司",2014-03-31,7407948550
"青岛啤酒股份有限公司",2014-06-30,16958068052
"青岛啤酒股份有限公司",2014-09-30,25736501188
"青岛啤酒股份有限公司",2014-12-31,29049321166
"青岛啤酒股份有限公司",2015-03-31,7178293852
"青岛啤酒股份有限公司",2015-06-30,16066594121
"青岛啤酒股份有限公司",2015-09-30,24314979550
"青岛啤酒股份有限公司",2015-12-31,27634686040
"青岛啤酒股份有限公司",2016-03-31,6861626267
"青岛啤酒股份有限公司",2016-06-30,14746116848
"青岛啤酒股份有限公司",2016-09-30,23036385101
"青岛啤酒股份有限公司",2016-12-31,26106343738
"青岛啤酒股份有限公司",2017-03-31,7039943927
"广州珠江啤酒股份有限公司",2010-03-31,519002072.29
"广州珠江啤酒股份有限公司",2010-06-30,1376108136.56
"广州珠江啤酒股份有限公司",2010-09-30,2210495971.63
"广州珠江啤酒股份有限公司",2010-12-31,3052866820.13
"广州珠江啤酒股份有限公司",2011-03-31,535109392.23
