指标名称,36大中城市日用工业消费品平均价格:啤酒:瓶装630ml左右,36大中城市日用工业消费品平均价格:啤酒:罐装350ml左右,申万行业指数:啤酒,Wind行业指数:啤酒,产量:啤酒:当月值,出口数量:啤酒:当月值,出口金额:啤酒:当月值,出口平均单价:啤酒:当月值,价格:啤酒:哈尔滨:330ml:一号店,价格:啤酒:百威:330ml:一号店,现货价:大麦(优质):明尼亚波力,进口金额:大麦:当月值,进口数量:大麦:当月值,进口平均单价:大麦:当月值,农产品集贸市场价格指数:玉米:当月同比,市场价:玉米:黄玉米二等:全国
2010-01-04,,,2620.94 ,2980.02 ,,,,,,,3.50 ,,,,,
2010-01-05,,,2621.76 ,2980.95 ,,,,,,,3.50 ,,,,,
2010-01-06,,,2628.10 ,2988.16 ,,,,,,,3.50 ,,,,,
2010-01-07,,,2579.11 ,2932.46 ,,,,,,,3.50 ,,,,,
2010-01-08,,,2605.80 ,2962.80 ,,,,,,,3.50 ,,,,,
2010-01-11,,,2605.75 ,2962.74 ,,,,,,,3.50 ,,,,,
2010-01-12,,,2659.44 ,3023.79 ,,,,,,,3.50 ,,,,,
2010-01-13,,,2716.98 ,3089.21 ,,,,,,,3.50 ,,,,,
2010-01-14,,,2811.02 ,3196.13 ,,,,,,,3.40 ,,,,,
2010-01-15,,,2793.68 ,3176.42 ,,,,,,,3.30 ,,,,,
2010-01-18,,,2913.66 ,3312.84 ,,,,,,,,,,,,
2010-01-19,,,2900.10 ,3297.42 ,,,,,,,3.30 ,,,,,
2010-01-20,,,2844.95 ,3234.71 ,,,,,,,3.30 ,,,,,
2010-01-21,,,2871.98 ,3265.45 ,,,,,,,3.30 ,,,,,
2010-01-22,,,2748.95 ,3125.56 ,,,,,,,3.30 ,,,,,
2010-01-25,,,2702.68 ,3072.96 ,,,,,,,3.30 ,,,,,
2010-01-26,,,2613.22 ,2971.23 ,,,,,,,3.30 ,,,,,
2010-01-27,,,2609.82 ,2967.38 ,,,,,,,3.40 ,,,,,
2010-01-28,,,2665.85 ,3031.08 ,,,,,,,3.40 ,,,,,
2010-01-29,,,2676.76 ,3043.49 ,,,,,,,3.40 ,,,,,
2010-01-31,,,,,259.84 ,14720.00 ,892.00 ,605.98 ,,,,2139.60 ,95176.00 ,224.80 ,119.26 ,
2010-02-01,,,2646.58 ,3009.17 ,,,,,,,3.40 ,,,,,
2010-02-02,,,2612.36 ,2970.26 ,,,,,,,3.30 ,,,,,
2010-02-03,,,2663.92 ,3028.89 ,,,,,,,,,,,,
2010-02-04,,,2732.69 ,3107.08 ,,,,,,,,,,,,
2010-02-05,,,2720.96 ,3093.74 ,,,,,,,,,,,,
2010-02-08,,,2732.82 ,3107.23 ,,,,,,,,,,,,
2010-02-09,,,2712.04 ,3083.60 ,,,,,,,,,,,,
2010-02-10,,,2726.05 ,3099.53 ,,,,,,,,,,,,
2010-02-11,,,2698.60 ,3068.32 ,,,,,,,,,,,,
2010-02-12,,,2744.25 ,3120.22 ,,,,,,,,,,,,
2010-02-22,,,2768.20 ,3147.45 ,,,,,,,,,,,,
2010-02-23,,,2764.00 ,3142.67 ,,,,,,,,,,,,
2010-02-24,,,2805.71 ,3190.09 ,,,,,,,,,,,,
2010-02-25,,,2860.94 ,3252.90 ,,,,,,,,,,,,
2010-02-26,,,2864.03 ,3256.41 ,,,,,,,,,,,,
2010-02-28,,,,,250.65 ,11180.00 ,641.90 ,574.15 ,,,,2375.30 ,107999.00 ,219.94 ,121.06 ,
2010-03-01,,,2891.61 ,3287.77 ,,,,,,,,,,,,
2010-03-02,,,2833.49 ,3221.69 ,,,,,,,,,,,,
2010-03-03,,,2847.95 ,3238.12 ,,,,,,,,,,,,
2010-03-04,,,2764.09 ,3142.77 ,,,,,,,,,,,,
2010-03-05,,,2761.29 ,3139.60 ,,,,,,,,,,,,
2010-03-08,,,2770.96 ,3150.59 ,,,,,,,,,,,,
2010-03-09,,,2782.12 ,3163.28 ,,,,,,,,,,,,
2010-03-10,,,2744.64 ,3120.66 ,,,,,,,,,,,,
2010-03-11,,,2717.96 ,3090.33 ,,,,,,,,,,,,
2010-03-12,,,2718.18 ,3090.58 ,,,,,,,,,,,,
2010-03-15,,,2659.02 ,3023.31 ,,,,,,,,,,,,
2010-03-16,,,2659.54 ,3023.90 ,,,,,,,,,,,,
2010-03-17,,,2724.49 ,3097.75 ,,,,,,,,,,,,
2010-03-18,,,2751.63 ,3128.61 ,,,,,,,,,,,,
2010-03-19,,,2752.06 ,3129.10 ,,,,,,,,,,,,
2010-03-22,,,2739.96 ,3115.34 ,,,,,,,,,,,,
2010-03-23,,,2719.76 ,3092.37 ,,,,,,,,,,,,
2010-03-24,,,2718.71 ,3091.18 ,,,,,,,,,,,,
2010-03-25,,,2656.13 ,3020.03 ,,,,,,,,,,,,
2010-03-26,,,2761.42 ,3139.74 ,,,,,,,,,,,,
