"","time","actual","pred"
"1",2013 Q2,2026532505.95571,2022081228.09606
"2",2013 Q3,2149475112.72571,2171327741.43179
"3",2013 Q4,1188795262.63571,1148412042.25571
"4",2014 Q1,1612938288.56143,1623773683.02664
"5",2014 Q2,2148904476.54714,2162393953.81292
"6",2014 Q3,2100667223.93286,2083208195.36652
"7",2014 Q4,979654420.741428,980248676.178743
"8",2015 Q1,1614664516.25143,1648408281.65084
"9",2015 Q2,1983754043.33,1986707218.33535
"10",2015 Q3,2047745839.50429,2040441704.71746
"11",2015 Q4,1051698831.95,1039627437.88313
"12",2016 Q1,1544312422.56286,1560584326.2722
"13",2016 Q2,1746711056.30857,1734719681.8971
"14",2016 Q3,2007086922.96857,1991409699.13781
"15",2016 Q4,996031023.561428,1047891382.57099
"16",2017 Q1,1575526051.03143,1533262745.93532
