"","time","actual","pred"
"1",2013 Q2,557978975.418571,603557109.850328
"2",2013 Q3,369363807.705714,339983982.129197
"3",2013 Q4,-52089477.0542857,-221609761.872663
"4",2014 Q1,301335354.652857,365144845.400399
"5",2014 Q2,637468879.805714,556973916.674569
"6",2014 Q3,268227497.665714,267049612.628105
"7",2014 Q4,-528517770.818571,-346158458.297394
"8",2015 Q1,362684649.308571,379301126.336191
"9",2015 Q2,681238985.611429,660692495.210176
"10",2015 Q3,231826638.168571,204163714.409217
"11",2015 Q4,-479993716.918571,-476325005.835574
"12",2016 Q1,277966690.784286,190801071.254699
"13",2016 Q2,532608823.888571,588072142.989213
"14",2016 Q3,339472287.641429,333155975.545854
"15",2016 Q4,-286435357.645714,-302943096.431512
"16",2017 Q1,288894539.255714,360171137.479196
