"","time","actual","pred"
"1",2013 Q2,2234242283.45,2228870210.64796
"2",2013 Q3,2374420569.4,2376056508.03018
"3",2013 Q4,1105955328.96571,1079711686.09528
"4",2014 Q1,1726171661.22,1715892477.82392
"5",2014 Q2,2403548296.99,2398640701.55658
"6",2014 Q3,2322233780.37429,2330817697.26151
"7",2014 Q4,872211595.33,833133029.224171
"8",2015 Q1,1733228217.54571,1801375622.13346
"9",2015 Q2,2199540511.63,2190187041.69361
"10",2015 Q3,2207665430.37857,2175788531.14646
"11",2015 Q4,839268266.647143,862625036.05142
"12",2016 Q1,1669404157.28571,1680941570.60394
"13",2016 Q2,1923344923.40857,1942978061.58042
"14",2016 Q3,2171230699.27,2190266846.32248
"15",2016 Q4,817585316.835714,859550756.407698
"16",2017 Q1,1713693048.71,1646908310.86233
