"","time","actual","pred"
"1",2011 Q1,144095519.408976,139416788.884011
"2",2011 Q2,166118058.824281,160853548.341948
"3",2011 Q3,157636941.7905,164700921.284345
"4",2011 Q4,128991228.945927,127403614.738304
"5",2012 Q1,118191175.097262,124795033.668474
"6",2012 Q2,130360757.185543,127910968.33914
"7",2012 Q3,126803465.023578,130199690.908776
"8",2012 Q4,152607761.597967,142165214.431625
"9",2013 Q1,122185780.559293,124051761.260183
"10",2013 Q2,139645872.128675,135994378.166993
"11",2013 Q3,146950035.342712,148424366.319423
"12",2013 Q4,140318742.565738,151892662.562377
"13",2014 Q1,127416593.204085,126195854.231611
"14",2014 Q2,151581189.991315,162658224.593488
"15",2014 Q3,153647750.351163,151170046.795164
"16",2014 Q4,131426740.395663,125227977.786686
"17",2015 Q1,119531809.287037,114764049.645918
"18",2015 Q2,176343280.610497,172134381.439217
"19",2015 Q3,122277042.584026,126527032.250325
"20",2015 Q4,114789564.364799,117836072.449083
"21",2016 Q1,124655657.454488,131154612.350319
"22",2016 Q2,183632019.481158,174039143.560479
"23",2016 Q3,180998947.759287,179548720.841829
"24",2016 Q4,185189727.056538,193956157.18904
"25",2017 Q1,189500082.233884,181874521.205635
