"","time","actual","pred"
"1",2011 Q1,276763415.313024,262616892.707502
"2",2011 Q2,310456217.556738,307718774.847408
"3",2011 Q3,310828836.88931,343459524.624165
"4",2011 Q4,353388429.710929,326101179.040338
"5",2012 Q1,285028179.396574,265488873.85846
"6",2012 Q2,313685513.765463,308597962.62135
"7",2012 Q3,291838915.900463,313864643.925565
"8",2012 Q4,372319474.166944,372394065.101451
"9",2013 Q1,288507377.896713,316227530.289376
"10",2013 Q2,342153226.677269,342920392.179546
"11",2013 Q3,360192704.129333,350231733.833396
"12",2013 Q4,433893948.090857,391498723.449799
"13",2014 Q1,354130465.132451,343012114.5057
"14",2014 Q2,414764886.893232,418566111.100406
"15",2014 Q3,411717703.877626,418669678.149313
"16",2014 Q4,452861580.728073,469507060.010557
"17",2015 Q1,365848949.811328,392986552.650427
"18",2015 Q2,433451970.999141,433176541.484912
"19",2015 Q3,434326490.538952,450976044.603792
"20",2015 Q4,476642256.774052,487215999.002675
"21",2016 Q1,386028615.373417,412247170.923012
"22",2016 Q2,448504055.324417,446307415.011472
"23",2016 Q3,482629730.84275,456140363.29434
"24",2016 Q4,564909354.69975,556573565.930866
"25",2017 Q1,562256730.206154,540630117.549131
