"","time","actual","pred"
"1",2011 Q1,-4848455.00385714,14629233.507363
"2",2011 Q2,-11574353.7432857,-13445463.0153473
"3",2011 Q3,27173375.7039655,17507853.4117094
"4",2011 Q4,38927304.4484286,27494929.4914076
"5",2012 Q1,10919288.7130556,8779594.54958618
"6",2012 Q2,25486680.9813889,18838200.1537651
"7",2012 Q3,27252812.3222222,34564728.6113779
"8",2012 Q4,41107048.9058333,28049270.2935181
"9",2013 Q1,-1687479.61185185,13977761.8043744
"10",2013 Q2,27523002.0409259,32243460.8826869
"11",2013 Q3,29370735.7309524,39213500.482619
"12",2013 Q4,35894920.8842857,17927444.0226532
"13",2014 Q1,-45049843.5266422,-11520237.0620245
"14",2014 Q2,36890335.6239646,14814541.2218654
"15",2014 Q3,36645375.9109343,19844253.2574141
"16",2014 Q4,36956689.2816927,37838378.5554951
"17",2015 Q1,11100024.6734375,35988015.2810234
"18",2015 Q2,52372632.5315625,34165164.0934945
"19",2015 Q3,39035288.5635484,55480821.2682836
"20",2015 Q4,78529888.7172414,83302397.618092
"21",2016 Q1,11293962.2336667,33427271.8917944
"22",2016 Q2,35900133.01,2911494.36913224
"23",2016 Q3,-2228604.59416667,-9688401.11050058
"24",2016 Q4,-202928120.297833,-190276393.998669
"25",2017 Q1,-81038005.5753846,-93043181.6570296
