"","time","actual","pred"
"1",2011 Q1,302784423.841167,292921710.440628
"2",2011 Q2,339950722.768024,326040018.56615
"3",2011 Q3,339618675.621024,325015640.030666
"4",2011 Q4,369853556.699786,359851575.090012
"5",2012 Q1,309724345.193148,330703303.530054
"6",2012 Q2,344566322.102037,349840757.382936
"7",2012 Q3,323513531.821759,355556364.378181
"8",2012 Q4,396411592.333056,385103754.665262
"9",2013 Q1,311569620.17412,343755580.324669
"10",2013 Q2,371890365.795231,373357419.056522
"11",2013 Q3,388469617.867238,361094536.944793
"12",2013 Q4,470506689.908,391658045.940551
"13",2014 Q1,380981231.079902,401305077.834292
"14",2014 Q2,442941916.496414,431957135.809696
"15",2014 Q3,439589558.619293,445709588.773321
"16",2014 Q4,474252272.253906,471810797.83248
"17",2015 Q1,397382683.518125,445285925.440239
"18",2015 Q2,473369845.289062,473923444.38139
"19",2015 Q3,469533381.854839,492130790.694397
"20",2015 Q4,500601868.934828,521082833.205014
"21",2016 Q1,434836808.15775,453488060.89832
"22",2016 Q2,501075128.391417,523108034.909531
"23",2016 Q3,527243975.207417,539094370.406609
"24",2016 Q4,595712218.056083,584592773.788186
"25",2017 Q1,615585861.732308,543578673.392034
