"corp_name","report_period","营业总收入"
"中新科技集团股份有限公司",2011-12-31,1148388000
"中新科技集团股份有限公司",2012-12-31,2006135345.65
"中新科技集团股份有限公司",2013-12-31,2351065975.74
"中新科技集团股份有限公司",2014-12-31,2407545707.74
"中新科技集团股份有限公司",2015-03-31,707399800
"中新科技集团股份有限公司",2015-06-30,1756610498.65
"中新科技集团股份有限公司",2015-09-30,2646375200
"中新科技集团股份有限公司",2015-12-31,3463163307.09
"中新科技集团股份有限公司",2016-03-31,629509829.64
"中新科技集团股份有限公司",2016-06-30,1521996167.36
"中新科技集团股份有限公司",2016-09-30,2881914844.07
"中新科技集团股份有限公司",2016-12-31,4188478461.35
"中新科技集团股份有限公司",2017-03-31,711603813.54
"厦门华侨电子股份有限公司",2010-03-31,927055001.83
"厦门华侨电子股份有限公司",2010-06-30,2181393333.3
"厦门华侨电子股份有限公司",2010-09-30,3384993951.33
"厦门华侨电子股份有限公司",2010-12-31,4291977843.16
"厦门华侨电子股份有限公司",2011-03-31,640113983.61
"厦门华侨电子股份有限公司",2011-06-30,1403822065.4
"厦门华侨电子股份有限公司",2011-09-30,2284345322.55
"厦门华侨电子股份有限公司",2011-12-31,3253166001.89
"厦门华侨电子股份有限公司",2012-03-31,613241107.76
"厦门华侨电子股份有限公司",2012-06-30,1411444298.88
"厦门华侨电子股份有限公司",2012-09-30,2388584414.51
"厦门华侨电子股份有限公司",2012-12-31,2927047547.97
"厦门华侨电子股份有限公司",2013-03-31,320086674.85
"厦门华侨电子股份有限公司",2013-06-30,526682171.34
"厦门华侨电子股份有限公司",2013-09-30,872454544.91
"厦门华侨电子股份有限公司",2013-12-31,1187691426.39
"厦门华侨电子股份有限公司",2014-03-31,144901295.89
"厦门华侨电子股份有限公司",2014-06-30,209880569.59
"厦门华侨电子股份有限公司",2014-09-30,224157273.59
"厦门华侨电子股份有限公司",2014-12-31,224157273.59
"厦门华侨电子股份有限公司",2015-03-31,0
"厦门华侨电子股份有限公司",2015-06-30,0
"厦门华侨电子股份有限公司",2015-09-30,30221905.97
"厦门华侨电子股份有限公司",2015-12-31,216772844.42
"厦门华侨电子股份有限公司",2016-03-31,49016075.23
"厦门华侨电子股份有限公司",2016-06-30,206656550.5
"厦门华侨电子股份有限公司",2016-09-30,349359723.92
"厦门华侨电子股份有限公司",2016-12-31,372972728.82
"厦门华侨电子股份有限公司",2017-03-31,6703093.02
"青岛海信电器股份有限公司",2010-03-31,5229682104.13
"青岛海信电器股份有限公司",2010-06-30,9488731664.72
"青岛海信电器股份有限公司",2010-09-30,15342172052.54
"青岛海信电器股份有限公司",2010-12-31,21263700581.01
"青岛海信电器股份有限公司",2011-03-31,4994091213.47
"青岛海信电器股份有限公司",2011-06-30,9798726787.91
"青岛海信电器股份有限公司",2011-09-30,16464248260.31
"青岛海信电器股份有限公司",2011-12-31,23523723550.2
"青岛海信电器股份有限公司",2012-03-31,5057271243.41
"青岛海信电器股份有限公司",2012-06-30,10065614521.1
"青岛海信电器股份有限公司",2012-09-30,16712122674.08
"青岛海信电器股份有限公司",2012-12-31,25251980431
"青岛海信电器股份有限公司",2013-03-31,6869282725.39
"青岛海信电器股份有限公司",2013-06-30,13603349387.92
"青岛海信电器股份有限公司",2013-09-30,20654278197.78
"青岛海信电器股份有限公司",2013-12-31,28479859095.63
"青岛海信电器股份有限公司",2014-03-31,6904395314.31
"青岛海信电器股份有限公司",2014-06-30,13258351996.3
"青岛海信电器股份有限公司",2014-09-30,21092892605.88
"青岛海信电器股份有限公司",2014-12-31,29007069215.72
"青岛海信电器股份有限公司",2015-03-31,7526757322.31
"青岛海信电器股份有限公司",2015-06-30,14001445022.09
"青岛海信电器股份有限公司",2015-09-30,22129586995.64
"青岛海信电器股份有限公司",2015-12-31,30189986791.79
"青岛海信电器股份有限公司",2016-03-31,7128932835.67
"青岛海信电器股份有限公司",2016-06-30,13289403041.6
"青岛海信电器股份有限公司",2016-09-30,22075465053.98
"青岛海信电器股份有限公司",2016-12-31,31832456026.9
"青岛海信电器股份有限公司",2017-03-31,6702526165.09
"康佳集团股份有限公司",2010-03-31,4266791664.59
"康佳集团股份有限公司",2010-06-30,7940183795.09
"康佳集团股份有限公司",2010-09-30,12481629166.85
"康佳集团股份有限公司",2010-12-31,17111454066.34
"康佳集团股份有限公司",2011-03-31,3339537004.1
"康佳集团股份有限公司",2011-06-30,6865103919.76
"康佳集团股份有限公司",2011-09-30,11411409192.68
"康佳集团股份有限公司",2011-12-31,16217619883.23
"康佳集团股份有限公司",2012-03-31,3475554057.18
"康佳集团股份有限公司",2012-06-30,7038923137.77
"康佳集团股份有限公司",2012-09-30,12297326326.42
"康佳集团股份有限公司",2012-12-31,18337861657.29
"康佳集团股份有限公司",2013-03-31,4806314071.49
"康佳集团股份有限公司",2013-06-30,9421399281
"康佳集团股份有限公司",2013-09-30,14547288137.21
"康佳集团股份有限公司",2013-12-31,20006736878.82
"康佳集团股份有限公司",2014-03-31,4049737785.15
"康佳集团股份有限公司",2014-06-30,8398300541.63
"康佳集团股份有限公司",2014-09-30,13467888459.14
"康佳集团股份有限公司",2014-12-31,19423488994.07
"康佳集团股份有限公司",2015-03-31,4569152230.3
"康佳集团股份有限公司",2015-06-30,8944558920.96
"康佳集团股份有限公司",2015-09-30,13844710852.68
"康佳集团股份有限公司",2015-12-31,18395177035.98
"康佳集团股份有限公司",2016-03-31,4072311262.92
"康佳集团股份有限公司",2016-06-30,8609080822.24
"康佳集团股份有限公司",2016-09-30,14617241214.26
"康佳集团股份有限公司",2016-12-31,20299348136.21
"康佳集团股份有限公司",2017-03-31,4686318957.34
"深圳市兆驰股份有限公司",2010-03-31,582821552.12
"深圳市兆驰股份有限公司",2010-06-30,1245841405.99
"深圳市兆驰股份有限公司",2010-09-30,2072301157.1
"深圳市兆驰股份有限公司",2010-12-31,3018628241.71
"深圳市兆驰股份有限公司",2011-03-31,671375652.09
"深圳市兆驰股份有限公司",2011-06-30,1566654451.98
"深圳市兆驰股份有限公司",2011-09-30,2843924310.22
"深圳市兆驰股份有限公司",2011-12-31,4473464458.16
"深圳市兆驰股份有限公司",2012-03-31,1030433201.48
"深圳市兆驰股份有限公司",2012-06-30,2449070659.34
"深圳市兆驰股份有限公司",2012-09-30,4595896592.44
"深圳市兆驰股份有限公司",2012-12-31,6456908623.59
"深圳市兆驰股份有限公司",2013-03-31,1350162510.78
"深圳市兆驰股份有限公司",2013-06-30,2593801175.38
"深圳市兆驰股份有限公司",2013-09-30,4675527049.79
"深圳市兆驰股份有限公司",2013-12-31,6776119797.6
"深圳市兆驰股份有限公司",2014-03-31,1683568526.51
"深圳市兆驰股份有限公司",2014-06-30,3366113516.62
"深圳市兆驰股份有限公司",2014-09-30,5448116348.78
"深圳市兆驰股份有限公司",2014-12-31,7107625001.3
"深圳市兆驰股份有限公司",2015-03-31,1328753579.77
"深圳市兆驰股份有限公司",2015-06-30,2640709446.28
