指标名称,36城市服务价格:有线电视收费:有线电视收费,出口数量:彩色电视机(包括整套散件):当月值,出口金额:彩色电视机(包括整套散件):当月值,申万行业指数:有线电视网络,申万行业指数:广播电影电视,Wind行业指数:有线和卫星电视,耐用品采购订单指数:电视机:环比,价格:液晶显示器面板:21.5寸:LED:FHD,价格:液晶电视面板:32寸:Open Cell:WXGA,"平均价:液晶电视面板:50""W 1920x1080 50/60Hz Open-Cell","平均价:液晶电视面板:32""W 1366x768 50/60Hz Open-Cell","零售均价:液晶电视:32"" LED","零售均价:液晶电视:55"" LED",产量:彩色电视机:累计值,销量:彩色电视机:累计值,出货量:液晶电视面板:当月值,出货量:大尺寸面板:液晶电视:当月值,出口数量:电视机(包括整套散件):当月值,进口数量:电视显像管:当月值,进口数量:彩色显像管:当月值,进口数量:二极管及类似半导体器件:当月值,进口数量:集成电路:当月值,进口平均单价:电视、收音机及无线电讯设备的零附件:当月值,进口平均单价:电容器:当月值,进口平均单价:电阻器:当月值,创维数码:销量:电视机:当月值
2010-01-04,,,,2782.40 ,2244.28 ,3880.73 ,,,,,,,,,,,,,,,,,,,,
2010-01-05,,,,2902.41 ,2266.87 ,3994.45 ,,,,,,,,,,,,,,,,,,,,
2010-01-06,,,,2891.38 ,2241.71 ,3951.39 ,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,,2799.32 ,2240.65 ,3828.39 ,,,,,,,,,,,,,,,,,,,,
2010-01-08,,,,2957.76 ,2320.69 ,3980.23 ,,,,,,,,,,,,,,,,,,,,
2010-01-11,,,,3122.79 ,2361.99 ,4191.24 ,,,,,,,,,,,,,,,,,,,,
2010-01-12,,,,3181.09 ,2373.90 ,4250.16 ,,,,,,,,,,,,,,,,,,,,
2010-01-13,,,,3328.91 ,2433.54 ,4408.61 ,,,,,,,,,,,,,,,,,,,,
2010-01-14,,,,3511.04 ,2469.80 ,4575.20 ,,,,,,,,,,,,,,,,,,,,
2010-01-15,,,,3492.77 ,2480.60 ,4510.41 ,,,,,,,,,,,,,,,,,,,,
2010-01-18,,,,3529.06 ,2610.95 ,4626.36 ,,,,,,,,,,,,,,,,,,,,
2010-01-19,,,,3576.02 ,2632.64 ,4605.10 ,,,,,,,,,,,,,,,,,,,,
2010-01-20,,,,3478.43 ,2504.04 ,4417.92 ,,,,,,,,,,,,,,,,,,,,
2010-01-21,,,,3618.03 ,2566.82 ,4535.51 ,,,,,,,,,,,,,,,,,,,,
2010-01-22,,,,3459.47 ,2574.89 ,4352.85 ,,,,,,,,,,,,,,,,,,,,
2010-01-25,,,,3267.50 ,2479.49 ,4166.70 ,,,,,,,,,,,,,,,,,,,,
2010-01-26,,,,3149.36 ,2408.60 ,4085.07 ,,,,,,,,,,,,,,,,,,,,
2010-01-27,,,,3158.46 ,2395.36 ,4111.27 ,,,,,,,,,,,,,,,,,,,,
2010-01-28,,,,3274.69 ,2450.21 ,4238.59 ,,,,,,,,,,,,,,,,,,,,
2010-01-29,,,,3295.59 ,2470.35 ,4227.22 ,,,,,,,,,,,,,,,,,,,,
2010-01-31,18.43 ,395.00 ,78966.60 ,,,,4.80 ,,,,,,,,,16.10 ,,406.00 ,43.00 ,43.00 ,21270.00 ,13082.00 ,68519.75 ,76276.65 ,90557.23 ,1185.00 
2010-02-01,,,,3069.36 ,2427.25 ,4021.24 ,,,,,,,,,,,,,,,,,,,,
