"","time","actual","pred"
"1",2011 Q1,64884938.0333333,85035839.4025437
"2",2011 Q2,66037553.0716667,58988462.6993639
"3",2011 Q3,147492050.943333,100826013.184719
"4",2011 Q4,149215763.14,138368551.253212
"5",2012 Q1,100691607.645833,79962227.4869916
"6",2012 Q2,81245397.7258333,127718408.40346
"7",2012 Q3,102416642.820833,128015250.286957
"8",2012 Q4,159061259.1275,163752134.655287
"9",2013 Q1,146892515.725833,116930610.980508
"10",2013 Q2,112913152.639167,142293701.011334
"11",2013 Q3,98692725.6358333,91386085.5033345
"12",2013 Q4,114724098.515833,167064853.302087
"13",2014 Q1,119381721.392083,72892414.6813691
"14",2014 Q2,18889133.9654167,64833444.2631831
"15",2014 Q3,67334565.1970833,26912898.4919682
"16",2014 Q4,178866593.125417,184713837.587909
"17",2015 Q1,125033864.686667,124937274.539996
"18",2015 Q2,940311.061666659,-18150284.9478958
"19",2015 Q3,-47842541.295,-25238614.8166645
"20",2015 Q4,-244364593.256667,-222311818.530334
"21",2016 Q1,164291786.263333,148658745.265151
"22",2016 Q2,126260787.941667,132658923.345325
"23",2016 Q3,119540897.94,109215206.156321
"24",2016 Q4,174538996.67,142123928.202491
"25",2017 Q1,102146462.998333,107697599.306384
