"","time","actual","pred"
"1",2011 Q1,3345938445.40667,3792223446.36364
"2",2011 Q2,3734144924.17333,3678401348.60082
"3",2011 Q3,4389426171.55333,4263616744.35737
"4",2011 Q4,4928596167.89,4692698191.69448
"5",2012 Q1,3495805460.98958,3597009542.89854
"6",2012 Q2,3891005986.71958,3807313108.44894
"7",2012 Q3,4759266268.81458,4598005360.6653
"8",2012 Q4,5344490213.33458,5335201246.0378
"9",2013 Q1,4333935760.7475,4425793703.44036
"10",2013 Q2,4627690787.68917,4547184844.04348
"11",2013 Q3,4776947797.05917,4815267940.09014
"12",2013 Q4,5457416753.04583,5384436501.79002
"13",2014 Q1,4209932081.51083,4339572659.2103
"14",2014 Q2,4671696618.85083,4454657159.31622
"15",2014 Q3,4912018995.8925,4929963376.09106
"16",2014 Q4,5694966479.0325,5772560777.7889
"17",2015 Q1,4530593577.37667,4449670689.94425
"18",2015 Q2,4933457526.75,5238013649.10254
"19",2015 Q3,5359980551.02167,5524952038.80501
"20",2015 Q4,5903723744.00167,5949976170.81427
"21",2016 Q1,4681048341.985,4533687203.70277
"22",2016 Q2,5021289871.245,4868948444.20063
"23",2016 Q3,5591193496.37833,5803964394.66695
"24",2016 Q4,6256068992.63833,5977842490.26792
"25",2017 Q1,5008026323.395,5077700305.15996
