"","time","actual","pred"
"1",2011 Q1,-129081389.448333,-206256818.567749
"2",2011 Q2,179057430.683333,158023099.273118
"3",2011 Q3,-196136398.286667,-21666509.4067146
"4",2011 Q4,-120311213.873333,-51879434.3871766
"5",2012 Q1,-67291754.2908333,-30816741.6050959
"6",2012 Q2,638600443.3275,100804109.065445
"7",2012 Q3,-222924152.8475,88229978.2934509
"8",2012 Q4,-205503293.149167,-27793884.2876364
"9",2013 Q1,95272847.435,45433483.1628621
"10",2013 Q2,453225747.446667,238663064.46205
"11",2013 Q3,174309703.928333,-47335176.8950078
"12",2013 Q4,398032497.68,399187407.330828
"13",2014 Q1,280046146.6025,391985067.089794
"14",2014 Q2,453516709.074167,469137159.672622
"15",2014 Q3,-40611046.4841667,-115525498.626456
"16",2014 Q4,-173196024.484167,-223375861.436224
"17",2015 Q1,79031836.8883333,12633044.5171527
"18",2015 Q2,8733600.715,217216719.863002
"19",2015 Q3,451938331.686667,127386934.690563
"20",2015 Q4,382067972.961667,375232775.208727
"21",2016 Q1,181260987.073333,105835186.699307
"22",2016 Q2,299082877.338333,420752962.62019
"23",2016 Q3,438522985.983333,575442684.449182
"24",2016 Q4,188401730.59,218895586.642437
"25",2017 Q1,-725438864.82,-399601626.098673
