"","time","actual","pred"
"1",2011 Q1,3411668158.335,3859772014.42851
"2",2011 Q2,3787748266.25833,4063293064.50818
"3",2011 Q3,4472572867.33833,4268047705.50714
"4",2011 Q4,5097959078.00333,4942534868.41465
"5",2012 Q1,3593075373.39875,3644751916.16411
"6",2012 Q2,3937590526.22208,4118332486.93992
"7",2012 Q3,4854078329.58708,4456740624.17042
"8",2012 Q4,5500936227.41875,5608503735.63669
"9",2013 Q1,4487016220.91083,4056459997.39305
"10",2013 Q2,4737723371.6025,4559472948.92407
"11",2013 Q3,4869128737.0325,4731582468.39672
"12",2013 Q4,5518922976.40417,5742095326.68941
"13",2014 Q1,4319183228.1975,4327791041.91398
"14",2014 Q2,4631115026.41083,4707146599.68295
"15",2014 Q3,4936930575.2475,5015178956.52843
"16",2014 Q4,6870082761.983,6112342790.65812
"17",2015 Q1,5569095830.546,5275409744.46643
"18",2015 Q2,5870348528.34,5450748236.46239
"19",2015 Q3,5311431206.22667,5528616332.70684
"20",2015 Q4,5690496887.51667,6148831368.89439
"21",2016 Q1,4814672017.005,5169237689.69305
"22",2016 Q2,5102188953.29833,5167721335.61457
"23",2016 Q3,5678129828.12833,5716548090.39155
"24",2016 Q4,6296000027.685,6420089868.71766
"25",2017 Q1,5088526371.72333,5355372161.91659
