指标名称,申万行业指数:彩电,申万行业指数:视听器材
2010-01-04,918.10 ,946.34 
2010-01-05,932.03 ,960.63 
2010-01-06,898.48 ,927.52 
2010-01-07,871.51 ,899.29 
2010-01-08,892.78 ,921.03 
2010-01-11,887.73 ,916.99 
2010-01-12,913.87 ,943.80 
2010-01-13,912.86 ,943.04 
2010-01-14,980.41 ,1010.97 
2010-01-15,979.13 ,1011.02 
2010-01-18,1011.69 ,1044.28 
2010-01-19,1009.01 ,1041.19 
2010-01-20,967.87 ,999.13 
2010-01-21,983.86 ,1016.82 
2010-01-22,975.79 ,1010.59 
2010-01-25,937.44 ,972.07 
2010-01-26,905.55 ,936.72 
2010-01-27,916.56 ,946.38 
2010-01-28,929.67 ,959.95 
2010-01-29,943.05 ,974.44 
2010-02-01,944.16 ,974.21 
2010-02-02,959.77 ,990.26 
2010-02-03,960.13 ,990.81 
2010-02-04,962.80 ,993.68 
2010-02-05,927.41 ,956.91 
2010-02-08,920.36 ,949.86 
2010-02-09,932.81 ,962.02 
2010-02-10,940.56 ,970.61 
2010-02-11,946.02 ,975.71 
2010-02-12,970.76 ,1001.01 
2010-02-22,965.54 ,995.83 
2010-02-23,977.34 ,1007.22 
2010-02-24,994.78 ,1025.56 
2010-02-25,994.85 ,1028.73 
2010-02-26,989.16 ,1023.03 
2010-03-01,994.09 ,1030.46 
2010-03-02,987.61 ,1023.71 
2010-03-03,991.13 ,1026.12 
2010-03-04,960.16 ,993.31 
2010-03-05,965.44 ,998.76 
2010-03-08,984.25 ,1018.06 
2010-03-09,981.05 ,1014.11 
2010-03-10,959.47 ,992.45 
2010-03-11,943.92 ,976.28 
2010-03-12,926.90 ,958.57 
2010-03-15,915.52 ,947.25 
2010-03-16,918.55 ,951.54 
2010-03-17,940.07 ,973.47 
2010-03-18,937.38 ,970.46 
2010-03-19,946.97 ,981.38 
2010-03-22,959.82 ,994.20 
2010-03-23,946.90 ,980.22 
2010-03-24,953.92 ,987.34 
2010-03-25,936.23 ,968.47 
2010-03-26,949.06 ,981.81 
2010-03-29,955.63 ,991.66 
2010-03-30,959.31 ,994.38 
2010-03-31,950.19 ,984.97 
2010-04-01,960.56 ,995.84 
2010-04-02,975.39 ,1011.06 
2010-04-06,966.36 ,1001.40 
2010-04-07,969.99 ,1005.27 
2010-04-08,961.61 ,997.65 
2010-04-09,967.99 ,1004.90 
2010-04-12,982.99 ,1021.27 
2010-04-13,964.92 ,1001.82 
2010-04-14,961.66 ,998.44 
2010-04-15,949.92 ,985.32 
2010-04-16,943.17 ,978.33 
2010-04-19,893.45 ,927.29 
2010-04-20,892.59 ,927.83 
2010-04-21,913.12 ,949.68 
2010-04-22,917.45 ,953.61 
2010-04-23,890.47 ,926.58 
2010-04-26,877.62 ,914.60 
2010-04-27,852.04 ,888.28 
2010-04-28,851.23 ,886.14 
2010-04-29,835.93 ,870.86 
2010-04-30,802.53 ,834.91 
2010-05-04,797.21 ,828.95 
2010-05-05,812.92 ,845.19 
2010-05-06,762.74 ,793.26 
2010-05-07,749.49 ,780.40 
2010-05-10,781.81 ,812.26 
2010-05-11,769.74 ,799.40 
2010-05-12,769.87 ,798.20 
2010-05-13,797.83 ,827.33 
2010-05-14,788.07 ,817.33 
2010-05-17,733.29 ,762.47 
2010-05-18,735.93 ,763.21 
2010-05-19,730.97 ,757.37 
2010-05-20,724.24 ,749.40 
2010-05-21,735.01 ,760.85 
2010-05-24,772.35 ,799.41 
2010-05-25,762.04 ,788.74 
2010-05-26,759.31 ,786.24 
2010-05-27,772.75 ,801.79 
2010-05-28,782.06 ,810.58 
2010-05-31,761.22 ,788.68 
2010-06-01,761.50 ,788.28 
2010-06-02,769.78 ,796.66 
