"","time","actual","pred"
"1",2014 Q1,110029722.791167,117078901.199722
"2",2014 Q2,74885531.4151667,85976852.3435049
"3",2014 Q3,115825761.9415,87527147.2056902
"4",2014 Q4,159658144.4875,150866956.037692
"5",2015 Q1,126046102.288667,142644833.619849
"6",2015 Q2,89781878.6206667,87553815.0529795
"7",2015 Q3,30533741.2476667,17751432.1218254
"8",2015 Q4,-23042094.0896667,-8580689.6269128
"9",2016 Q1,106099362.103667,106425227.08503
"10",2016 Q2,90716560.6036667,97387351.6461076
"11",2016 Q3,133109310.355333,111071351.168697
"12",2016 Q4,68058205.374,71190432.4971366
"13",2017 Q1,102900258.054615,117708874.842628
