"corp_name","factor"
"广东恒健","销售费用率与营业收入相关系数"
"广东恒健","净资产货币资金占比"
"中国黄金","固定资产与三费用率相关系数"
"宁沪高速","速动比率              "
"宁沪高速","存货周转率修正值"
"宁沪高速","总资产无形资产占比"
"宁沪高速","净资产货币资金占比"
"广西柳工","流动比率流动资产流动负债保障倍数"
"广西柳工","销售费用率与营业收入相关系数"
"广西柳工","净资产无形资产占比"
"广西柳工","净资产货币资金占比"
"内蒙古能源发电","营业外收入占比"
"广西水利电业","营业成本应付占比"
"广西水利电业","净资产无形资产占比"
"广西水利电业","应收票据与应收账款相关系数"
"山东如意","营业成本预付占比"
"山东如意","总资产无形资产占比"
"中国供销集团","营业成本预付占比"
"中国供销集团","存货毛利系数"
"中国供销集团","净资产无形资产占比"
"厦门合兴包装印刷","总资产非现金流支持系数"
"厦门合兴包装印刷","存货毛利系数"
"厦门合兴包装印刷","固定资产与三费用率相关系数"
