corp_name,factor
广东恒健,流动比率
广东恒健,现金流动负债保障倍数
广东恒健,速动比率
广东恒健,营运资本周转率
广东恒健,固定资产周转率
广东恒健,销售费用率与营业收入相关系数
广东恒健,加工成本转换系数
广东恒健,总资产净利润率
广东恒健,股东权益报酬率
广东恒健,总资产的经营性资产占比
广东恒健,净资产货币资金占比
广东恒健,总资产的折旧与摊销系数
广东恒健,总资产的固定资产占比
中国黄金,净利润现金保证比率
中国黄金,固定资产与三费用率相关系数
中国黄金,营运资本周转率
中国黄金,销售费用率
中国黄金,净利润占比
中国黄金,利润总额占比
中国黄金,归属母公司股东的净利润占比
中国黄金,总资产的长期待摊费用占比
中国黄金,总资产的在建工程占比
中国黄金,商业债权长期应收款占比
中国黄金,有形资产总负债率
中国黄金,总资产的长期应收款占比
中国黄金,长期资本非流动负债率
中国黄金,总资产融资性负债率
宁沪高速,现金流动负债保障倍数
宁沪高速,速动比率              
宁沪高速,存货周转率修正值
宁沪高速,成本费用边际利润率
宁沪高速,有形资产总负债率
宁沪高速,总资产无形资产占比
宁沪高速,净资产货币资金占比
宁沪高速,总资产的长期股权投资占比
王府井,自由现金流流动负债保障倍数
王府井,成本费用边际利润率
王府井,总资产的在建工程占比
王府井,总资产的其他应收款占比
广西柳工,流动比率流动资产流动负债保障倍数
广西柳工,销售费用率与营业收入相关系数
广西柳工,净利润现金保证比率
广西柳工,净利润占比
广西柳工,利润总额占比
广西柳工,营业收入净利润率
广西柳工,总资产净利润率
广西柳工,股东权益报酬率
广西柳工,归属母公司股东的净利润占比
广西柳工,总资产的长期应收款占比
广西柳工,商业债权长期应收款占比
广西柳工,净资产无形资产占比
广西柳工,营运资本长期负债率
广西柳工,长期资本非流动负债率
广西柳工,总资产的其他应收款占比
广西柳工,控制性投资扩张系数
广西柳工,总资产融资性负债率
广西柳工,净资产货币资金占比
内蒙古发电,现金流动负债保障倍数
内蒙古发电,营业外收入占比
内蒙古发电,营业收入核心利润率
内蒙古发电,净利润占比
内蒙古发电,利润总额占比
内蒙古发电,营业收入毛利润率
内蒙古发电,净利润占比
内蒙古发电,利润总额占比
内蒙古发电,营业收入毛利润率
内蒙古发电,成本费用利润率
内蒙古发电,经营性资产核心利润率
内蒙古发电,归属母公司股东的净利润占比
内蒙古发电,总资产的其他应收款占比
内蒙古发电,总资产的经营性资产占比
内蒙古发电,总资产的固定资产占比
内蒙古发电,总资产的折旧与摊销系数
广西水利电业,营业成本应付占比
广西水利电业,利润总额占比
广西水利电业,经营性资产核心利润率
广西水利电业,成本费用利润率
广西水利电业,净资产无形资产占比
广西水利电业,应收票据与应收账款相关系数
广西水利电业,资产负债率
广西水利电业,长期资本非流动负债率
广西水利电业,所有者权益总负债率
广西水利电业,权益乘数
广西水利电业,有形资产总负债率
广西水利电业,总资产融资性负债率
广西水利电业,控制性投资扩张系数
山东如意,营业成本预付占比
山东如意,固定资产周转率
山东如意,有形资产总负债率
山东如意,总资产无形资产占比
山东如意,长期资本非流动负债率
山东如意,营运资本长期负债率
山东如意,资产负债率
山东如意,所有者权益总负债率
山东如意,权益乘数
山东如意,商业债权长期应收款占比
山东如意,总资产的长期应收款占比
山东如意,总资产融资性负债率
山东如意,总负债的流动负债率
山东如意,控制性投资扩张系数
中国供销集团,核心利润现金流保证比率
中国供销集团,总资产的资产减值损失率
中国供销集团,营业成本预付占比
中国供销集团,存货毛利系数
中国供销集团,净利润占比
中国供销集团,营业收入毛利润率
中国供销集团,营运资本长期负债率
中国供销集团,净资产无形资产占比
中国供销集团,有形资产总负债率
中国供销集团,资产负债率
中国供销集团,所有者权益总负债率
中国供销集团,权益乘数
中国供销集团,长期资本非流动负债率
中国供销集团,控制性投资扩张系数
中国供销集团,总资产融资性负债率
玲珑轮胎,存货跌价准备计提系数
玲珑轮胎,非应收授信坏账系数
玲珑轮胎,总资产的经营性资产占比
玲珑轮胎,总负债的流动负债率
玲珑轮胎,总资产的固定资产占比
厦门合兴包装印刷,总资产非现金流支持系数
厦门合兴包装印刷,存货毛利系数
厦门合兴包装印刷,固定资产与三费用率相关系数
厦门合兴包装印刷,营业收入毛利润率
厦门合兴包装印刷,归属母公司股东的净利润占比
厦门合兴包装印刷,有形资产总负债率
厦门合兴包装印刷,总资产商业性负债率
