corp_name,factor
广东恒健, 净资产
广东恒健,货币资金 
宁沪高速,预付款项
宁沪高速,存货
宁沪高速,一年内到期的非流动资产
宁沪高速,其他流动资产
宁沪高速,流动负债合计
宁沪高速,营业成本 
宁沪高速, 总资产
宁沪高速,无形资产 
宁沪高速,存货
宁沪高速,存货跌价准备合计
宁沪高速, 净资产
宁沪高速,货币资金 
广西柳工,流动负债合计
广西柳工,流动资产合计
广西柳工,销售费用率与营业收入相关系数
广西柳工, 净资产
广西柳工,短期借款 
广西柳工,货币资金 
内蒙古发电, 营业收入
内蒙古发电,营业外收入 
广西水利电业,应付账款
广西水利电业, 营业成本
广西水利电业,应付票据
广西水利电业, 净资产
广西水利电业,短期借款 
广西水利电业,应收票据与应收账款相关系数
山东如意, 营业成本
山东如意,预付款项 
山东如意, 总资产
山东如意,无形资产 
中国供销集团,营业成本预付占比
中国供销集团,存货毛利系数
中国供销集团,净资产无形资产占比
厦门合兴包装印刷,营业收入
厦门合兴包装印刷,销售商品、提供劳务收到的现金
厦门合兴包装印刷,存货周转率2
厦门合兴包装印刷,毛利率
厦门合兴包装印刷, 总资产
