指标名称,中国通州家纺价格指数:窄幅斜纹布,中国通州家纺价格指数:67〞40s×40s 128×68(印花),中国通州家纺价格指数:105〞40s×40s 133×100(印花),中国通州家纺工业景气指数,义乌中国小商品指数:服装服饰类:网上价格指数,义乌中国小商品指数:服装服饰类:订单价格指数,申万行业指数:家纺,申万行业指数:服装,美国:现价:折年数:个人消费支出:非耐用品:服装和鞋:季调,零售额:服装鞋帽、针、纺织品类:当月值,零售额:服装类:当月值,柯桥纺织:外贸信心指数:日用家纺面料,柯桥纺织:价格指数:家纺类:床上用品,柯桥纺织:价格指数:家纺类,柯桥纺织:价格指数:家纺类,柯桥纺织:价格指数:服装面料类:粘毛,柯桥纺织:价格指数:服装面料类:时尚,柯桥纺织:价格指数:服装面料类:麻粘,柯桥纺织:价格指数:服装面料类:涤粘,柯桥纺织:价格指数:服装面料类:涤棉,柯桥纺织:价格指数:服装面料类:涤毛,柯桥纺织:价格指数:服装面料类:涤纶,柯桥纺织:价格指数:服装面料类:涤锦,柯桥纺织:价格指数:服装面料类:涤氨,柯桥纺织:价格指数:服装面料类:纯棉,柯桥纺织:价格指数:服装面料类:纯麻,柯桥纺织:价格指数:服装面料类,海宁皮革:价格指数:服装类:皮革,广东:规模以上工业增加值:制造业:纺织服装、服饰业:当月值,工业增加值:皮革、毛皮、羽毛及其制品和制鞋业:当月同比,工业增加值:纺织服装、服饰业:当月同比,纺织服装、服饰业:主营业务收入:累计值,纺织服装、服饰业:营业费用:累计值,纺织服装、服饰业:利润总额:累计值,出口数量:裘皮服装:累计值,出口数量:皮革服装:累计值,出口金额:鞋类:当月值,出口金额:服装及衣着附件:当月值,RPI:服装、鞋帽:当月同比,CPI:衣着:衣着加工服务费:当月同比,CPI:衣着:鞋类:当月同比,CPI:衣着:服装:当月同比
2010-01-04,80.01 ,105.67 ,144.00 ,,,,1197.27 ,2132.07 ,,,,,91.41 ,95.07 ,95.07 ,107.55 ,108.85 ,97.53 ,102.79 ,90.36 ,109.70 ,95.02 ,97.57 ,98.00 ,111.43 ,94.04 ,98.97 ,,,,,,,,,,,,,,,
2010-01-05,80.25 ,106.12 ,143.00 ,,,,1231.21 ,2157.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,80.11 ,105.87 ,142.00 ,,,,1284.39 ,2170.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,72.07 ,105.96 ,141.00 ,,,,1271.78 ,2112.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,67.08 ,106.07 ,140.00 ,,,,1255.71 ,2117.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,63.60 ,106.70 ,140.00 ,,,,1286.81 ,2164.67 ,,,,,90.80 ,95.08 ,95.08 ,107.09 ,105.57 ,97.53 ,103.36 ,90.77 ,107.83 ,95.95 ,99.66 ,98.05 ,109.90 ,94.04 ,99.95 ,,,,,,,,,,,,,,,
2010-01-12,62.08 ,106.82 ,140.00 ,,,,1309.83 ,2219.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13,64.04 ,106.95 ,140.00 ,,,,1315.84 ,2191.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-14,68.33 ,106.94 ,140.00 ,,,,1324.41 ,2238.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,70.72 ,106.82 ,140.00 ,,,,1339.70 ,2277.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,74.37 ,106.62 ,140.00 ,,,,1327.88 ,2293.97 ,,,,,90.84 ,95.06 ,95.06 ,107.46 ,104.69 ,97.53 ,103.10 ,90.52 ,107.77 ,94.98 ,99.25 ,97.95 ,110.33 ,94.04 ,99.45 ,,,,,,,,,,,,,,,
2010-01-19,75.44 ,106.70 ,140.00 ,,,,1293.25 ,2284.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-20,77.50 ,106.69 ,140.00 ,,,,1204.82 ,2213.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-21,81.06 ,106.77 ,140.00 ,,,,1212.28 ,2226.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-22,80.72 ,106.94 ,140.00 ,,,,1169.40 ,2151.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-25,80.90 ,107.08 ,140.00 ,,,,1160.88 ,2123.26 ,,,,,91.00 ,95.23 ,95.23 ,107.50 ,104.28 ,97.53 ,103.41 ,90.42 ,107.91 ,94.81 ,99.48 ,97.91 ,110.26 ,94.04 ,99.47 ,,,,,,,,,,,,,,,
2010-01-26,81.37 ,106.87 ,140.00 ,,,,1137.25 ,2048.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-27,81.38 ,106.87 ,140.00 ,,,,1132.85 ,2049.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-28,78.35 ,106.83 ,140.00 ,,,,1131.54 ,2081.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29,77.91 ,106.75 ,140.00 ,,,,1165.63 ,2111.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,,,,120.58 ,100.00 ,100.01 ,,,,551.90 ,401.10 ,800.00 ,,,,,,,,,,,,,,,,,,,,,,,151.00 ,154.00 ,294716.90 ,998648.50 ,99.60 ,,,-0.40 
2010-02-01,75.01 ,106.65 ,140.00 ,,,,1133.20 ,2108.74 ,,,,,90.67 ,95.12 ,95.12 ,106.65 ,104.55 ,97.53 ,101.08 ,90.30 ,107.96 ,94.61 ,99.43 ,98.00 ,110.39 ,94.04 ,99.18 ,,,,,,,,,,,,,,,
