"","time","actual","pred"
"1",2011 Q1,76335099.1725,71095142.697393
"2",2011 Q2,58444235.0644118,68031474.8718628
"3",2011 Q3,89617112.0240476,91200588.9973468
"4",2011 Q4,61848062.9477062,67990400.2520495
"5",2012 Q1,80800179.2669892,68280179.5447244
"6",2012 Q2,58036368.8359,60237275.8092375
"7",2012 Q3,76018530.2219355,61157502.0771057
"8",2012 Q4,56785921.7967727,48752252.4413802
"9",2013 Q1,66819872.9503125,71486024.8270604
"10",2013 Q2,61783456.5167391,64213143.1840065
"11",2013 Q3,71975212.2353922,65312130.7501619
"12",2013 Q4,46875176.9590526,58972056.7876814
"13",2014 Q1,102110066.755758,85670532.717758
"14",2014 Q2,75336402.476875,84049163.8308859
"15",2014 Q3,54109566.6815385,58440979.5252643
"16",2014 Q4,64756361.8872436,68754846.4346016
"17",2015 Q1,109692281.408254,119573414.203413
"18",2015 Q2,99686779.0732222,89041146.2974926
"19",2015 Q3,57638176.2435714,57902651.4932928
"20",2015 Q4,68157458.6138433,69513189.0833194
"21",2016 Q1,127888964.856905,112092910.5509
"22",2016 Q2,70154316.5989,79066796.7670696
"23",2016 Q3,56783244.1444667,64577117.4902333
"24",2016 Q4,90375033.7053922,86892525.6130407
"25",2017 Q1,101685988.8342,111410423.024648
