"corp_name","report_period","营业总收入"
"龙星化工股份有限公司",2010-03-31,262284975.13
"龙星化工股份有限公司",2010-06-30,598733084.44
"龙星化工股份有限公司",2010-09-30,936637201.51
"龙星化工股份有限公司",2010-12-31,1333594349.27
"龙星化工股份有限公司",2011-03-31,408519388.38
"龙星化工股份有限公司",2011-06-30,956184503.56
"龙星化工股份有限公司",2011-09-30,1548744247.58
"龙星化工股份有限公司",2011-12-31,2043291667.53
"龙星化工股份有限公司",2012-03-31,459239259.16
"龙星化工股份有限公司",2012-06-30,923735730.17
"龙星化工股份有限公司",2012-09-30,1397035579.47
"龙星化工股份有限公司",2012-12-31,1940447166.33
"龙星化工股份有限公司",2013-03-31,516554761.92
"龙星化工股份有限公司",2013-06-30,1116445144.47
"龙星化工股份有限公司",2013-09-30,1694771639.57
"龙星化工股份有限公司",2013-12-31,2344427035.79
"龙星化工股份有限公司",2014-03-31,601520960.41
"龙星化工股份有限公司",2014-06-30,1278265532.26
"龙星化工股份有限公司",2014-09-30,1950880364.7
"龙星化工股份有限公司",2014-12-31,2438321866.04
"龙星化工股份有限公司",2015-03-31,410666877.42
"龙星化工股份有限公司",2015-06-30,900340725.08
"龙星化工股份有限公司",2015-09-30,1338107890.07
"龙星化工股份有限公司",2015-12-31,1737068946.91
"龙星化工股份有限公司",2016-03-31,366180726.58
"龙星化工股份有限公司",2016-06-30,823041522.32
"龙星化工股份有限公司",2016-09-30,1333244577.07
"龙星化工股份有限公司",2016-12-31,1843298400.64
"龙星化工股份有限公司",2017-03-31,542093955.38
"山西永东化工股份有限公司",2010-12-31,434487000
"山西永东化工股份有限公司",2011-12-31,744316311.57
"山西永东化工股份有限公司",2012-12-31,724962543.89
"山西永东化工股份有限公司",2013-12-31,823962958.77
"山西永东化工股份有限公司",2014-09-30,640673514.02
"山西永东化工股份有限公司",2014-12-31,848356946.93
"山西永东化工股份有限公司",2015-03-31,164834200
"山西永东化工股份有限公司",2015-06-30,409730985.55
"山西永东化工股份有限公司",2015-09-30,634277383.26
"山西永东化工股份有限公司",2015-12-31,865344077.83
"山西永东化工股份有限公司",2016-03-31,196831169.81
"山西永东化工股份有限公司",2016-06-30,463597615.79
"山西永东化工股份有限公司",2016-09-30,744133496.22
"山西永东化工股份有限公司",2016-12-31,1096262401.58
"山西永东化工股份有限公司",2017-03-31,385259460.6
"佳通轮胎股份有限公司",2010-03-31,729511003.23
"佳通轮胎股份有限公司",2010-06-30,1596125679.9
"佳通轮胎股份有限公司",2010-09-30,2581734630.2
"佳通轮胎股份有限公司",2010-12-31,3611005162.68
"佳通轮胎股份有限公司",2011-03-31,1042791096.42
"佳通轮胎股份有限公司",2011-06-30,2219696057.76
"佳通轮胎股份有限公司",2011-09-30,3529686182.53
"佳通轮胎股份有限公司",2011-12-31,4817406552.68
"佳通轮胎股份有限公司",2012-03-31,1037309838.5
"佳通轮胎股份有限公司",2012-06-30,2064294583.14
"佳通轮胎股份有限公司",2012-09-30,3099193392.69
"佳通轮胎股份有限公司",2012-12-31,4282716490.4
"佳通轮胎股份有限公司",2013-03-31,1056725899.53
"佳通轮胎股份有限公司",2013-06-30,2199237181.91
"佳通轮胎股份有限公司",2013-09-30,3480169074.42
"佳通轮胎股份有限公司",2013-12-31,4649860235.13
"佳通轮胎股份有限公司",2014-03-31,1005637247.77
"佳通轮胎股份有限公司",2014-06-30,1847578288.7
"佳通轮胎股份有限公司",2014-09-30,2922489415.61
"佳通轮胎股份有限公司",2014-12-31,3988135272.84
"佳通轮胎股份有限公司",2015-03-31,761421231.19
"佳通轮胎股份有限公司",2015-06-30,1696567004.93
"佳通轮胎股份有限公司",2015-09-30,2483486098.24
"佳通轮胎股份有限公司",2015-12-31,3169597873.59
"佳通轮胎股份有限公司",2016-03-31,649334379.08
"佳通轮胎股份有限公司",2016-06-30,1324341881.57
"佳通轮胎股份有限公司",2016-09-30,2177325289.96
"佳通轮胎股份有限公司",2016-12-31,3023590441.8
"佳通轮胎股份有限公司",2017-03-31,880432876.35
"上海华谊集团股份有限公司",2010-03-31,2227232624.09
"上海华谊集团股份有限公司",2010-06-30,4559757518.72
"上海华谊集团股份有限公司",2010-09-30,6996905280.12
"上海华谊集团股份有限公司",2010-12-31,9094625423.79
"上海华谊集团股份有限公司",2011-03-31,2487915451.21
"上海华谊集团股份有限公司",2011-06-30,5271726667.64
"上海华谊集团股份有限公司",2011-09-30,8425465032.61
"上海华谊集团股份有限公司",2011-12-31,10926632344.89
"上海华谊集团股份有限公司",2012-03-31,2960063868.86
"上海华谊集团股份有限公司",2012-06-30,6061270028.36
"上海华谊集团股份有限公司",2012-09-30,9047739993.72
"上海华谊集团股份有限公司",2012-12-31,12101579585.08
"上海华谊集团股份有限公司",2013-03-31,3195270785.45
"上海华谊集团股份有限公司",2013-06-30,7056011535.79
"上海华谊集团股份有限公司",2013-09-30,10470061889.81
"上海华谊集团股份有限公司",2013-12-31,14332182275.49
"上海华谊集团股份有限公司",2014-03-31,3455976012.63
"上海华谊集团股份有限公司",2014-06-30,7000300835.18
"上海华谊集团股份有限公司",2014-09-30,10353158746.68
"上海华谊集团股份有限公司",2014-12-31,14730564911.57
"上海华谊集团股份有限公司",2015-03-31,2354018453.32
"上海华谊集团股份有限公司",2015-06-30,5856686499.6
"上海华谊集团股份有限公司",2015-09-30,25698256186.21
"上海华谊集团股份有限公司",2015-12-31,40702569878.14
"上海华谊集团股份有限公司",2016-03-31,9352623645.08
"上海华谊集团股份有限公司",2016-06-30,19919041430.14
"上海华谊集团股份有限公司",2016-09-30,29665835093.74
"上海华谊集团股份有限公司",2016-12-31,41028799667.54
"上海华谊集团股份有限公司",2017-03-31,11489939231.62
"江阴海达橡塑股份有限公司",2010-12-31,467363678.94
"江阴海达橡塑股份有限公司",2011-06-30,313739705.96
"江阴海达橡塑股份有限公司",2011-09-30,465521409.94
"江阴海达橡塑股份有限公司",2011-12-31,623634789.97
"江阴海达橡塑股份有限公司",2012-03-31,119805681.25
"江阴海达橡塑股份有限公司",2012-06-30,259606297.7
"江阴海达橡塑股份有限公司",2012-09-30,408298766.74
"江阴海达橡塑股份有限公司",2012-12-31,548563354.9
"江阴海达橡塑股份有限公司",2013-03-31,131505113.43
"江阴海达橡塑股份有限公司",2013-06-30,296639366.52
"江阴海达橡塑股份有限公司",2013-09-30,462090946.61
"江阴海达橡塑股份有限公司",2013-12-31,642971609.59
"江阴海达橡塑股份有限公司",2014-03-31,157375718.66
"江阴海达橡塑股份有限公司",2014-06-30,382272735.04
"江阴海达橡塑股份有限公司",2014-09-30,603502334.36
"江阴海达橡塑股份有限公司",2014-12-31,836973719.17
"江阴海达橡塑股份有限公司",2015-03-31,197925900.26
"江阴海达橡塑股份有限公司",2015-06-30,411404179.4
"江阴海达橡塑股份有限公司",2015-09-30,601998173.01
"江阴海达橡塑股份有限公司",2015-12-31,828786901.12
"江阴海达橡塑股份有限公司",2016-03-31,183840230.53
"江阴海达橡塑股份有限公司",2016-06-30,393878887.62
"江阴海达橡塑股份有限公司",2016-09-30,608897543.35
"江阴海达橡塑股份有限公司",2016-12-31,855747906.19
"江阴海达橡塑股份有限公司",2017-03-31,233798095.99
"江苏通用科技股份有限公司",2011-12-31,3394484626.4
"江苏通用科技股份有限公司",2012-03-31,1010401900
"江苏通用科技股份有限公司",2012-12-31,3565175156.12
"江苏通用科技股份有限公司",2013-12-31,3717110218.87
"江苏通用科技股份有限公司",2014-12-31,3502072581.61
"江苏通用科技股份有限公司",2015-09-30,2313610646.83
"江苏通用科技股份有限公司",2015-12-31,3214961247.19
"江苏通用科技股份有限公司",2016-06-30,1521071470.01
"江苏通用科技股份有限公司",2016-09-30,2393841592.18
"江苏通用科技股份有限公司",2016-12-31,3361227285.92
"江苏通用科技股份有限公司",2017-03-31,899842929.77
"浙江双箭橡胶股份有限公司",2010-03-31,159198170.13
"浙江双箭橡胶股份有限公司",2010-06-30,388313634.16
"浙江双箭橡胶股份有限公司",2010-09-30,581683666.53
"浙江双箭橡胶股份有限公司",2010-12-31,824532521.65
"浙江双箭橡胶股份有限公司",2011-03-31,205283108.04
"浙江双箭橡胶股份有限公司",2011-06-30,505775759.89
"浙江双箭橡胶股份有限公司",2011-09-30,810623998.69
"浙江双箭橡胶股份有限公司",2011-12-31,1145925172.76
"浙江双箭橡胶股份有限公司",2012-03-31,241973379.04
