指标名称,市场价:顺丁橡胶(BR9000):全国,市场价(平均价):氯丁橡胶(M-40):华东地区,经销价:丁苯橡胶(齐鲁1502):中石化华北,市场价(平均价):丁基橡胶(268):华东地区,市场价(平均价):丁基橡胶(268):华北地区,(停止)出厂价:丁腈橡胶(2907):兰州石化,进口数量:天然橡胶:当月值,进口数量:合成橡胶:当月值,现货价:天然橡胶(国产5号标胶):国内,出厂价:丁二烯:中石化华东,出厂价:丁二烯:中石化华南,进口平均单价:氯丁二烯橡胶胶乳:当月值,市场价:苯乙烯(一级品):全国,产量:乙烯:当月值,出厂价:异丁烯:滨州裕华,价格指数:机械设备:传动带,价格指数:机械设备:输送带,进口数量:其他硫化橡胶制的传动带及带料(40103900):当月值,出口数量:其他硫化橡胶制的传动带及带料(40103900):当月值,价格指数:电工电气:高压绝缘材料,产量:金属硅:全国:累计值,产量:轮胎:当月值,产量:汽车:当月值,产量:新能源汽车:当月值,申万行业指数:橡胶,工业增加值:橡胶和塑料制品业:当月同比,橡胶和塑料制品业:营业收入:累计值,出口交货值:橡胶和塑料制品业:当月值,进口数量:硫化橡胶制避孕套(40141000):当月值,出口数量:硫化橡胶制避孕套(40141000):当月同比,进口数量:加强或只与金属合制的硫化橡胶管(40092100):当月值,出口数量:加强或只与金属合制的硫化橡胶管(40092100):当月值
2010-01-01,,,,,,,,,24657.00 ,,,,,,,,,,,,,,,,,,,,,,,
2010-01-03,,,,37000.00 ,37000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,,16400.00 ,,,,,,,,,,,,,,,,,,,,,,3623.79 ,,,,,,,
2010-01-05,,,16400.00 ,,,,,,,,,,,,,,,,,,,,,,3626.94 ,,,,,,,
2010-01-06,,,16400.00 ,,,,,,,,,,,,,,,,,,,,,,3595.31 ,,,,,,,
2010-01-07,,,16400.00 ,,,,,,,,,,,,,,,,,,,,,,3459.06 ,,,,,,,
2010-01-08,,,16700.00 ,,,,,,,,,,,,,,,,,,,,,,3496.45 ,,,,,,,
2010-01-10,,,,44800.00 ,44800.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,,,17200.00 ,,,,,,,,,,,,,,,,,,,,,,3478.06 ,,,,,,,
2010-01-12,,,17200.00 ,,,,,,,,,,,,,,,,,,,,,,3577.48 ,,,,,,,
2010-01-13,,,18000.00 ,,,,,,,,,,,,,,,,,,,,,,3510.67 ,,,,,,,
2010-01-14,,,18000.00 ,,,,,,,,,,,,,,,,,,,,,,3613.84 ,,,,,,,
2010-01-15,,,18500.00 ,,,,,,24381.00 ,,,,,,,,,,,,,,,,3615.67 ,,,,,,,
2010-01-17,,,,37000.00 ,37000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3681.55 ,,,,,,,
2010-01-19,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3662.73 ,,,,,,,
2010-01-20,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3498.93 ,,,,,,,
2010-01-21,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3524.31 ,,,,,,,
2010-01-22,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3434.60 ,,,,,,,
2010-01-24,,,,37000.00 ,37000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-25,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3377.88 ,,,,,,,
2010-01-26,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3225.29 ,,,,,,,
2010-01-27,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3205.76 ,,,,,,,
2010-01-28,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3278.39 ,,,,,,,
2010-01-29,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3267.77 ,,,,,,,
2010-01-31,,,,37000.00 ,37000.00 ,,17.00 ,12.71 ,,,,2780.62 ,,94.70 ,,,,193.98 ,1882.42 ,,,5273.10 ,162.49 ,,,,,,159.66 ,-4.62 ,1275.39 ,2965.97 
2010-02-01,,,18500.00 ,,,,,,23738.00 ,,,,,,,,,,,,,,,,3402.69 ,,,,,,,
2010-02-02,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3337.08 ,,,,,,,
2010-02-03,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3317.89 ,,,,,,,
2010-02-04,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3291.10 ,,,,,,,
2010-02-05,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3221.50 ,,,,,,,
2010-02-07,,,,39200.00 ,39200.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-08,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3198.75 ,,,,,,,
2010-02-09,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3234.87 ,,,,,,,
2010-02-10,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3272.63 ,,,,,,,
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,3274.42 ,,,,,,,
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,3340.88 ,,,,,,,
2010-02-14,,,,37000.00 ,37000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-15,,,,,,,,,24530.00 ,,,,,,,,,,,,,,,,,,,,,,,
2010-02-21,,,18500.00 ,37000.00 ,37000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-22,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3336.09 ,,,,,,,
2010-02-23,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3334.07 ,,,,,,,
2010-02-24,,,18500.00 ,,,,,,,,,,,,,,,,,,,,,,3433.18 ,,,,,,,
