"","time","actual","pred"
"1",2011 Q1,22489402.5792308,20029343.2405679
"2",2011 Q2,34147970.6073864,31291411.3585622
"3",2011 Q3,26354890.0992857,38683630.0983485
"4",2011 Q4,28286043.2300581,29037732.5771738
"5",2012 Q1,29724423.4333333,27660186.7380262
"6",2012 Q2,53855979.1073913,45261488.8628071
"7",2012 Q3,56704247.5241176,53292990.80126
"8",2012 Q4,50032288.3738125,55525481.7802968
"9",2013 Q1,59069373.7510417,61050278.7514317
"10",2013 Q2,69736121.4693478,79533660.1104875
"11",2013 Q3,80053802.0346667,74932099.5692129
"12",2013 Q4,60754992.6607895,64464970.3489539
"13",2014 Q1,73378183.3135417,65250977.8298873
"14",2014 Q2,95676069.4123864,86940609.0409973
"15",2014 Q3,71643215.7096078,73859310.7851586
"16",2014 Q4,61987010.3830263,59616868.9523109
"17",2015 Q1,40808205.1782353,48051620.6996564
"18",2015 Q2,52085099.33,54955234.1487083
"19",2015 Q3,59993376.1696296,64655329.3602398
"20",2015 Q4,57536341.0545968,44977078.5628585
"21",2016 Q1,23375860.9242857,47142284.9958215
"22",2016 Q2,56058123.1147368,63576959.5196863
"23",2016 Q3,73914889.8,63241060.7230877
"24",2016 Q4,59888322.0609524,44929797.4042078
"25",2017 Q1,47217938.3495,46811763.4112114
