"","time","actual","pred"
"1",2011 Q1,1108783076.37359,1034543762.8209
"2",2011 Q2,964302449.102462,970643471.569284
"3",2011 Q3,1177380559.43964,1226285054.82318
"4",2011 Q4,1033084478.71843,1104425963.54108
"5",2012 Q1,1132026917.568,1077089624.71581
"6",2012 Q2,1049896054.54772,1163822012.7015
"7",2012 Q3,1366329010.20784,1284588814.43609
"8",2012 Q4,897948075.050271,1133279041.43714
"9",2013 Q1,1240949775.08583,1164542842.56135
"10",2013 Q2,1172952452.05435,1076912975.63397
"11",2013 Q3,1479030521.724,1206611179.40075
"12",2013 Q4,942946556.812829,1098003196.56924
"13",2014 Q1,1289846568.35938,1311781750.59102
"14",2014 Q2,1283099417.23045,1215557572.20774
"15",2014 Q3,1251080783.72922,1176139007.56616
"16",2014 Q4,913866402.774868,916347454.425823
"17",2015 Q1,1035063894.74471,1090147325.6528
"18",2015 Q2,1178513666.375,1386702970.64289
"19",2015 Q3,2002289471.91889,2051899004.90575
"20",2015 Q4,1362707117.07194,1490247953.78791
"21",2016 Q1,1377146119.62357,1359439002.41998
"22",2016 Q2,1527716830.02711,1446031505.28445
"23",2016 Q3,1508055983.6313,1589486019.2593
"24",2016 Q4,1847480717.06476,1574785056.10403
"25",2017 Q1,1706136189.0435,1699320525.22152
