"","time","actual","pred"
"1",2011 Q1,22135388.0064103,25496035.8724103
"2",2011 Q2,34963439.9788636,34936533.2367884
"3",2011 Q3,25026601.49,26118619.3823748
"4",2011 Q4,25739172.9023837,24966425.7104195
"5",2012 Q1,25706531.6425,22704635.7582952
"6",2012 Q2,51859145.3897826,60133476.0046198
"7",2012 Q3,51682740.5098039,54562930.4221498
"8",2012 Q4,45370471.977,41574433.6291284
"9",2013 Q1,53244426.2435417,51756027.3782011
"10",2013 Q2,63949012.9241304,66952845.0314926
"11",2013 Q3,70544326.5473333,68864244.0941799
"12",2013 Q4,59888722.4472368,63186508.0071354
"13",2014 Q1,68384311.5472917,47801645.7850106
"14",2014 Q2,92250987.5581818,84876841.8392678
"15",2014 Q3,69893122.214902,77684270.3089434
"16",2014 Q4,55355905.3256579,55990896.3702857
"17",2015 Q1,42066773.8786274,56649276.75417
"18",2015 Q2,50965640.38875,51665915.1594386
"19",2015 Q3,58744275.057963,55957087.5074623
"20",2015 Q4,55877993.8982258,53563696.4593242
"21",2016 Q1,20781557.0971429,40695316.4158224
"22",2016 Q2,53540769.1784211,48963384.1465224
"23",2016 Q3,70934248.4001449,63638162.5050369
"24",2016 Q4,56958519.6033333,48971864.9043025
"25",2017 Q1,47153967.873,45306979.3978463
