"","time","actual","pred"
"1",2011 Q1,1135378451.15821,1174349698.75977
"2",2011 Q2,986922227.938561,1069466667.59834
"3",2011 Q3,1206165430.12821,1269704037.43353
"4",2011 Q4,1068007838.86384,954351005.364877
"5",2012 Q1,1154103533.59125,1068042582.47812
"6",2012 Q2,1111980516.99413,1122551534.22242
"7",2012 Q3,1435056871.35549,1327519649.43342
"8",2012 Q4,942739329.440292,1158163217.15132
"9",2013 Q1,1314071883.50479,1253158991.74523
"10",2013 Q2,1257593183.65707,1188555358.65928
"11",2013 Q3,1574403978.808,1503755743.33996
"12",2013 Q4,1006898471.12461,1098375282.07501
"13",2014 Q1,1377239884.94833,1192618438.27985
"14",2014 Q2,1398389379.21545,1288865894.64074
"15",2014 Q3,1343195711.59608,1288391218.35481
"16",2014 Q4,961810418.427829,1079338949.66407
"17",2015 Q1,1078500019.41843,1351574117.52288
"18",2015 Q2,1243144860.93125,1258522752.63569
"19",2015 Q3,2044622662.54537,1929689366.04815
"20",2015 Q4,1400054099.79694,1361408925.35625
"21",2016 Q1,1391852556.71214,1456203165.39573
"22",2016 Q2,1584139213.50105,1654207174.48104
"23",2016 Q3,1577203564.66507,1861588204.48834
"24",2016 Q4,1872989329.62667,1617020741.15423
"25",2017 Q1,1747967980.7485,1687008682.41449
