"","time","actual","pred"
"1",2011 Q1,1135378451.15821,1037669115.77836
"2",2011 Q2,986922227.938561,1116300709.28655
"3",2011 Q3,1206165430.12821,1247809452.15929
"4",2011 Q4,1068007838.86384,1032659626.31855
"5",2012 Q1,1154103533.59125,1050121225.88868
"6",2012 Q2,1111980516.99413,1153035829.0901
"7",2012 Q3,1435056871.35549,1341213646.53554
"8",2012 Q4,942739329.440292,1066204761.71515
"9",2013 Q1,1314071883.50479,1160724627.52925
"10",2013 Q2,1257593183.65707,1170990648.41739
"11",2013 Q3,1574403978.808,1388152450.14899
"12",2013 Q4,1006898471.12461,1239957816.76264
"13",2014 Q1,1377239884.94833,1361439373.51698
"14",2014 Q2,1398389379.21545,1341354894.50078
"15",2014 Q3,1343195711.59608,1536347193.6764
"16",2014 Q4,961810418.427829,1077509117.90559
"17",2015 Q1,1078500019.41843,1107164178.03408
"18",2015 Q2,1243144860.93125,1290778876.63792
"19",2015 Q3,2044622662.54537,1959127037.33723
"20",2015 Q4,1400054099.79694,1378459625.83623
"21",2016 Q1,1391852556.71214,1331737966.53444
"22",2016 Q2,1584139213.50105,1509708424.30476
"23",2016 Q3,1577203564.66507,1707998439.24077
"24",2016 Q4,1872989329.62667,1731288040.12658
"25",2017 Q1,1747967980.7485,1876678321.4153
