指标名称,产量:水泥专用设备:当月值,申万行业指数:水泥制造,价格:普通水泥:42.5级袋装:北京,价格:普通水泥:42.5级袋装:上海,价格:普通水泥:42.5级袋装:南京,价格:普通水泥:42.5级袋装:济南,价格:普通水泥:42.5级袋装:武汉
2010-01-01,,,380.00 ,345.00 ,295.00 ,360.00 ,340.00 
2010-01-04,,4702.96 ,,,,,
2010-01-05,,4704.01 ,,,,,
2010-01-06,,4703.23 ,,,,,
2010-01-07,,4566.86 ,,,,,
2010-01-08,,4595.01 ,380.00 ,345.00 ,295.00 ,360.00 ,340.00 
2010-01-11,,4556.15 ,,,,,
2010-01-12,,4640.87 ,,,,,
2010-01-13,,4487.96 ,,,,,
2010-01-14,,4544.80 ,,,,,
2010-01-15,,4568.53 ,380.00 ,345.00 ,295.00 ,360.00 ,340.00 
2010-01-18,,4631.20 ,,,,,
2010-01-19,,4673.27 ,,,,,
2010-01-20,,4453.40 ,,,,,
2010-01-21,,4434.86 ,,,,,
2010-01-22,,4292.18 ,380.00 ,345.00 ,295.00 ,360.00 ,340.00 
2010-01-25,,4280.43 ,,,,,
2010-01-26,,4153.33 ,,,,,
2010-01-27,,4133.22 ,,,,,
2010-01-28,,4168.93 ,,,,,
2010-01-29,,4270.87 ,380.00 ,345.00 ,295.00 ,360.00 ,340.00 
2010-01-31,61637.94 ,,,,,,
2010-02-01,,4283.26 ,,,,,
2010-02-02,,4244.09 ,,,,,
2010-02-03,,4242.53 ,,,,,
2010-02-04,,4337.13 ,,,,,
2010-02-05,,4164.28 ,380.00 ,345.00 ,275.00 ,360.00 ,340.00 
2010-02-08,,4144.24 ,,,,,
2010-02-09,,4144.32 ,,,,,
2010-02-10,,4229.51 ,,,,,
2010-02-11,,4220.13 ,,,,,
2010-02-12,,4266.56 ,380.00 ,345.00 ,275.00 ,360.00 ,340.00 
2010-02-19,,,380.00 ,345.00 ,275.00 ,360.00 ,340.00 
2010-02-22,,4307.16 ,,,,,
