指标名称,城镇固定资产投资完成额:房地产开发,产量:水泥:当月值,房屋新开工面积:累计值,固定资产投资完成额:基础设施建设投资:累计值,固定资产投资价格指数:建筑安装工程:材料费:水泥:当季同比
2010/1/31,,11520.47 ,,,
2010/2/28,,8377.50 ,14914.32 ,3610.19 ,
2010/3/31,,13598.70 ,32288.60 ,7497.48 ,101.50 
2010/4/30,,16114.50 ,45686.81 ,12033.91 ,
2010/5/31,,17357.60 ,61462.64 ,17423.51 ,
2010/6/30,,17448.30 ,80450.94 ,25084.54 ,100.70 
2010/7/31,,16492.20 ,92183.27 ,30994.85 ,
2010/8/31,,16780.40 ,104847.46 ,36760.42 ,
2010/9/30,,17045.80 ,119441.00 ,43034.38 ,102.50 
2010/10/31,,17029.70 ,131756.46 ,48805.69 ,
2010/11/30,,17658.40 ,145130.00 ,55032.30 ,
2010/12/31,48259.40 ,16966.20 ,163646.87 ,64808.03 ,107.90 
2011/1/31,,11614.95 ,,,
2011/2/28,,8814.10 ,19082.79 ,4249.60 ,
2011/3/31,,16455.60 ,39842.43 ,8841.13 ,110.30 
2011/4/30,,18555.60 ,56840.51 ,14131.53 ,
2011/5/31,,19628.30 ,76118.16 ,20044.04 ,
2011/6/30,,19794.50 ,99442.59 ,27039.27 ,108.90 
2011/7/31,,18307.70 ,115169.16 ,33047.51 ,
2011/8/31,,18242.90 ,131880.67 ,38958.51 ,
2011/9/30,,19031.30 ,147774.69 ,45725.74 ,110.20 
2011/10/31,,19062.70 ,160362.19 ,52037.57 ,
2011/11/30,,18806.00 ,174951.75 ,58285.22 ,
2011/12/31,61796.89 ,17508.30 ,191236.87 ,66945.87 ,107.40 
2012/1/31,,10174.14 ,,,
2012/2/29,,11414.22 ,20048.65 ,4149.31 ,
2012/3/31,,17927.70 ,39946.27 ,9001.55 ,100.70 
2012/4/30,,19666.20 ,54467.80 ,14593.88 ,
2012/5/31,,20510.90 ,72859.30 ,20971.27 ,
2012/6/30,,20716.50 ,92379.67 ,29272.59 ,98.70 
2012/7/31,,19117.00 ,103904.55 ,36146.28 ,
2012/8/31,,19555.20 ,122940.43 ,42951.41 ,
2012/9/30,,20966.30 ,135014.43 ,51466.21 ,95.61 
2012/10/31,,21005.80 ,146792.20 ,59390.59 ,
2012/11/30,,20107.60 ,162413.22 ,66416.85 ,
2012/12/31,71803.79 ,18179.70 ,177333.62 ,77171.70 ,96.23 
2013/1/31,,14232.70 ,,,
2013/2/28,,9496.50 ,23001.02 ,5112.49 ,
2013/3/31,,18697.60 ,38872.95 ,11305.50 ,97.16 
2013/4/30,,21487.80 ,55505.88 ,18103.37 ,
2013/5/31,,22426.73 ,73613.29 ,26030.38 ,
2013/6/30,,22753.70 ,95901.09 ,36199.46 ,97.75 
2013/7/31,,21182.24 ,112637.72 ,44776.77 ,
2013/8/31,,21483.39 ,127840.31 ,53573.68 ,
2013/9/30,,22505.32 ,144899.56 ,63927.47 ,99.10 
2013/10/31,,23253.73 ,156275.00 ,73116.46 ,
2013/11/30,,22371.42 ,181054.68 ,81843.33 ,
2013/12/31,86013.38 ,20529.50 ,201207.84 ,93621.02 ,100.29 
2014/2/28,,,16693.01 ,6073.08 ,
2014/3/31,,20484.70 ,29089.66 ,13666.99 ,102.38 
2014/4/30,,22588.76 ,43234.32 ,21880.23 ,
2014/5/31,,23426.99 ,59912.47 ,32022.83 ,
2014/6/30,,23195.84 ,80125.74 ,44466.14 ,101.06 
2014/7/31,,22296.82 ,98231.77 ,54900.54 ,
2014/8/31,,22480.13 ,114381.52 ,65128.53 ,
2014/9/30,,22415.01 ,131410.97 ,77139.64 ,100.03 
2014/10/31,,23353.00 ,147661.01 ,88460.40 ,
2014/11/30,,21863.00 ,164705.46 ,98484.45 ,
2014/12/31,95035.61 ,20400.70 ,179592.49 ,112174.48 ,99.39 
2015/2/28,,,13743.52 ,7335.89 ,
2015/3/31,,16139.00 ,23723.62 ,16786.43 ,98.43 
2015/4/30,,20865.00 ,35756.09 ,26323.95 ,
2015/5/31,,22044.00 ,50304.75 ,37994.38 ,
2015/6/30,,21776.00 ,67478.78 ,52999.49 ,97.11 
2015/7/31,,21193.00 ,81730.66 ,65131.02 ,
2015/8/31,,21499.00 ,95181.85 ,77371.74 ,
2015/9/30,,21764.00 ,114814.31 ,91062.53 ,96.35 
2015/10/31,,22498.80 ,127085.85 ,103842.99 ,
2015/11/30,,20494.40 ,140568.66 ,116191.51 ,
2015/12/31,95978.85 ,19797.40 ,154453.68 ,131265.37 ,94.90 
2016/2/29,,,15620.21 ,8489.93 ,
2016/3/31,,20138.60 ,28281.42 ,20017.55 ,93.20 
2016/4/30,,21626.30 ,43425.43 ,31517.79 ,
2016/5/31,,22660.50 ,59521.61 ,45501.33 ,
2016/6/30,,22277.60 ,77536.93 ,63773.36 ,95.40 
2016/7/31,,21410.20 ,92944.18 ,77323.56 ,
2016/8/31,,21771.90 ,106833.59 ,91548.91 ,
2016/9/30,,22392.70 ,122655.32 ,107374.95 ,97.00 
2016/10/31,,22783.30 ,137375.40 ,122113.59 ,
2016/11/30,,21350.80 ,151303.48 ,136158.70 ,
2016/12/31,102581.00 ,19978.94 ,166928.13 ,152011.68 ,
2017/2/28,,,17238.39 ,10295.80 ,
2017/3/31,,20162.40 ,31559.70 ,23756.69 ,104.70 
2017/4/30,,22112.80 ,48239.92 ,37259.75 ,
2017/5/31,,22845.80 ,65178.73 ,53076.01 ,
2017/6/30,,22081.00 ,85719.61 ,74509.08 ,105.60 
2017/7/31,,21283.40 ,100370.80 ,90200.73 ,
