"","time","actual","pred"
"1",2011 Q3,2870711645.67078,3057028634.66752
"2",2011 Q4,2285583421.44837,2193886285.54963
"3",2012 Q1,2049199509.65034,2094671513.94958
"4",2012 Q2,2521489490.1274,2649762258.69361
"5",2012 Q3,3036190595.64032,2827998638.31514
"6",2012 Q4,2091500196.67671,2280462542.74645
"7",2013 Q1,2376775385.9129,2324021449.88056
"8",2013 Q2,3352732374.56879,3046995129.90798
"9",2013 Q3,3425481113.04636,3329714024.35518
"10",2013 Q4,2524111782.0049,2724886748.17929
"11",2014 Q1,2666943410.62576,2472127341.50295
"12",2014 Q2,3309193828.04542,3248874137.69023
"13",2014 Q3,3462327029.90312,3213525470.4423
"14",2014 Q4,2840025535.19137,2779399151.33168
"15",2015 Q1,2398188690.02226,2491229504.59527
"16",2015 Q2,3115279128.26368,3157508441.99763
"17",2015 Q3,3259960985.53226,3283807166.55984
"18",2015 Q4,2564330204.54389,2548713823.87266
"19",2016 Q1,2259789783.23897,2285025090.72222
"20",2016 Q2,3110343968.39328,3268842880.42096
"21",2016 Q3,3242709328.75889,3585306764.21174
"22",2016 Q4,3463808073.9529,3242010662.13843
"23",2017 Q1,2669023786.24357,2789901605.73136
