"","time","actual","pred"
"1",2011 Q3,642501944.640556,623000388.461087
"2",2011 Q4,292498137.972326,313586926.785978
"3",2012 Q1,132001459.415977,139957772.149393
"4",2012 Q2,292218520.347419,322780022.403197
"5",2012 Q3,270982719.31129,267465611.596334
"6",2012 Q4,248320219.626155,271490334.913481
"7",2013 Q1,53562832.2977419,55260653.3145332
"8",2013 Q2,319392106.992708,268646231.501627
"9",2013 Q3,388530053.117172,275108253.860853
"10",2013 Q4,354586455.485669,340026384.809561
"11",2014 Q1,179485593.838182,168562348.492295
"12",2014 Q2,325365707.387905,366926328.458891
"13",2014 Q3,326712750.14,335571776.620496
"14",2014 Q4,310315468.916278,338763272.465133
"15",2015 Q1,2142902.37645161,32349402.7964699
"16",2015 Q2,215111982.660147,173635962.290272
"17",2015 Q3,-9505685.09774194,129127813.212763
"18",2015 Q4,28542317.0398077,88545677.0089665
"19",2016 Q1,-63983972.5023333,-117999873.008772
"20",2016 Q2,136464485.343333,137309853.693482
"21",2016 Q3,256935707.898214,149942035.487604
"22",2016 Q4,243090340.858281,263242521.922267
"23",2017 Q1,69535772.3907143,71508121.2203428
