"","time","actual","pred"
"1",2011 Q1,243194487.483462,326155325.969579
"2",2011 Q2,620392906.007071,600761066.359206
"3",2011 Q3,576569173.415862,574459972.774406
"4",2011 Q4,327322507.113,464808504.108092
"5",2012 Q1,113835257.531075,187684480.355151
"6",2012 Q2,549328016.697976,408770278.258286
"7",2012 Q3,400738127.126562,381558151.476665
"8",2012 Q4,272251654.186898,410847201.666045
"9",2013 Q1,307097973.954848,188903879.643325
"10",2013 Q2,478503726.925878,540937452.857963
"11",2013 Q3,502116164.301667,563174133.617938
"12",2013 Q4,601838102.980645,561836716.145526
"13",2014 Q1,425178461.595455,283744666.739647
"14",2014 Q2,739010274.137432,558430307.724844
"15",2014 Q3,604812086.601875,549861087.506382
"16",2014 Q4,396988114.232278,493200203.305858
"17",2015 Q1,237991434.597742,182782841.808428
"18",2015 Q2,263399388.795515,440269621.848278
"19",2015 Q3,399870786.970323,480360665.325748
"20",2015 Q4,526185189.1275,430654718.293669
"21",2016 Q1,266719073.929333,219743371.747039
"22",2016 Q2,444107729.665484,529619380.466669
"23",2016 Q3,549077442.146207,590702783.898347
"24",2016 Q4,893826154.181797,659272326.846335
"25",2017 Q1,301110568.266071,412925663.228531
