"","time","actual","pred"
"1",2011 Q3,3596174193.82367,3554958535.14535
"2",2011 Q4,2454513874.53446,2534961959.59277
"3",2012 Q1,2070742893.67559,2220107726.58089
"4",2012 Q2,2866203560.1613,2907819183.59839
"5",2012 Q3,3320029272.19645,3183403360.09775
"6",2012 Q4,2497299694.27135,2542887072.35906
"7",2013 Q1,2438370657.18813,2342129368.41736
"8",2013 Q2,3691143795.93304,3433982278.57812
"9",2013 Q3,3838865957.51869,3606371891.30219
"10",2013 Q4,3019754040.88691,3074288347.80235
"11",2014 Q1,2865572665.09758,2748930717.11949
"12",2014 Q2,3535088051.25513,3772895635.24752
"13",2014 Q3,3771606051.42094,3860491055.21739
"14",2014 Q4,3433494162.29203,3132545536.82153
"15",2015 Q1,2342620463.40806,2439651006.02842
"16",2015 Q2,3000583595.62921,3291120703.70475
"17",2015 Q3,3282388343.38032,3480214673.12794
"18",2015 Q4,2563018104.41333,2683396959.82238
"19",2016 Q1,2253950148.69533,2164876497.51859
"20",2016 Q2,3568861083.21125,3308914610.30428
"21",2016 Q3,3537682723.77286,3661307027.22229
"22",2017 Q1,2666210471.665,2668919658.82182
