"","name","time","NetIncome"
"1","神华集团有限责任公司","2010Q1",12882767377
"2","神华集团有限责任公司","2010Q2",12991285424
"3","神华集团有限责任公司","2010Q3",12571549759
"4","神华集团有限责任公司","2010Q4",8413164756
"5","神华集团有限责任公司","2011Q1",14558834780
"6","神华集团有限责任公司","2011Q2",16818829621
"7","神华集团有限责任公司","2011Q3",14192538272
"8","神华集团有限责任公司","2011Q4",12953737207
"9","神华集团有限责任公司","2012Q1",16121726848
"10","神华集团有限责任公司","2012Q2",19181185464
"11","神华集团有限责任公司","2012Q3",14701451113
"12","神华集团有限责任公司","2012Q4",12678542156
"13","神华集团有限责任公司","2013Q1",15617061137
"14","神华集团有限责任公司","2013Q2",16700510141
"15","神华集团有限责任公司","2013Q3",14608871662
"16","神华集团有限责任公司","2013Q4",15047838749
"17","神华集团有限责任公司","2014Q1",13886048176
"18","神华集团有限责任公司","2014Q2",15324249392
"19","神华集团有限责任公司","2014Q3",10523987600
"20","神华集团有限责任公司","2014Q4",8687830141
"21","神华集团有限责任公司","2015Q1",6702053208
"22","神华集团有限责任公司","2015Q2",7963234851
"23","神华集团有限责任公司","2015Q3",6234508053
"24","神华集团有限责任公司","2015Q4",-913033223
"25","神华集团有限责任公司","2016Q1",4787421566
"26","神华集团有限责任公司","2016Q2",5707487178
"27","神华集团有限责任公司","2016Q3",7888098955
"28","神华集团有限责任公司","2016Q4",7542922178
"29","神华集团有限责任公司","2017Q1",10169211961
"30","中国神华能源股份有限公司","2010Q1",1.01e+10
"31","中国神华能源股份有限公司","2010Q2",1.15e+10
"32","中国神华能源股份有限公司","2010Q3",1.11e+10
"33","中国神华能源股份有限公司","2010Q4",9.8e+09
"34","中国神华能源股份有限公司","2011Q1",1.22e+10
"35","中国神华能源股份有限公司","2011Q2",1.33e+10
"36","中国神华能源股份有限公司","2011Q3",1.39e+10
"37","中国神华能源股份有限公司","2011Q4",1.21e+10
"38","中国神华能源股份有限公司","2012Q1",1.32e+10
"39","中国神华能源股份有限公司","2012Q2",1.6e+10
"40","中国神华能源股份有限公司","2012Q3",1.32e+10
"41","中国神华能源股份有限公司","2012Q4",1.33e+10
"42","中国神华能源股份有限公司","2013Q1",1.35e+10
"43","中国神华能源股份有限公司","2013Q2",1.52e+10
"44","中国神华能源股份有限公司","2013Q3",1.26e+10
"45","中国神华能源股份有限公司","2013Q4",1.44e+10
"46","中国神华能源股份有限公司","2014Q1",1.26e+10
"47","中国神华能源股份有限公司","2014Q2",1.37e+10
"48","中国神华能源股份有限公司","2014Q3",1.07e+10
"49","中国神华能源股份有限公司","2014Q4",9.4e+09
"50","中国神华能源股份有限公司","2015Q1",7.66e+09
"51","中国神华能源股份有限公司","2015Q2",8.44e+09
"52","中国神华能源股份有限公司","2015Q3",6.8e+09
"53","中国神华能源股份有限公司","2015Q4",4e+08
"54","中国神华能源股份有限公司","2016Q1",6.56e+09
"55","中国神华能源股份有限公司","2016Q2",7.14e+09
"56","中国神华能源股份有限公司","2016Q3",9.8e+09
"57","中国神华能源股份有限公司","2016Q4",6e+09
