指标名称,产量:钢材:当月值,产量:水泥:当月值,产量:火电:当月值,工业增加值:有色金属矿采选业:当月同比,产量:农用氮磷钾化肥(折纯):当月值,房地产开发投资完成额:累计值,固定资产投资完成额:基础设施建设投资:累计值,产量:汽车:当月值,中国石油:产量:合成纤维原料及聚合物:累计值,中国石油:产量:合成橡胶:累计值,产量:化学农药原药:当月值,产量:涂料(油漆):当月值,产量:汽油:当月值,产量:柴油:当月值,产量:平板玻璃:当月值,产量:煤油:当月值,产量:原煤:当月值
2010/1/31,6176.13 ,11520.47 ,2932.35 ,,505.74 ,,,162.49 ,,,17.53 ,69.41 ,622.19 ,1267.41 ,5096.51 ,134.77 ,25610.07 
2010/2/28,5559.20 ,8377.50 ,2299.00 ,13.90 ,510.40 ,3143.64 ,3610.19 ,122.60 ,,,18.00 ,56.90 ,569.10 ,1169.30 ,4814.20 ,128.50 ,21298.00 
2010/3/31,6824.20 ,13598.70 ,2883.00 ,21.50 ,609.80 ,6594.45 ,7497.48 ,174.80 ,0.50 ,0.15 ,22.70 ,78.50 ,629.60 ,1263.10 ,5390.10 ,139.40 ,27980.80 
2010/4/30,6910.70 ,16114.50 ,2764.30 ,21.80 ,593.30 ,9932.05 ,12033.91 ,159.80 ,,,25.90 ,88.80 ,611.80 ,1269.80 ,5188.50 ,145.70 ,26928.93 
2010/5/31,7121.80 ,17357.60 ,2709.30 ,15.80 ,583.50 ,13917.41 ,17423.51 ,145.80 ,,,23.50 ,100.80 ,651.60 ,1330.10 ,5389.50 ,146.00 ,28386.43 
2010/6/30,7143.60 ,17448.30 ,2616.60 ,9.80 ,594.20 ,19747.12 ,25084.54 ,142.60 ,0.99 ,0.30 ,25.30 ,106.00 ,647.50 ,1333.80 ,5502.20 ,145.70 ,29692.14 
2010/7/31,6767.30 ,16492.20 ,2809.10 ,12.40 ,550.20 ,23864.77 ,30994.85 ,134.20 ,,,22.90 ,103.80 ,636.60 ,1345.30 ,5098.70 ,149.90 ,29190.56 
2010/8/31,6968.30 ,16780.40 ,2951.20 ,8.60 ,550.30 ,28355.05 ,36760.42 ,133.10 ,,,20.00 ,86.60 ,643.00 ,1326.90 ,5081.20 ,150.20 ,30138.35 
2010/9/30,6542.60 ,17045.80 ,2600.90 ,9.30 ,569.70 ,33511.25 ,43034.38 ,163.40 ,1.48 ,0.46 ,21.60 ,88.20 ,628.30 ,1310.90 ,5430.40 ,149.80 ,27601.53 
2010/10/31,6529.30 ,17029.70 ,2562.60 ,5.00 ,589.90 ,38069.52 ,48805.69 ,159.30 ,,,22.20 ,86.30 ,660.20 ,1360.60 ,5209.20 ,142.60 ,30065.64 
2010/11/30,6589.30 ,17658.40 ,2789.50 ,10.70 ,565.50 ,42697.33 ,55032.30 ,182.10 ,,,25.30 ,94.50 ,659.70 ,1417.90 ,5316.80 ,135.30 ,33757.58 
2010/12/31,6784.30 ,16966.20 ,3040.90 ,7.40 ,587.50 ,48259.40 ,64808.03 ,195.40 ,1.99 ,0.62 ,20.20 ,94.00 ,690.00 ,1463.70 ,5619.00 ,137.80 ,
2011/1/31,6733.35 ,11614.95 ,3113.30 ,,459.21 ,,,183.50 ,,,17.92 ,69.39 ,683.38 ,1408.34 ,5796.36 ,141.89 ,26826.30 
2011/2/28,6353.60 ,8814.10 ,2624.00 ,16.40 ,491.10 ,4250.37 ,4249.60 ,129.40 ,,,21.00 ,59.40 ,634.10 ,1339.50 ,5627.80 ,142.30 ,24749.40 
2011/3/31,7602.20 ,16455.60 ,3232.40 ,10.20 ,547.40 ,8846.36 ,8841.13 ,192.30 ,0.58 ,0.15 ,25.00 ,78.40 ,664.40 ,1383.50 ,6040.60 ,146.50 ,30736.49 
2011/4/30,7315.30 ,18555.60 ,3070.40 ,11.90 ,522.60 ,13340.16 ,14131.53 ,156.50 ,,,27.40 ,87.10 ,654.20 ,1395.40 ,6292.50 ,154.40 ,31808.16 
2011/5/31,7637.30 ,19628.30 ,3087.00 ,14.80 ,557.20 ,18737.23 ,20044.04 ,142.60 ,,,25.80 ,90.80 ,678.40 ,1442.00 ,6461.80 ,165.20 ,32730.22 
2011/6/30,7872.70 ,19794.50 ,3127.50 ,12.40 ,600.60 ,26250.45 ,27039.27 ,148.50 ,1.09 ,0.31 ,27.70 ,97.90 ,621.20 ,1348.20 ,7348.20 ,148.20 ,34020.08 
2011/7/31,7571.70 ,18307.70 ,3392.00 ,17.00 ,536.60 ,31873.03 ,33047.51 ,131.80 ,,,21.70 ,93.00 ,654.40 ,1399.00 ,6136.00 ,162.70 ,32782.52 
2011/8/31,7700.00 ,18242.90 ,3457.70 ,13.60 ,518.50 ,37780.84 ,38958.51 ,145.00 ,,,17.90 ,95.10 ,703.80 ,1377.10 ,6041.60 ,168.80 ,32740.48 
2011/9/30,7635.60 ,19031.30 ,3146.40 ,16.30 ,549.60 ,44224.84 ,45725.74 ,166.40 ,1.58 ,0.45 ,22.70 ,105.70 ,687.20 ,1331.50 ,5983.20 ,162.30 ,31800.00 
