指标名称,唐山钢厂:高炉开工率,螺纹钢:主要钢厂开工率:全国,产量:火电:当月值,产量:水电:当月值,焦炭平均库存可用天数:国内大中型钢厂,煤炭库存:6大发电集团:合计,价格:普通水泥:42.5级袋装:北京,场存量:煤炭:秦皇岛港,价格:螺纹钢:HRB400 20mm:郑州,成交金额:上海:螺纹钢:当月值,山西原煤产量:合计:当月值,陕西原煤产量:合计:当月值,河南原煤产量:合计:当月值,内蒙古原煤产量:合计:当月值,欧洲ARA港动力煤现货价,进口数量:动力煤:当月值,煤炭运价:秦皇岛港-上海/乍浦:4-5万吨
2010/1/1,0,0,0,0,0,503.9,380,547.6,,,,,,,84.16,,
2010/1/2,0,0,0,0,0,524.8,0,555.1,,,,,,,,,
2010/1/3,0,0,0,0,0,519,0,572,,,,,,,,,
2010/1/4,0,0,0,0,0,518,0,586.6,3900,,,,,,,,
2010/1/5,0,0,0,0,0,531.19,0,608,3940,,,,,,,,
2010/1/6,0,0,0,0,0,527.66,0,608.5,3960,,,,,,,,
2010/1/7,0,0,0,0,0,513,0,605,3970,,,,,,,,
2010/1/8,96.85,0,0,0,0,489.9,380,617.8,3950,,,,,,93.91,,
2010/1/9,0,0,0,0,0,487.24,0,625.4,,,,,,,,,
2010/1/10,0,0,0,0,0,475.4,0,631.4,,,,,,,,,
2010/1/11,0,0,0,0,0,497.84,0,623.9,3950,,,,,,,,
2010/1/12,0,0,0,0,0,489.04,0,626.6,3950,,,,,,,,
2010/1/13,0,0,0,0,0,486.5,0,618.4,3950,,,,,,,,
2010/1/14,0,0,0,0,0,490.7,0,610.6,3950,,,,,,,,
2010/1/15,96.85,0,0,0,0,481.4,380,600,3950,,,,,,85.82,,
2010/1/16,0,0,0,0,0,494,0,593.7,,,,,,,,,
2010/1/17,0,0,0,0,0,454.2,0,589,,,,,,,,,
2010/1/18,0,0,0,0,0,456,0,581.6,3930,,,,,,,,
2010/1/19,0,0,0,0,0,461.87,0,623.1,3880,,,,,,,,
2010/1/20,0,0,0,0,0,478.34,0,678.3,3880,,,,,,,,
2010/1/21,0,0,0,0,0,477.22,0,694,3880,,,,,,,,
2010/1/22,95.31,0,0,0,0,469.28,380,687.7,3880,,,,,,83.77,,
2010/1/23,0,0,0,0,0,462.66,0,679.6,,,,,,,,,
2010/1/24,0,0,0,0,0,451.06,0,679.4,,,,,,,,,
2010/1/25,0,0,0,0,0,458.99,0,662.4,3860,,,,,,,,
2010/1/26,0,0,0,0,0,463.04,0,650,3860,,,,,,,,
2010/1/27,0,0,0,0,0,482.3,0,630.8,3860,,,,,,,,
2010/1/28,0,0,0,0,0,484.86,0,620.1,3860,,,,,,,,
2010/1/29,0,0,0,0,0,528.23,380,604,3860,,,,,,82.28,,
2010/1/30,0,0,0,0,0,523.6,0,585.8,,,,,,,,,
2010/1/31,0,0,2932.35,302.09,0,511.9,0,581.5,,13070.69,5263.46,2705.08,2108.64,5481.92,,5734911.33,
2010/2/1,0,0,0,0,0,518.85,0,576.2,3860,,,,,,,,
2010/2/2,0,0,0,0,0,534.42,0,588.1,3860,,,,,,,,
2010/2/3,0,0,0,0,0,526.8,0,593.4,3860,,,,,,,,
