,时间,净利润均值,净利润总值
1,2010/3/30,539703399.4,60446780736
2,2010/6/30,569492527.5,63783163081
3,2010/9/30,560203273.3,62742766612
4,2010/12/30,564144306.3,62620017995
5,2011/3/30,645907565.5,76217092731
6,2011/6/30,710328642.8,83818779853
7,2011/9/30,653419648.3,77103518505
8,2011/12/30,525823850.3,61521390488
9,2012/3/30,590596958.1,75596410642
10,2012/6/30,622902362.3,79731502369
11,2012/9/30,365505589.4,46784715447
12,2012/12/30,364963991.3,45985462910
13,2013/3/30,342014882,44461934664
14,2013/6/30,299139970.6,38589056211
15,2013/9/30,277973805.7,35580647128
16,2013/12/30,278649195.8,34273851079
17,2014/3/30,231352547.4,27993658241
18,2014/6/30,215573550,25868826002
19,2014/9/30,121390906.4,14324126957
20,2014/12/30,70037469.33,8264421381
21,2015/3/30,12165342.41,1459841089
22,2015/6/30,-2092941.441,-246967090
23,2015/9/30,-55454866.3,-6432764491
24,2015/12/30,-337645302.1,-35452756719
25,2016/3/30,-3911580.493,-414627532.2
26,2016/6/30,86431264.87,8988851547
27,2016/9/30,152847608.6,15743303686
28,2016/12/30,244153487.2,24903655691
29,2017/3/30,589344192.3,50683600541
