时间,秦皇岛港:平仓价:大同优混(Q5800K)
2010/1/4,825
2010/1/11,845
2010/1/18,845
2010/1/25,845
2010/2/1,845
2010/2/8,805
2010/2/22,765
2010/3/1,745
2010/3/8,735
2010/3/15,725
2010/3/22,725
2010/3/29,730
2010/4/5,730
2010/4/12,730
2010/4/19,735
2010/4/26,750
2010/5/3,770
2010/5/10,780
2010/5/17,790
2010/5/24,790
2010/5/31,790
2010/6/7,785
2010/6/14,785
2010/6/21,785
2010/6/28,785
2010/7/5,785
2010/7/12,785
2010/7/19,785
2010/7/26,785
2010/8/2,785
2010/8/9,775
2010/8/16,775
2010/8/23,770
2010/8/30,765
2010/9/6,765
2010/9/13,760
2010/9/20,760
2010/9/27,760
2010/9/29,0
2010/10/11,760
2010/10/13,0
2010/10/18,770
2010/10/20,0
2010/10/25,795
2010/10/27,0
2010/11/1,812.5
2010/11/3,0
2010/11/8,855
2010/11/10,0
2010/11/15,840
2010/11/17,0
2010/11/22,875
2010/11/24,0
2010/11/29,855
2010/12/1,0
2010/12/6,850
2010/12/8,0
2010/12/13,850
2010/12/15,0
2010/12/20,840
2010/12/22,0
2010/12/27,840
2010/12/29,0
2011/1/3,840
2011/1/5,0
2011/1/10,840
2011/1/12,0
2011/1/17,840
2011/1/19,0
2011/1/24,830
2011/1/26,0
2011/1/31,830
2011/2/2,0
2011/2/14,830
2011/2/16,0
2011/2/21,830
2011/2/23,0
2011/2/28,830
2011/3/2,0
2011/3/7,830
2011/3/9,0
2011/3/14,830
2011/3/16,0
2011/3/21,830
2011/3/23,0
2011/3/28,825
2011/3/30,0
2011/4/4,830
2011/4/7,0
2011/4/11,840
2011/4/13,0
2011/4/18,840
2011/4/20,0
2011/4/25,840
2011/4/27,0
2011/5/2,860
2011/5/4,0
2011/5/9,865
2011/5/11,0
2011/5/16,870
2011/5/18,0
2011/5/23,875
2011/5/25,0
2011/5/30,880
2011/6/1,0
2011/6/6,890
2011/6/8,0
2011/6/13,900
2011/6/15,0
2011/6/20,905
2011/6/22,0
2011/6/27,905
2011/6/29,0
2011/7/4,905
2011/7/6,0
2011/7/11,905
2011/7/13,0
2011/7/18,900
2011/7/20,0
2011/7/25,895
2011/7/27,0
2011/8/1,890
2011/8/3,0
2011/8/8,890
2011/8/10,0
2011/8/15,885
2011/8/17,0
2011/8/22,880
2011/8/24,0
2011/8/29,880
2011/8/31,0
2011/9/5,880
2011/9/7,0
2011/9/12,880
2011/9/14,0
2011/9/19,885
2011/9/21,0
2011/9/26,885
2011/9/28,0
