指标名称,鱼珠:成交均价:原木:国产柞木,中国石油:期末平均实现价格:润滑油,产量:挖掘机:当月值,市场价:无缝钢管:20# 219*6:全国,煤炭运价:秦皇岛港-上海/乍浦:1.5-2万吨,大秦线煤炭运量:当月值,煤炭调度:京唐港煤炭公司:铁路调入量,煤炭特殊运价:大秦线、丰沙大线、京原线、京秦线,价格:新加坡:瓦斯油/柴油,PMI:生产,PMI:主要原材料购进价格,用电量:山西:当月值,市场价:汽油(93#):全国,城镇登记失业率,GDP:不变价:工业:当季同比,产量:粗钢:当月值,产量:钢材:当月值,中国大宗商品价格指数:钢铁类,钢材价格指数:长材
2010-01-01,,,,,,,10.10 ,,,,,,,,,,,,
2010-01-02,,,,,,,9.30 ,,,,,,,,,,,,
2010-01-03,,,,,,,10.50 ,,,,,,,,,,,,
2010-01-04,,,,,,,5.20 ,,,,,,,,,,,,
2010-01-05,,,,,,,3.20 ,,,,,,,,,,,,
2010-01-06,,,,,,,3.90 ,,,,,,,,,,,,
2010-01-07,,,,,,,4.10 ,,,,,,,,,,,,
2010-01-08,,,,,,,5.30 ,,,,,,,,,,,,111.57 
2010-01-09,,,,,,,8.70 ,,,,,,,,,,,,
2010-01-10,,,,,,,5.50 ,,,,,,,,,,,,
2010-01-11,,,,,,,6.00 ,,,,,,,,,,,,
2010-01-12,,,,,,,6.00 ,,,,,,,,,,,,
2010-01-13,,,,,,,6.80 ,,,,,,,,,,,,
2010-01-14,,,,,,,9.30 ,,,,,,,,,,,,
2010-01-15,,,,,,,2.80 ,,,,,,,,,,,,112.19 
2010-01-16,,,,,,,9.90 ,,,,,,,,,,,,
2010-01-17,,,,,,,7.90 ,,,,,,,,,,,,
2010-01-18,,,,,,,7.70 ,,,,,,,,,,,,
2010-01-19,,,,,,,7.30 ,,,,,,,,,,,,
2010-01-20,,,,,,,6.80 ,,,,,,,,,,,,
2010-01-21,,,,,,,10.10 ,,,,,,,,,,,,
2010-01-22,,,,,,,7.80 ,,,,,,,,,,,,111.52 
2010-01-23,,,,,,,9.40 ,,,,,,,,,,,,
2010-01-24,,,,,,,6.00 ,,,,,,,,,,,,
2010-01-25,,,,,,,8.50 ,,,,,,,,,,,,
2010-01-26,,,,,,,8.50 ,,,,,,,,,,,,
2010-01-27,,,,,,,6.90 ,,,,,,,,,,,,
2010-01-28,,,,,,,9.30 ,,,,,,,,,,,,
2010-01-29,,,,,,,5.20 ,,,,,,,,,,,,111.43 
2010-01-30,,,,,,,5.50 ,,,,,,,,,,,,
2010-01-31,,,11304.15 ,,,3273.00 ,10.60 ,,85.89 ,60.50 ,68.50 ,1282354.00 ,,,,5253.78 ,6176.13 ,114.50 ,
2010-02-01,,,,,,,7.70 ,,,,,,,,,,,,
2010-02-02,,,,,,,7.70 ,,,,,,,,,,,,
2010-02-03,,,,,,,8.20 ,,,,,,,,,,,,
2010-02-04,,,,,,,7.80 ,,,,,,,,,,,,
2010-02-05,,,,,,,3.60 ,,,,,,,,,,,,110.77 
2010-02-06,,,,,,,8.50 ,,,,,,,,,,,,
2010-02-07,,,,,,,6.80 ,,,,,,,,,,,,
2010-02-08,,,,,,,6.80 ,,,,,,,,,,,,
2010-02-09,,,,,,,5.40 ,,,,,,,,,,,,
2010-02-10,,,,,,,9.80 ,,,,,,,,,,,,
2010-02-11,,,,,,,7.70 ,,,,,,,,,,,,
2010-02-12,,,,,,,7.90 ,,,,,,,,,,,,110.37 
2010-02-13,,,,,,,8.00 ,,,,,,,,,,,,
2010-02-14,,,,,,,10.50 ,,,,,,,,,,,,
2010-02-15,,,,,,,13.00 ,,,,,,,,,,,,
2010-02-16,,,,,,,12.90 ,,,,,,,,,,,,
2010-02-17,,,,,,,11.50 ,,,,,,,,,,,,
2010-02-18,,,,,,,10.30 ,,,,,,,,,,,,
2010-02-19,,,,,,,9.30 ,,,,,,,,,,,,
2010-02-20,,,,,,,10.10 ,,,,,,,,,,,,
2010-02-21,,,,,,,9.00 ,,,,,,,,,,,,
2010-02-22,,,,,,,10.40 ,,,,,,,,,,,,
2010-02-23,,,,,,,11.50 ,,,,,,,,,,,,
2010-02-24,,,,,,,8.60 ,,,,,,,,,,,,
2010-02-25,,,,,,,5.50 ,,,,,,,,,,,,
2010-02-26,,,,,,,10.10 ,,,,,,,,,,,,111.09 
2010-02-27,,,,,,,5.20 ,,,,,,,,,,,,
2010-02-28,,,10962.35 ,,,3193.40 ,10.10 ,,83.20 ,54.30 ,61.10 ,1099578.00 ,,,,5035.70 ,5559.20 ,114.26 ,
2010-03-01,,,,,,,7.20 ,,,,,,,,,,,,
2010-03-02,,,,,,,7.40 ,,,,,,,,,,,,
2010-03-03,,,,,,,8.00 ,,,,,,,,,,,,
2010-03-04,,,,,,,7.90 ,,,,,,,,,,,,
