公司名称,证券代码,报告期,流动资产,固定资产,长期股权投资,资产总计,流动负债,非流动负债,负债合计,股东权益,归属母公司股东的权益,资本公积金,盈余公积金,未分配利润,营业总收入,营业总成本,营业利润,利润总额,净利润,归属母公司股东的净利润,经营活动现金净流量,投资活动现金净流量,筹资活动现金净流量,现金净增加额,期末现金及现金等价物余额,员工人数
神华集团有限责任公司,078041.IB,2010/3/31,1.74809E+11,1.95352E+11,14187143901,5.28097E+11,1.01883E+11,1.17574E+11,2.19458E+11,3.0864E+11,2.14346E+11,78597494251,8281705742,83909384216,45011439256,30023430875,15494882987,15584450111,12882767377,7913884000,12454821771,-14974763168,15607013303,13081396668,1.09741E+11,0
神华集团有限责任公司,078041.IB,2010/6/30,1.71773E+11,1.98211E+11,13046117621,5.31734E+11,91077331051,1.20156E+11,2.11234E+11,3.205E+11,2.22489E+11,76162069408,8247568697,93703087140,97153929416,66573926301,31682664805,31641969952,25874052801,15783172209,29823797867,-26509320099,11432309675,14742309329,1.03808E+11,0
神华集团有限责任公司,078041.IB,2010/9/30,1.78651E+11,2.0335E+11,13923831780,5.47296E+11,95905118361,1.20394E+11,2.16299E+11,3.30998E+11,2.46172E+11,76214051489,8238520331,1.17051E+11,1.55477E+11,1.09187E+11,47794236431,47608648236,38445602560,23451817562,51025668714,-36236980188,8429167272,23189116888,1.12292E+11,0
神华集团有限责任公司,078041.IB,2010/12/31,1.5614E+11,2.2385E+11,13207253195,5.50927E+11,95882760620,1.1588E+11,2.11763E+11,3.39164E+11,2.3639E+11,81062722655,9221205561,1.01853E+11,2.19634E+11,1.61876E+11,59858261730,58525053893,46858767316,28812076760,63640679467,-41696014299,-13595555387,8351397747,96008268184,0
神华集团有限责任公司,078041.IB,2011/3/31,1.81508E+11,2.4081E+11,15537401386,5.79937E+11,94024642281,1.28116E+11,2.2214E+11,3.57797E+11,2.1123E+11,63833802343,2452240336,99374051958,63467921638,45546830616,18474470138,18518455515,14558834780,8943491048,24613025976,-8195213025,-6833105754,9583807647,1.0699E+11,0
神华集团有限责任公司,078041.IB,2011/6/30,1.7398E+11,2.39793E+11,15768223952,5.86133E+11,92481989874,1.25704E+11,2.18186E+11,3.67947E+11,2.55915E+11,77446982682,8875747437,1.22534E+11,1.35407E+11,95679630069,41056809859,40669921422,31377664401,19275299242,41813068197,-27933781333,-4084718779,9799423359,1.08456E+11,0
神华集团有限责任公司,078041.IB,2011/9/30,1.81413E+11,2.48291E+11,13022784071,6.06348E+11,1.00126E+11,1.27073E+11,2.27198E+11,3.7915E+11,2.64943E+11,76505283992,8891597262,1.32903E+11,2.05108E+11,1.48494E+11,58135312440,57238372227,45570202673,27797823631,61897849577,-52820284683,-5840275266,3230122385,98431493003,0
神华集团有限责任公司,078041.IB,2011/12/31,1.6261E+11,3.07335E+11,14427476168,6.26909E+11,1.21534E+11,1.16434E+11,2.37968E+11,3.88941E+11,2.68949E+11,78876435433,10794474644,1.33261E+11,2.80297E+11,2.07712E+11,74927658541,74172635678,58523939880,36667562839,82566027300,-70184920702,-22618708134,-10245780720,85762487464,0
神华集团有限责任公司,078041.IB,2012/3/31,1.69866E+11,3.06414E+11,14634886894,6.38891E+11,1.08596E+11,1.22737E+11,2.31334E+11,4.07557E+11,2.80876E+11,75396643566,10794474644,1.48325E+11,79442466180,59978659326,20021040938,20026914589,16121726848,9903576803,19889430217,-12520821593,-12987411159,-5615252587,80134508459,0
神华集团有限责任公司,078041.IB,2012/6/30,1.82073E+11,3.05531E+11,15758356111,6.65789E+11,1.10986E+11,1.28577E+11,2.39563E+11,4.26225E+11,2.93131E+11,79282028885,10794474644,1.55156E+11,1.65007E+11,1.25602E+11,40952462325,40985084236,35302912312,21686579033,45148219610,-37772197290,-18432422112,-11053108438,74384624511,0
