指标名称,36城市服务价格:公路货运,Wind行业指数:公路运输,Wind行业指数:铁路运输,Wind行业指数:煤炭与消费用燃料
2010-01-04,,4046.00 ,1695.23 ,5663.21 
2010-01-05,,4124.38 ,1690.32 ,5858.41 
2010-01-06,,4073.47 ,1687.55 ,5877.30 
2010-01-07,,4019.23 ,1650.61 ,5773.85 
2010-01-08,,4092.07 ,1654.72 ,5697.24 
2010-01-11,,4145.66 ,1655.45 ,5642.40 
2010-01-12,,4194.96 ,1718.54 ,5691.62 
2010-01-13,,4177.97 ,1684.95 ,5353.22 
2010-01-14,,4263.40 ,1718.24 ,5423.36 
2010-01-15,,4242.38 ,1736.47 ,5403.61 
2010-01-18,,4319.99 ,1785.61 ,5386.56 
2010-01-19,,4357.16 ,1784.83 ,5429.55 
2010-01-20,,4193.56 ,1710.35 ,5214.16 
2010-01-21,,4289.47 ,1751.37 ,5081.66 
2010-01-22,,4165.53 ,1739.91 ,4915.06 
2010-01-25,,4047.16 ,1692.43 ,4892.20 
2010-01-26,,3874.20 ,1666.81 ,4686.32 
2010-01-27,,3820.10 ,1678.08 ,4689.95 
2010-01-28,,3858.32 ,1664.91 ,4730.57 
2010-01-29,,3883.58 ,1639.77 ,4701.67 
2010-01-31,0.69 ,,,
2010-02-01,,3871.88 ,1595.49 ,4491.42 
2010-02-02,,3793.75 ,1581.46 ,4510.18 
2010-02-03,,3888.54 ,1621.52 ,4834.69 
2010-02-04,,3956.32 ,1623.91 ,4756.08 
2010-02-05,,3935.32 ,1595.05 ,4558.50 
2010-02-08,,3976.01 ,1577.81 ,4615.80 
2010-02-09,,3966.54 ,1606.24 ,4653.48 
2010-02-10,,4004.33 ,1609.86 ,4744.44 
2010-02-11,,3965.96 ,1609.75 ,4730.50 
2010-02-12,,4054.75 ,1618.76 ,4828.51 
2010-02-22,,4005.09 ,1619.91 ,4774.08 
2010-02-23,,4010.74 ,1604.35 ,4670.25 
2010-02-24,,4066.86 ,1631.54 ,4729.70 
2010-02-25,,4109.04 ,1654.20 ,4817.91 
2010-02-26,,4082.13 ,1650.92 ,4755.90 
2010-02-28,0.69 ,,,
2010-03-01,,4107.02 ,1665.77 ,4840.27 
2010-03-02,,4060.43 ,1660.32 ,4743.86 
2010-03-03,,4139.08 ,1663.52 ,4801.43 
2010-03-04,,3982.22 ,1621.17 ,4684.95 
2010-03-05,,4067.90 ,1617.07 ,4660.55 
2010-03-08,,4133.60 ,1617.38 ,4714.82 
2010-03-09,,4150.46 ,1616.26 ,4829.55 
2010-03-10,,4055.95 ,1594.85 ,4767.96 
2010-03-11,,4001.73 ,1596.33 ,4742.97 
2010-03-12,,3953.87 ,1575.10 ,4673.65 
2010-03-15,,3924.99 ,1555.15 ,4551.87 
2010-03-16,,3964.36 ,1561.33 ,4521.71 
2010-03-17,,4052.33 ,1593.20 ,4629.00 
2010-03-18,,4092.00 ,1584.80 ,4659.46 
2010-03-19,,4113.99 ,1593.12 ,4724.20 
2010-03-22,,4121.05 ,1589.53 ,4760.52 
2010-03-23,,4094.64 ,1567.84 ,4775.36 
2010-03-24,,4168.88 ,1589.17 ,4755.39 
2010-03-25,,4187.41 ,1561.84 ,4677.46 
2010-03-26,,4331.13 ,1584.04 ,4742.43 
2010-03-29,,4330.05 ,1617.58 ,4959.48 
2010-03-30,,4378.18 ,1608.27 ,5010.54 
2010-03-31,0.69 ,4397.44 ,1618.70 ,4938.14 
2010-04-01,,4411.01 ,1649.04 ,5014.56 
2010-04-02,,4385.93 ,1652.45 ,5142.67 
2010-04-06,,4439.67 ,1650.74 ,5216.36 
2010-04-07,,4387.75 ,1655.73 ,5192.65 
2010-04-08,,4383.55 ,1625.68 ,5027.58 
2010-04-09,,4444.64 ,1632.67 ,5099.74 
2010-04-12,,4470.84 ,1624.41 ,5048.55 
2010-04-13,,4437.96 ,1678.91 ,5124.56 
2010-04-14,,4420.68 ,1673.42 ,5149.90 
2010-04-15,,4377.16 ,1667.44 ,5229.20 
2010-04-16,,4325.20 ,1640.25 ,5110.09 
2010-04-19,,4113.87 ,1575.66 ,4776.71 
2010-04-20,,4116.58 ,1570.98 ,4782.66 
2010-04-21,,4216.27 ,1593.99 ,4953.72 
2010-04-22,,4184.20 ,1575.68 ,4938.77 
2010-04-23,,4125.85 ,1570.76 ,5014.30 
2010-04-26,,4186.89 ,1580.62 ,4975.70 
2010-04-27,,4040.96 ,1545.71 ,4872.07 
2010-04-28,,3882.52 ,1542.46 ,4861.62 
2010-04-29,,3764.32 ,1533.14 ,4732.98 
2010-04-30,0.70 ,3628.40 ,1533.48 ,4767.88 
2010-05-04,,3585.78 ,1546.76 ,4765.06 
2010-05-05,,3704.68 ,1573.21 ,4749.38 
2010-05-06,,3532.20 ,1514.92 ,4393.81 
2010-05-07,,3411.26 ,1469.35 ,4147.71 
2010-05-10,,3427.61 ,1450.45 ,4225.20 
2010-05-11,,3344.12 ,1427.68 ,4165.45 
2010-05-12,,3344.10 ,1465.37 ,4155.78 
2010-05-13,,3406.69 ,1488.54 ,4315.16 
2010-05-14,,3422.93 ,1493.47 ,4278.34 
2010-05-17,,3113.00 ,1432.16 ,3990.78 
2010-05-18,,3143.70 ,1444.72 ,4121.84 
2010-05-19,,3095.88 ,1451.18 ,4151.65 
2010-05-20,,2999.39 ,1429.16 ,4112.61 
2010-05-21,,3025.88 ,1441.86 ,4177.56 
2010-05-24,,3182.24 ,1480.89 ,4401.23 
2010-05-25,,3154.92 ,1443.65 ,4272.64 
2010-05-26,,3184.20 ,1447.83 ,4251.51 
2010-05-27,,3216.54 ,1477.65 ,4364.37 
2010-05-28,,3228.11 ,1473.88 ,4358.98 
2010-05-31,0.68 ,3076.41 ,1450.18 ,4201.40 
2010-06-01,,2975.38 ,1438.40 ,4130.31 
2010-06-02,,3050.74 ,1431.49 ,4199.10 
2010-06-03,,3002.03 ,1419.45 ,4133.49 
2010-06-04,,3043.72 ,1416.80 ,4141.14 
2010-06-07,,3020.95 ,1413.71 ,4022.06 
2010-06-08,,3070.24 ,1407.86 ,4019.65 
2010-06-09,,3142.76 ,1436.68 ,4150.10 
2010-06-10,,3132.12 ,1430.80 ,4081.08 
2010-06-11,,3102.11 ,1429.18 ,4149.79 
2010-06-17,,3081.84 ,1421.00 ,4112.61 
2010-06-18,,2991.37 ,1417.68 ,4034.71 
2010-06-21,,3058.31 ,1447.51 ,4162.43 
2010-06-22,,3100.56 ,1462.31 ,4149.83 
2010-06-23,,3102.26 ,1456.73 ,4048.64 
2010-06-24,,3092.66 ,1438.50 ,4035.79 
2010-06-25,,3070.17 ,1432.26 ,3978.33 
2010-06-28,,3009.98 ,1434.94 ,3887.99 
2010-06-29,,2814.19 ,1391.67 ,3704.08 
2010-06-30,0.69 ,2797.53 ,1413.08 ,3573.86 
2010-07-01,,2830.96 ,1405.82 ,3501.62 
2010-07-02,,2826.00 ,1429.16 ,3471.34 
2010-07-05,,2803.36 ,1440.43 ,3388.27 
2010-07-06,,2874.29 ,1446.53 ,3503.85 
2010-07-07,,2885.70 ,1458.11 ,3527.89 
2010-07-08,,2871.02 ,1452.09 ,3492.78 
2010-07-09,,2918.73 ,1462.84 ,3717.75 
2010-07-12,,2943.47 ,1461.05 ,3789.30 
2010-07-13,,2892.93 ,1424.89 ,3719.88 
2010-07-14,,2939.07 ,1435.98 ,3739.85 
2010-07-15,,2929.34 ,1422.22 ,3641.35 
2010-07-16,,2958.68 ,1420.41 ,3736.46 
2010-07-19,,3005.48 ,1436.04 ,3949.61 
2010-07-20,,3066.93 ,1467.90 ,4083.04 
2010-07-21,,3062.54 ,1476.34 ,4072.09 
2010-07-22,,3085.82 ,1490.53 ,4122.25 
2010-07-23,,3062.95 ,1483.73 ,4155.21 
2010-07-26,,3089.06 ,1508.12 ,4187.97 
2010-07-27,,3077.94 ,1494.91 ,4158.79 
2010-07-28,,3127.60 ,1521.82 ,4297.37 
2010-07-29,,3168.93 ,1518.55 ,4304.13 
2010-07-30,,3175.55 ,1506.44 ,4222.34 
2010-07-31,0.69 ,,,
2010-08-02,,3252.76 ,1525.37 ,4289.50 
2010-08-03,,3227.90 ,1507.63 ,4298.90 
2010-08-04,,3272.54 ,1509.61 ,4319.09 
2010-08-05,,3288.29 ,1495.38 ,4241.90 
2010-08-06,,3350.68 ,1524.84 ,4310.35 
2010-08-09,,3355.91 ,1520.33 ,4377.59 
2010-08-10,,3240.64 ,1472.78 ,4217.06 
2010-08-11,,3244.20 ,1472.10 ,4224.31 
2010-08-12,,3213.81 ,1443.40 ,4139.50 
2010-08-13,,3258.33 ,1466.49 ,4216.28 
2010-08-16,,3341.83 ,1493.60 ,4351.80 
2010-08-17,,3355.52 ,1491.57 ,4401.73 
2010-08-18,,3337.27 ,1480.00 ,4408.39 
2010-08-19,,3328.57 ,1483.86 ,4535.89 
2010-08-20,,3221.30 ,1511.28 ,4378.65 
2010-08-23,,3241.32 ,1498.68 ,4345.74 
2010-08-24,,3286.99 ,1498.92 ,4372.15 
2010-08-25,,3211.83 ,1463.54 ,4245.85 
2010-08-26,,3230.72 ,1468.59 ,4305.55 
2010-08-27,,3225.77 ,1480.98 ,4281.71 
2010-08-30,,3282.57 ,1502.44 ,4369.33 
2010-08-31,0.69 ,3252.03 ,1484.69 ,4352.03 
2010-09-01,,3191.63 ,1461.38 ,4351.90 
2010-09-02,,3233.32 ,1468.34 ,4396.53 
2010-09-03,,3255.74 ,1472.27 ,4370.37 
2010-09-06,,3289.36 ,1522.81 ,4507.11 
2010-09-07,,3319.29 ,1535.89 ,4503.94 
2010-09-08,,3302.14 ,1534.44 ,4524.80 
