指标名称,场存量:煤炭:秦皇岛港,价格:螺纹钢:HRB400 20mm:郑州,成交金额:上海:螺纹钢:当月值,山西原煤产量:合计:当月值,陕西原煤产量:合计:当月值,河南原煤产量:合计:当月值,内蒙古原煤产量:合计:当月值,欧洲ARA港动力煤现货价,进口数量:动力煤:当月值,煤炭运价:秦皇岛港-上海/乍浦:4-5万吨,市场价(平均价):尿素(小颗粒):华中地区,市场价(平均价):尿素(小颗粒):华南地区,市场价(平均价):尿素(小颗粒):华东地区,市场价(平均价):尿素(小颗粒):华北地区,市场价(平均价):尿素(小颗粒):东北地区
2010-01-01,547.60 ,,,,,,,84.16 ,,,"1,780.00 ","1,750.00 ","1,783.33 ","1,750.00 ","1,830.00 "
2010-01-02,555.10 ,,,,,,,,,,"1,780.00 ","1,750.00 ","1,783.33 ","1,750.00 ","1,830.00 "
2010-01-03,572.00 ,,,,,,,,,,"1,780.00 ","1,750.00 ","1,774.44 ","1,750.00 ","1,830.00 "
2010-01-04,586.60 ,"3,900.00 ",,,,,,,,,"1,780.00 ","1,750.00 ","1,770.00 ","1,750.00 ","1,830.00 "
2010-01-05,608.00 ,"3,940.00 ",,,,,,,,,"1,780.00 ","1,750.00 ","1,769.33 ","1,750.00 ","1,830.00 "
2010-01-06,608.50 ,"3,960.00 ",,,,,,,,,"1,780.00 ","1,750.00 ","1,766.67 ","1,750.00 ","1,830.00 "
2010-01-07,605.00 ,"3,970.00 ",,,,,,,,,"1,780.00 ","1,750.00 ","1,766.67 ","1,750.00 ","1,830.00 "
2010-01-08,617.80 ,"3,950.00 ",,,,,,93.91 ,,,"1,780.00 ","1,750.00 ","1,766.67 ","1,750.00 ","1,830.00 "
2010-01-09,625.40 ,,,,,,,,,,"1,780.00 ","1,750.00 ","1,780.56 ","1,762.50 ","1,830.00 "
2010-01-10,631.40 ,,,,,,,,,,"1,780.00 ","1,750.00 ","1,772.00 ","1,765.00 ","1,830.00 "
2010-01-11,623.90 ,"3,950.00 ",,,,,,,,,"1,780.00 ","1,750.00 ","1,766.67 ","1,765.00 ","1,830.00 "
2010-01-12,626.60 ,"3,950.00 ",,,,,,,,,"1,780.00 ","1,750.00 ","1,734.67 ","1,733.00 ","1,830.00 "
2010-01-13,618.40 ,"3,950.00 ",,,,,,,,,"1,736.00 ","1,750.00 ","1,717.33 ","1,706.00 ","1,830.00 "
2010-01-14,610.60 ,"3,950.00 ",,,,,,,,,"1,650.00 ","1,750.00 ","1,693.33 ","1,650.00 ","1,830.00 "
2010-01-15,600.00 ,"3,950.00 ",,,,,,85.82 ,,,"1,650.00 ","1,750.00 ","1,665.00 ","1,625.00 ","1,732.50 "
2010-01-16,593.70 ,,,,,,,,,,"1,650.00 ","1,750.00 ","1,660.00 ","1,625.00 ","1,700.00 "
2010-01-17,589.00 ,,,,,,,,,,"1,650.00 ","1,750.00 ","1,658.00 ","1,625.00 ","1,700.00 "
2010-01-18,581.60 ,"3,930.00 ",,,,,,,,,"1,650.00 ","1,750.00 ","1,650.00 ","1,625.00 ","1,700.00 "
2010-01-19,623.10 ,"3,880.00 ",,,,,,,,,"1,650.00 ","1,750.00 ","1,650.00 ","1,625.00 ","1,700.00 "
2010-01-20,678.30 ,"3,880.00 ",,,,,,,,,"1,650.00 ","1,750.00 ","1,658.00 ","1,625.00 ","1,700.00 "
2010-01-21,694.00 ,"3,880.00 ",,,,,,,,,"1,650.00 ","1,750.00 ","1,658.67 ","1,620.00 ","1,680.00 "
2010-01-22,687.70 ,"3,880.00 ",,,,,,83.77 ,,,"1,650.00 ","1,750.00 ","1,653.33 ","1,600.00 ","1,600.00 "
2010-01-23,679.60 ,,,,,,,,,,"1,650.00 ","1,750.00 ","1,653.33 ","1,600.00 ","1,600.00 "
2010-01-24,679.40 ,,,,,,,,,,"1,616.67 ","1,750.00 ","1,621.11 ","1,576.67 ","1,595.00 "
2010-01-25,662.40 ,"3,860.00 ",,,,,,,,,"1,600.00 ","1,750.00 ","1,603.33 ","1,565.00 ","1,590.00 "
2010-01-26,650.00 ,"3,860.00 ",,,,,,,,,"1,600.00 ","1,750.00 ","1,592.67 ","1,559.00 ","1,594.00 "
2010-01-27,630.80 ,"3,860.00 ",,,,,,,,,"1,600.00 ","1,750.00 ","1,583.33 ","1,550.00 ","1,600.00 "
2010-01-28,620.10 ,"3,860.00 ",,,,,,,,,"1,600.00 ","1,750.00 ","1,583.33 ","1,550.00 ","1,600.00 "
