指标名称,"坑口价(含税):弱粘煤(A12-13%,V36-37%,0.8%S,Q6000):大同:左云","车板价:动力煤(A18%,V>30%,>1%S,Q5500):内蒙古:乌海","坑口价(含税):弱粘煤(A10-16%,V28-32%,0.8%S,Q5500):大同:大同南郊","坑口价:动力块煤(A15%,V33-35%,<1%S,Q6000):陕西:榆林","车板价:动力块煤(A14-16%,V30%,0.7%S,Q6000):山东:兖州","车板价:混煤(A22%,V25%,0.8%S,Q5000):山东:兖州","坑口价:褐煤(A25%,V<46%,<0.5%S,Q3500):内蒙古:霍林郭勒",秦皇岛港:平仓价:大同优混(Q5800K),秦皇岛港:平仓价:山西优混(Q5500K),秦皇岛港:平仓价:山西大混(Q5000K),欧洲ARA港动力煤现货价,理查德RB动力煤现货价,纽卡斯尔NEWC动力煤现货价,"坑口价(含税):2号焦煤(A20-23%,V20-26%,0.9%S,G>65):太原:古交","车板价(含税):2号焦煤(A10%,V16.5%,0.6%S,G73):太原:古交","坑口价(含税):4号焦煤(A15-18%,V19-21%,<0.6%S,G>75):吕梁:柳林","车板价:主焦煤(V25-27%,A<10%,S<0.5%,G>75,平顶山产):河南","出厂价:焦精煤(A10%,V25%,<1%S,G75,Y18mm):河北:开滦","出厂价:焦精煤(A10%,V18-23%,<0.8%S,G85,Y24mm):河北:邢台","车板价:1/3焦精煤(A7-10%,V36.2%,0.4%S,G86,Y19.5mm):河北:邢台","车板价(含税):瘦精煤(A11-12%,V13-18%,0.4%S,G45):长治:襄垣","坑口价(含税):无烟末煤(A15%,V6-7%,<0.5%S,Q6000):晋城","坑口价(含税):无烟小块(A14%,V7-8%,0.3%S,Q6500):晋城","坑口价(含税):无烟中块(A14%,V6%,0.5%S,Q6800):晋城","坑口价(含税):末煤(A14-16%,V7-9%,<1%S,Q6200):阳泉","车板价:无烟中块:(A11%,V8-10%,<0.4%S,Q7000):河南:永城","车板价:无烟末煤:(A20%,V6-10%,<1%S,Q5500):河南:永城","车板价:无烟精煤:(A11%,V8-10%,<0.4%S,Q7000):河南:永城",煤炭库存:广州港集团,煤炭库存:秦皇岛港
2010/1/1,,,,,,,,,,,84.16 ,80.60 ,84.75 ,,,,1300.00 ,,,,,,,,,,,,2520405.00 ,
2010/1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445690.00 ,534.30 
2010/1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449303.00 ,
2010/1/4,525.00 ,395.00 ,515.00 ,410.00 ,800.00 ,700.00 ,175.00 ,825.00 ,785.00 ,680.00 ,,,,880.00 ,1310.00 ,850.00 ,1330.00 ,1200.00 ,1250.00 ,1120.00 ,950.00 ,600.00 ,760.00 ,820.00 ,610.00 ,1060.00 ,630.00 ,900.00 ,2460113.00 ,
2010/1/5,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2537643.00 ,
2010/1/6,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2489616.00 ,
2010/1/7,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2427310.00 ,
2010/1/8,,,,,,,,,,,93.91 ,90.51 ,95.61 ,,,,1350.00 ,,,,,,,,,,,,2597613.00 ,
2010/1/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2586291.00 ,583.80 
2010/1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2599038.00 ,
2010/1/11,535.00 ,410.00 ,520.00 ,410.00 ,800.00 ,700.00 ,175.00 ,845.00 ,805.00 ,710.00 ,,,,880.00 ,1350.00 ,850.00 ,1350.00 ,1300.00 ,1250.00 ,1120.00 ,950.00 ,610.00 ,800.00 ,870.00 ,610.00 ,1060.00 ,630.00 ,900.00 ,2620655.00 ,
2010/1/12,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2562359.00 ,
2010/1/13,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2495598.00 ,
2010/1/14,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2431815.00 ,
2010/1/15,,,,,,,,,,,85.82 ,87.37 ,97.87 ,,,,1350.00 ,,,,,,,,,,,,2470194.00 ,
2010/1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463444.00 ,584.30 
2010/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446221.00 ,
2010/1/18,535.00 ,410.00 ,520.00 ,410.00 ,800.00 ,700.00 ,175.00 ,845.00 ,805.00 ,710.00 ,,,,880.00 ,1350.00 ,850.00 ,1350.00 ,1300.00 ,1250.00 ,1120.00 ,950.00 ,610.00 ,800.00 ,870.00 ,620.00 ,1065.00 ,630.00 ,900.00 ,2492198.00 ,
2010/1/19,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2445459.00 ,
2010/1/20,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2439052.00 ,
2010/1/21,,,,,,,,,,,,,,,,,1350.00 ,,,,,,,,,,,,2376614.00 ,
2010/1/22,,,,,,,,,,,83.77 ,87.39 ,99.26 ,,,,1370.00 ,,,,,,,,,,,,2245000.00 ,
2010/1/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251905.00 ,591.90 
2010/1/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178357.00 ,
2010/1/25,540.00 ,410.00 ,525.00 ,410.00 ,810.00 ,700.00 ,180.00 ,845.00 ,805.00 ,710.00 ,,,,880.00 ,1350.00 ,850.00 ,1380.00 ,1300.00 ,1300.00 ,1120.00 ,980.00 ,610.00 ,800.00 ,870.00 ,620.00 ,1080.00 ,640.00 ,920.00 ,2108206.00 ,
2010/1/26,,,,,,,,,,,,,,,,,1430.00 ,,,,,,,,,,,,2057180.00 ,
2010/1/27,,,,,,,,,,,,,,,,,1520.00 ,,,,,,,,,,,,2061725.00 ,
2010/1/28,,,,,,,,,,,,,,,,,1520.00 ,,,,,,,,,,,,1983300.00 ,
2010/1/29,,,,,,,,,,,82.28 ,84.24 ,98.53 ,,,,1520.00 ,,,,,,,,,,,,1891161.00 ,
2010/1/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901999.00 ,595.40 
2010/1/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977003.00 ,
2010/2/1,540.00 ,410.00 ,525.00 ,410.00 ,810.00 ,700.00 ,180.00 ,845.00 ,795.00 ,705.00 ,,,,890.00 ,1370.00 ,860.00 ,1540.00 ,1300.00 ,1300.00 ,1120.00 ,980.00 ,610.00 ,821.00 ,890.00 ,620.00 ,1080.00 ,640.00 ,920.00 ,1851239.00 ,
2010/2/2,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,1891533.00 ,
2010/2/3,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,1958741.00 ,
2010/2/4,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2042138.00 ,
2010/2/5,,,,,,,,,,,78.21 ,84.72 ,91.83 ,,,,1540.00 ,,,,,,,,,,,,2008719.00 ,
2010/2/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008485.00 ,559.20 
2010/2/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997895.00 ,
2010/2/8,540.00 ,410.00 ,525.00 ,410.00 ,810.00 ,700.00 ,180.00 ,805.00 ,765.00 ,665.00 ,,,,890.00 ,1370.00 ,860.00 ,1540.00 ,1300.00 ,1300.00 ,1120.00 ,980.00 ,610.00 ,820.00 ,890.00 ,620.00 ,1130.00 ,640.00 ,950.00 ,1905439.00 ,
2010/2/9,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2010809.00 ,
2010/2/10,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2010910.00 ,
2010/2/11,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2007996.00 ,
2010/2/12,,,,,,,,,,,73.41 ,81.38 ,90.75 ,,,,1540.00 ,,,,,,,,,,,,1977307.00 ,
2010/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039687.00 ,596.46 
2010/2/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147660.00 ,
2010/2/15,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2239410.00 ,
2010/2/16,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2293531.00 ,
2010/2/17,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2294594.00 ,
2010/2/18,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2345502.00 ,
2010/2/19,,,,,,,,,,,75.24 ,81.46 ,93.98 ,,,,1540.00 ,,,,,,,,,,,,2306819.00 ,
2010/2/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256817.00 ,692.50 
2010/2/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427526.00 ,
2010/2/22,540.00 ,410.00 ,535.00 ,410.00 ,810.00 ,700.00 ,180.00 ,765.00 ,725.00 ,625.00 ,,,,890.00 ,1370.00 ,860.00 ,1540.00 ,1300.00 ,1300.00 ,1120.00 ,980.00 ,610.00 ,820.00 ,890.00 ,620.00 ,1130.00 ,640.00 ,950.00 ,2493205.00 ,
2010/2/23,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2449910.00 ,
2010/2/24,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2458900.00 ,
2010/2/25,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2538438.00 ,
2010/2/26,,,,,,,,,,,75.94 ,83.94 ,96.43 ,,,,1540.00 ,,,,,,,,,,,,2464127.00 ,
2010/2/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949069.00 ,782.70 
2010/2/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625622.00 ,
2010/3/1,535.00 ,410.00 ,525.00 ,410.00 ,810.00 ,665.00 ,180.00 ,745.00 ,705.00 ,605.00 ,,,,890.00 ,1440.00 ,940.00 ,1540.00 ,1400.00 ,1400.00 ,1250.00 ,980.00 ,610.00 ,820.00 ,890.00 ,620.00 ,1130.00 ,640.00 ,950.00 ,2572213.00 ,
2010/3/2,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2540844.00 ,
2010/3/3,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2566674.00 ,
2010/3/4,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2545792.00 ,
2010/3/5,,,,,,,,,,,74.60 ,84.19 ,94.83 ,,,,1540.00 ,,,,,,,,,,,,2667477.00 ,
2010/3/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656640.00 ,810.60 
2010/3/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693705.00 ,
2010/3/8,530.00 ,400.00 ,515.00 ,410.00 ,810.00 ,665.00 ,180.00 ,735.00 ,685.00 ,577.50 ,,,,890.00 ,1440.00 ,940.00 ,1540.00 ,1400.00 ,1400.00 ,1300.00 ,980.00 ,610.00 ,850.00 ,920.00 ,600.00 ,1150.00 ,673.00 ,980.00 ,2664808.00 ,
2010/3/9,,,,,,,,,,,,,,,,,1540.00 ,,,,,,,,,,,,2719800.00 ,
