指标名称,产量:原煤:累计值,产量:焦炭:累计值,产量:水泥专用设备:累计值
2010-01-04,,,
2010-01-11,,,
2010-01-18,,,
2010-01-25,,,
2010-01-31,25610.07 ,3031.07 ,61637.94 
2010-02-01,,,
2010-02-08,,,
2010-02-22,,,
2010-02-28,46907.90 ,5891.20 ,135309.00 
2010-03-01,,,
2010-03-08,,,
2010-03-15,,,
2010-03-22,,,
2010-03-29,,,
2010-03-31,75143.40 ,9245.90 ,341000.30 
2010-04-05,,,
2010-04-12,,,
2010-04-19,,,
2010-04-26,,,
2010-04-30,102072.32 ,12555.40 ,449728.50 
2010-05-03,,,
2010-05-10,,,
2010-05-17,,,
2010-05-24,,,
2010-05-31,130458.75 ,15921.10 ,554622.60 
2010-06-07,,,
2010-06-14,,,
2010-06-21,,,
2010-06-28,,,
2010-06-30,157714.03 ,19287.00 ,661263.10 
2010-07-05,,,
2010-07-12,,,
2010-07-19,,,
2010-07-26,,,
2010-07-31,186904.59 ,22439.30 ,754357.80 
2010-08-02,,,
2010-08-09,,,
2010-08-16,,,
2010-08-23,,,
2010-08-30,,,
2010-08-31,217042.94 ,25634.40 ,836727.30 
2010-09-06,,,
2010-09-13,,,
2010-09-20,,,
2010-09-27,,,
2010-09-30,244644.47 ,28840.70 ,916095.00 
2010-10-11,,,
2010-10-18,,,
2010-10-25,,,
2010-10-31,274710.11 ,32027.70 ,1004703.80 
2010-11-01,,,
2010-11-08,,,
2010-11-15,,,
2010-11-22,,,
2010-11-29,,,
2010-11-30,308467.69 ,35322.20 ,1078441.80 
2010-12-06,,,
2010-12-13,,,
2010-12-20,,,
2010-12-27,,,
2010-12-31,323500.00 ,38757.10 ,1160814.30 
2011-01-03,,,
2011-01-10,,,
2011-01-17,,,
2011-01-24,,,
2011-01-31,26826.30 ,3326.98 ,48396.02 
2011-02-14,,,
2011-02-21,,,
2011-02-28,51575.70 ,6549.50 ,101103.00 
2011-03-07,,,
2011-03-14,,,
2011-03-21,,,
2011-03-28,,,
2011-03-31,81981.69 ,10069.20 ,189870.20 
2011-04-04,,,
2011-04-11,,,
2011-04-18,,,
2011-04-25,,,
2011-04-30,113789.85 ,13565.00 ,249918.10 
2011-05-02,,,
2011-05-09,,,
2011-05-16,,,
2011-05-23,,,
2011-05-30,,,
2011-05-31,146520.07 ,17248.20 ,313440.60 
2011-06-06,,,
2011-06-13,,,
2011-06-20,,,
2011-06-27,,,
2011-06-30,180540.15 ,21037.50 ,411961.00 
2011-07-04,,,
2011-07-11,,,
2011-07-18,,,
2011-07-25,,,
2011-07-31,213322.67 ,24756.40 ,482745.90 
2011-08-01,,,
2011-08-08,,,
2011-08-15,,,
2011-08-22,,,
2011-08-29,,,
2011-08-31,246063.15 ,28522.00 ,565037.10 
2011-09-05,,,
2011-09-12,,,
2011-09-19,,,
2011-09-26,,,
2011-09-30,278783.00 ,32231.80 ,626897.00 
2011-10-03,,,
2011-10-10,,,
2011-10-17,,,
2011-10-24,,,
2011-10-31,311325.00 ,35802.60 ,699275.20 
2011-11-07,,,
2011-11-14,,,
2011-11-21,,,
2011-11-28,,,
2011-11-30,346244.00 ,39256.00 ,784107.90 
2011-12-05,,,
2011-12-12,,,
2011-12-19,,,
2011-12-26,,,
2011-12-31,352000.00 ,42778.90 ,853466.70 
2012-01-02,,,
2012-01-09,,,
2012-01-16,,,
2012-01-23,,,
2012-01-30,,,
2012-01-31,25600.00 ,3463.02 ,83928.64 
2012-02-06,,,
2012-02-13,,,
2012-02-20,,,
2012-02-27,,,
2012-02-29,53972.00 ,6893.20 ,165996.00 
2012-03-05,,,
2012-03-12,,,
2012-03-19,,,
2012-03-26,,,
2012-03-31,83800.00 ,10777.20 ,281492.10 
2012-04-05,,,
2012-04-09,,,
2012-04-16,,,
2012-04-23,,,
2012-04-30,117600.00 ,14454.90 ,296385.00 
2012-05-02,,,
2012-05-07,,,
2012-05-14,,,
2012-05-21,,,
2012-05-28,,,
2012-05-31,151260.00 ,18328.30 ,361746.50 
2012-06-04,,,
2012-06-11,,,
2012-06-18,,,
2012-06-25,,,
2012-06-30,186230.00 ,22422.30 ,423280.90 
2012-07-02,,,
2012-07-07,,,
2012-07-14,,,
2012-07-21,,,
2012-07-28,,,
2012-07-31,221100.00 ,26153.10 ,478359.20 
2012-08-03,,,
2012-08-10,,,
2012-08-17,,,
2012-08-24,,,
2012-08-31,252368.00 ,29753.70 ,534762.00 
2012-09-07,,,
2012-09-14,,,
2012-09-21,,,
2012-09-28,,,
2012-09-30,280586.00 ,33242.50 ,602157.30 
2012-10-12,,,
2012-10-19,,,
2012-10-26,,,
2012-10-31,309586.00 ,36928.50 ,669837.80 
2012-11-02,,,
2012-11-09,,,
2012-11-16,,,
2012-11-23,,,
2012-11-30,365933.00 ,40736.40 ,751054.60 
2012-12-07,,,
2012-12-14,,,
2012-12-21,,,
2012-12-28,,,
2012-12-31,365000.00 ,44323.20 ,836151.90 
2013-01-04,,,
2013-01-11,,,
2013-01-18,,,
2013-01-25,,,
2013-01-31,31000.00 ,3711.60 ,
2013-02-01,,,
2013-02-08,,,
2013-02-22,,,
2013-02-28,53000.00 ,7360.70 ,135329.28 
2013-03-01,,,
2013-03-08,,,
2013-03-15,,,
2013-03-22,,,
2013-03-29,,,
2013-03-31,85826.00 ,11488.90 ,227660.90 
2013-04-07,,,
2013-04-12,,,
2013-04-19,,,
2013-04-26,,,
2013-04-30,119130.00 ,15398.10 ,317314.80 
2013-05-03,,,
2013-05-10,,,
2013-05-17,,,
2013-05-24,,,
2013-05-31,152200.00 ,19539.40 ,406863.81 
2013-06-07,,,
2013-06-14,,,
2013-06-21,,,
2013-06-28,,,
2013-06-30,184910.00 ,23658.53 ,492174.78 
2013-07-05,,,
2013-07-12,,,
2013-07-19,,,
2013-07-26,,,
2013-07-31,213300.00 ,27560.36 ,562354.82 
2013-08-02,,,
2013-08-09,,,
2013-08-16,,,
2013-08-23,,,
2013-08-30,,,
2013-08-31,243868.00 ,31595.00 ,636555.95 
2013-09-06,,,
2013-09-13,,,
2013-09-20,,,
2013-09-27,,,
2013-09-30,276586.00 ,35626.56 ,708129.34 
2013-10-11,,,
2013-10-18,,,
2013-10-25,,,
2013-10-31,308586.00 ,39655.38 ,778075.18 
2013-11-01,,,
2013-11-08,,,
2013-11-15,,,
2013-11-22,,,
2013-11-29,,,
2013-11-30,341568.00 ,43595.13 ,855207.77 
2013-12-06,,,
2013-12-13,,,
2013-12-20,,,
2013-12-27,,,
2013-12-31,368000.00 ,47635.51 ,928799.38 
2014-01-03,,,
2014-01-10,,,
2014-01-17,,,
2014-01-24,,,
2014-01-31,29000.00 ,3772.49 ,
2014-02-07,,,
