,time,actual,pred
1,2010 Q2,569492527.5,572098123
2,2010 Q3,560203273.3,527399110.6
3,2010 Q4,564144306.3,625518761.8
4,2011 Q1,645907565.5,638917004.1
5,2011 Q2,710328642.8,727782719.4
6,2011 Q3,653419648.3,716658024.2
7,2011 Q4,525823850.3,533910121.8
8,2012 Q1,590596958.1,481341838.7
9,2012 Q2,622902362.3,471394423.1
10,2012 Q3,365505589.4,352423701.9
11,2012 Q4,364963991.3,375805054.9
12,2013 Q1,342014882,410997087.4
13,2013 Q2,299139970.6,327036919.2
14,2013 Q3,277973805.7,356547566.3
15,2013 Q4,278649195.8,320455073
16,2014 Q1,231352547.4,239239984
17,2014 Q2,215573550,230012038.5
18,2014 Q3,121390906.4,178205060.5
19,2014 Q4,70037469.33,160942335
20,2015 Q1,12165342.41,-28599396.96
21,2015 Q2,-2092941.441,-51822995.84
22,2015 Q3,-55454866.3,-119240404.2
23,2015 Q4,-337645302.1,-211464248.9
24,2016 Q1,-3911580.493,-70277252.4
25,2016 Q2,86431264.87,96969828.8
26,2016 Q3,152847608.6,94566022.68
27,2016 Q4,244153487.2,268935452.6
28,2017 Q1,589344192.3,469506294.6
,,,491842449
