"","time","actual","pred"
"1",2011 Q3,6591248614.83048,7092619945.52949
"2",2012 Q1,7068803173.84807,6205214627.42511
"3",2012 Q2,8050394065.04057,8364340150.9054
"4",2012 Q3,7755135276.48768,7393808250.59078
"5",2012 Q4,8719788055.297,9181315283.25978
"6",2013 Q1,7469999407.67993,7469727853.79506
"7",2013 Q2,8323748947.57985,8861957508.61026
"8",2013 Q3,8549806831.43727,9432289187.27258
"9",2013 Q4,10867093562.0621,9983014026.88105
"10",2014 Q1,8190563110.77488,8314915751.89296
"11",2014 Q2,9558751121.14908,9560237885.91495
"12",2014 Q3,9122603149.3072,9049429862.16201
"13",2014 Q4,9285237099.85339,9124995255.57443
"14",2015 Q1,6706347744.95625,7337993608.33061
"15",2015 Q2,7964517230.64483,8762071824.23635
"16",2015 Q3,7892247028.49284,8273447989.62701
"17",2015 Q4,8719805748.92524,8257219350.89206
"18",2016 Q1,6314609813.2228,8250484489.84621
"19",2016 Q2,8210100984.44247,7974366914.59569
"20",2016 Q3,8698165240.87104,8167563201.94759
"21",2016 Q4,9863738678.57304,8714142220.81697
"22",2017 Q1,10653940288.9413,8805489984.31093
