"","time","actual","pred"
"1",2011 Q1,811525213.403234,622408177.117864
"2",2011 Q2,991624167.764336,1103955616.0358
"3",2011 Q3,847116397.512938,947911702.822628
"4",2011 Q4,1049162023.70316,1107729439.48423
"5",2012 Q1,593823966.251745,593905763.460784
"6",2012 Q2,566682051.923698,501435849.12308
"7",2012 Q3,592249213.588346,663504138.609921
"8",2012 Q4,721107206.553214,667208712.64909
"9",2013 Q1,412988510.069718,325394822.994537
"10",2013 Q2,409488813.175995,507196377.906946
"11",2013 Q3,412121534.449401,601240570.500176
"12",2013 Q4,898824158.31374,811940389.039736
"13",2014 Q1,143759929.987472,281770000.88104
"14",2014 Q2,600318258.844451,445125892.263718
"15",2014 Q3,500423850.69334,480123428.323879
"16",2014 Q4,1052944649.90261,900783881.160572
"17",2015 Q1,-7796556.82884028,43672739.865213
"18",2015 Q2,729666874.1344,421267414.730596
"19",2015 Q3,157024802.940338,450862379.126807
"20",2015 Q4,924424876.040786,928908968.187756
"21",2016 Q1,274489759.546242,366510695.965171
"22",2016 Q2,1049645619.68011,1149534967.33283
"23",2016 Q3,1264734602.43608,1217944602.13365
"24",2016 Q4,1427350946.23941,1469315916.56964
"25",2017 Q1,1233445837.4214,1047494261.46167
