"","time","actual","pred"
"1",2011 Q3,7407282067.99696,7497903896.66216
"2",2012 Q1,7822183938.10518,7857864189.42453
"3",2012 Q2,8753297254.71815,8724540118.86941
"4",2012 Q3,8231330261.83549,8288190831.78406
"5",2012 Q4,9129871713.95589,9173908365.04984
"6",2013 Q1,7915949352.68438,7410402423.30068
"7",2013 Q2,8704440227.87643,9150999270.83919
"8",2013 Q3,9086535653.84913,9096775330.98689
"9",2013 Q4,10979646364.0155,10582846413.4649
"10",2014 Q1,8451438066.61135,9100787618.80965
"11",2014 Q2,9833244839.24769,9039543239.16348
"12",2014 Q3,9276958292.00558,8711915175.30124
"13",2014 Q4,9250340859.67013,9329377391.75737
"14",2015 Q1,6729327177.04536,6656524290.82495
"15",2015 Q2,7945607437.29698,7628734180.09904
"16",2015 Q3,7792686682.79693,7864734353.20824
"17",2015 Q4,8199573059.15191,8309147132.12977
"18",2016 Q1,6310686052.45723,7534294004.50597
"19",2016 Q2,8271377408.31506,7869683646.47385
"20",2016 Q3,8874916206.10793,8937061844.84998
"21",2016 Q4,10004234354.3583,10947696743.6794
"22",2017 Q1,11368633215.463,10626630024.3799
