指标名称,商品房销售面积:累计值,商品房销售额:累计值
1999-02-28,415.05 ,89.84 
1999-03-31,1025.73 ,207.80 
1999-04-30,1586.54 ,319.50 
1999-05-31,2146.09 ,440.83 
1999-06-30,2979.41 ,610.65 
1999-07-31,3633.96 ,745.03 
1999-08-31,4287.35 ,871.92 
1999-09-30,5102.30 ,1042.17 
1999-10-31,6061.59 ,1239.99 
1999-11-30,7062.39 ,1445.00 
1999-12-31,13380.58 ,2745.54 
2000-02-29,636.10 ,144.39 
2000-03-31,1391.55 ,295.97 
2000-04-30,2153.93 ,450.31 
2000-05-31,2958.13 ,623.65 
2000-06-30,4073.18 ,844.93 
2000-07-31,5014.83 ,1032.55 
2000-08-31,6006.88 ,1244.70 
2000-09-30,7088.73 ,1460.74 
2000-10-31,8248.80 ,1691.74 
2000-11-30,9553.27 ,1997.91 
2000-12-31,16984.16 ,3572.00 
2001-02-28,877.96 ,222.46 
2001-03-31,1828.72 ,440.65 
2001-04-30,2800.78 ,653.78 
2001-05-31,3795.05 ,898.84 
2001-06-30,5126.58 ,1181.16 
2001-07-31,6365.29 ,1453.88 
2001-08-31,7603.85 ,1721.13 
2001-09-30,8977.27 ,1998.27 
2001-10-31,10168.94 ,2259.39 
2001-11-30,11617.55 ,2578.17 
2001-12-31,20779.24 ,4625.72 
2002-02-28,923.75 ,222.86 
2002-03-31,2152.66 ,514.03 
2002-04-30,3395.57 ,785.21 
2002-05-31,4604.85 ,1053.15 
2002-06-30,6311.20 ,1451.32 
2002-07-31,7689.70 ,1779.98 
2002-08-31,9357.57 ,2167.22 
2002-09-30,11174.13 ,2642.73 
2002-10-31,13021.32 ,3064.15 
2002-11-30,15117.37 ,3542.35 
2002-12-31,24969.27 ,5721.24 
2003-02-28,1556.93 ,391.49 
2003-03-31,3155.07 ,791.77 
2003-04-30,4632.51 ,1147.43 
2003-05-31,6333.16 ,1549.95 
2003-06-30,8672.35 ,2101.77 
2003-07-31,10657.13 ,2574.92 
2003-08-31,12628.70 ,3058.14 
2003-09-30,15189.24 ,3736.43 
2003-10-31,17447.89 ,4309.46 
2003-11-30,19950.20 ,4898.86 
2003-12-31,32247.24 ,7670.90 
2004-02-29,2221.51 ,578.78 
2004-03-31,4271.16 ,1143.34 
2004-04-30,6200.70 ,1641.54 
2004-05-31,8310.09 ,2250.27 
2004-06-30,11009.88 ,2973.54 
2004-07-31,13426.58 ,3657.49 
2004-08-31,15595.97 ,4287.05 
2004-09-30,18201.77 ,5053.88 
2004-10-31,20681.63 ,5703.89 
2004-11-30,23725.51 ,6545.73 
2004-12-31,38231.64 ,10375.71 
2005-02-28,2596.45 ,807.37 
2005-03-31,5172.67 ,1559.33 
2005-04-30,7194.27 ,2141.72 
2005-05-31,9484.83 ,2796.38 
2005-06-30,12536.35 ,3727.28 
2005-07-31,16526.92 ,4938.28 
2005-08-31,31202.47 ,10027.37 
2005-09-30,34725.60 ,11313.30 
2005-10-31,39352.19 ,12925.89 
2005-11-30,43388.23 ,14430.14 
2005-12-31,55486.22 ,17576.13 
2006-02-28,5343.89 ,1881.93 
2006-03-31,9458.71 ,3192.70 
2006-04-30,13560.87 ,4615.35 
2006-05-31,18136.96 ,6270.04 
2006-06-30,22976.62 ,7957.48 
2006-07-31,27307.98 ,9440.08 
2006-08-31,31384.59 ,10870.72 
2006-09-30,35883.37 ,12415.34 
2006-10-31,40780.67 ,14053.17 
2006-11-30,46113.93 ,16141.36 
2006-12-31,61857.07 ,20825.96 
2007-02-28,5371.47 ,2247.90 
2007-03-31,10600.77 ,4050.75 
2007-04-30,15765.16 ,5997.32 
2007-05-31,21148.00 ,8059.75 
2007-06-30,27904.15 ,10642.83 
2007-07-31,34137.24 ,13142.44 
2007-08-31,40572.81 ,15820.34 
2007-09-30,47369.71 ,18684.77 
2007-10-31,53564.96 ,21286.95 
2007-11-30,60156.89 ,24002.64 
2007-12-31,77354.72 ,29889.12 
2008-02-29,5144.15 ,2154.75 
2008-03-31,10449.56 ,4110.53 
2008-04-30,14994.15 ,5904.79 
2008-05-31,19633.40 ,7837.24 
2008-06-30,25892.63 ,10325.43 
2008-07-31,30453.96 ,12221.17 
2008-08-31,34592.28 ,13813.44 
2008-09-30,40320.76 ,15878.53 
2008-10-31,44722.96 ,17590.03 
2008-11-30,49148.38 ,19261.19 
2008-12-31,65969.83 ,25068.18 
2009-02-28,5131.23 ,2396.98 
2009-03-31,11308.74 ,5058.64 
2009-04-30,17625.45 ,7995.92 
2009-05-31,24644.44 ,11388.92 
2009-06-30,34108.59 ,15799.57 
2009-07-31,41754.98 ,19599.59 
2009-08-31,49416.04 ,23463.74 
2009-09-30,58371.02 ,27531.89 
2009-10-31,66368.73 ,31529.12 
2009-11-30,75203.15 ,35987.12 
