指标名称,房地产开发投资完成额:累计值,房屋施工面积:累计值,产量:平板玻璃:当月值,产量:汽车:国内制造:当月值,产量:太阳能:当月值,出厂价(含税):多晶硅片(A片):国内主流厂商平均,产量:平板玻璃:当月值
2010-01-31,,,5096.51 ,1590348.00 ,,,5096.51 
2010-02-28,3143.64 ,209687.37 ,4814.20 ,1184335.00 ,,,4814.20 
2010-03-31,6594.45 ,242202.68 ,5390.10 ,1708004.00 ,,,5390.10 
2010-04-30,9932.05 ,264631.14 ,5188.50 ,1539617.00 ,,,5188.50 
2010-05-31,13917.41 ,285085.24 ,5389.50 ,1394462.00 ,,,5389.50 
2010-06-30,19747.12 ,308427.72 ,5502.20 ,1365979.00 ,,,5502.20 
2010-07-31,23864.77 ,324259.39 ,5098.70 ,1259116.00 ,,,5098.70 
2010-08-01,,,,,,26.68 ,
2010-08-02,,,,,,26.68 ,
2010-08-03,,,,,,26.68 ,
2010-08-04,,,,,,26.68 ,
2010-08-05,,,,,,26.68 ,
2010-08-06,,,,,,26.68 ,
2010-08-07,,,,,,26.68 ,
2010-08-08,,,,,,26.68 ,
2010-08-09,,,,,,26.68 ,
2010-08-10,,,,,,26.68 ,
2010-08-11,,,,,,26.68 ,
2010-08-12,,,,,,26.68 ,
2010-08-13,,,,,,26.68 ,
2010-08-14,,,,,,26.68 ,
2010-08-15,,,,,,26.68 ,
2010-08-16,,,,,,26.68 ,
2010-08-17,,,,,,26.68 ,
2010-08-18,,,,,,26.68 ,
2010-08-19,,,,,,26.68 ,
2010-08-20,,,,,,26.68 ,
2010-08-21,,,,,,26.68 ,
2010-08-22,,,,,,26.68 ,
2010-08-23,,,,,,26.68 ,
2010-08-24,,,,,,26.68 ,
2010-08-25,,,,,,26.68 ,
2010-08-26,,,,,,26.68 ,
2010-08-27,,,,,,26.68 ,
2010-08-28,,,,,,26.68 ,
2010-08-29,,,,,,26.68 ,
2010-08-30,,,,,,26.68 ,
2010-08-31,28355.05 ,339180.73 ,5081.20 ,1251375.00 ,,26.68 ,5081.20 
2010-09-01,,,,,,26.68 ,
2010-09-02,,,,,,27.30 ,
2010-09-03,,,,,,27.38 ,
2010-09-04,,,,,,27.38 ,
2010-09-05,,,,,,27.50 ,
2010-09-06,,,,,,27.83 ,
2010-09-07,,,,,,28.00 ,
2010-09-08,,,,,,28.00 ,
2010-09-09,,,,,,28.00 ,
2010-09-10,,,,,,28.17 ,
2010-09-11,,,,,,28.25 ,
2010-09-12,,,,,,28.25 ,
2010-09-13,,,,,,28.25 ,
2010-09-14,,,,,,28.25 ,
2010-09-15,,,,,,28.67 ,
2010-09-16,,,,,,28.67 ,
2010-09-17,,,,,,28.92 ,
2010-09-18,,,,,,28.92 ,
2010-09-19,,,,,,28.92 ,
2010-09-20,,,,,,29.08 ,
2010-09-21,,,,,,29.08 ,
2010-09-22,,,,,,29.08 ,
2010-09-23,,,,,,29.08 ,
2010-09-24,,,,,,29.08 ,
2010-09-25,,,,,,29.08 ,
2010-09-26,,,,,,29.08 ,
2010-09-27,,,,,,29.08 ,
2010-09-28,,,,,,29.08 ,
2010-09-29,,,,,,29.08 ,
2010-09-30,33511.25 ,355402.20 ,5430.40 ,1566447.00 ,,29.08 ,5430.40 
2010-10-01,,,,,,29.00 ,
2010-10-02,,,,,,29.00 ,
2010-10-03,,,,,,28.75 ,
2010-10-04,,,,,,28.75 ,
2010-10-05,,,,,,28.75 ,
2010-10-06,,,,,,28.75 ,
2010-10-07,,,,,,28.75 ,
