时间,产量:平板玻璃:当月值,HS:出口金额:当月值:70章 玻璃及其制品,HS:进口金额:当月值:70章 玻璃及其制品,现货平均价(平方米):浮法玻璃:5mm:上海,现货平均价(平方米):浮法玻璃:5mm:武汉,现货平均价(平方米):浮法玻璃:5mm:济南,期货结算价(活跃合约):燃料油,现货价:天然气(俄罗斯产):德国港口,期货收盘价(连续):NYMEX天然气,期货结算价(活跃合约):IPE英国天然气,市场价(低端价):轻质纯碱:华中地区,市场价(低端价):轻质纯碱:华南地区,市场价(低端价):轻质纯碱:华东地区,市场价(低端价):轻质纯碱:华北地区,出厂价(含税):高纯石英砂:国内主流厂商平均,泰国:PPI:按生产过程:白云石,申万行业指数:环保设备,房屋竣工面积:累计值,商品房销售额:累计值,商品房销售面积:现房:累计值,产量:汽车:当月值,日本:产量:丰田:汽车:当月值,韩国:产量:汽车:当月值,浮法玻璃:生产线总数,浮法玻璃:生产线条数:冷修,浮法玻璃:产销率:累计值,浮法玻璃:库存:期末值,浮法玻璃:日熔量:点火
2010-01-04,,,,27.53 ,25.12 ,22.28 ,4553.00 ,,5.88 ,46.63 ,,,,,,,9375.42 ,,,,,,,,,,,
2010-01-05,,,,27.50 ,24.92 ,22.34 ,4646.00 ,,5.64 ,47.00 ,,,,,,,9506.57 ,,,,,,,,,,,
2010-01-06,,,,27.43 ,24.86 ,22.42 ,4721.00 ,,6.01 ,46.40 ,,,,,,,9437.72 ,,,,,,,,,,,
2010-01-07,,,,27.50 ,24.94 ,22.44 ,4657.00 ,,5.81 ,46.53 ,,,,,,,9102.79 ,,,,,,,,,,,
2010-01-08,,,,27.43 ,25.00 ,22.52 ,4576.00 ,,5.75 ,44.87 ,,,,,,,9140.66 ,,,,,,,,,,,
2010-01-11,,,,27.37 ,25.02 ,22.62 ,4697.00 ,,5.45 ,44.31 ,,,,,,,9262.85 ,,,,,,,214.00 ,10.00 ,,,3250.00 
2010-01-12,,,,27.37 ,24.82 ,22.66 ,4654.00 ,,5.59 ,43.56 ,,,,,,,9501.36 ,,,,,,,,,,,
2010-01-13,,,,27.30 ,24.90 ,22.44 ,4571.00 ,,5.73 ,42.48 ,,,,,,,9375.53 ,,,,,,,,,,,
2010-01-14,,,,27.23 ,24.90 ,22.48 ,4635.00 ,,5.59 ,42.49 ,,,,,,,9817.26 ,,,,,,,,,,,
2010-01-15,,,,27.50 ,24.84 ,22.48 ,4584.00 ,,5.69 ,42.42 ,,,,,,,9721.30 ,,,,,,,,,,,
2010-01-18,,,,27.33 ,24.88 ,22.22 ,4571.00 ,,,35.26 ,,,,,,,9955.99 ,,,,,,,,,,,
2010-01-19,,,,27.27 ,24.74 ,22.24 ,4602.00 ,,5.56 ,35.99 ,,,,,,,9836.04 ,,,,,,,214.00 ,10.00 ,,,2150.00 
2010-01-20,,,,27.10 ,24.74 ,22.16 ,4605.00 ,,5.50 ,43.31 ,,,,,,,9460.44 ,,,,,,,,,,,
2010-01-21,,,,27.20 ,24.86 ,22.14 ,4602.00 ,,5.62 ,42.46 ,,,,,,,9427.22 ,,,,,,,,,,,
2010-01-22,,,,27.03 ,24.80 ,22.14 ,4577.00 ,,5.82 ,42.03 ,,,,,,,9124.33 ,,,,,,,,,,,
2010-01-25,,,,27.00 ,24.82 ,22.14 ,4566.00 ,,5.72 ,43.00 ,,,,,,,9061.49 ,,,,,,,,,,,
2010-01-26,,,,26.93 ,24.72 ,22.26 ,4547.00 ,,5.49 ,44.02 ,,,,,,,8917.68 ,,,,,,,,,,,
2010-01-27,,,,26.97 ,24.86 ,22.26 ,4522.00 ,,5.27 ,43.42 ,,,,,,,8597.11 ,,,,,,,,,,,
2010-01-28,,,,27.17 ,24.78 ,22.16 ,4513.00 ,,5.14 ,42.60 ,,,,,,,8849.91 ,,,,,,,,,,,
2010-01-29,,,,26.77 ,24.64 ,22.30 ,4520.00 ,,5.13 ,42.33 ,,,,,,,8799.22 ,,,,,,,,,,,
2010-01-30,,,,26.50 ,24.70 ,22.30 ,,,,,,,,,,,,,,,,,,214.00 ,10.00 ,,,1550.00 
2010-01-31,5096.51 ,714565.00 ,275917.00 ,,,,,7.59 ,,,,,,,,100.00 ,,,,,162.49 ,268888.00 ,312847.00 ,,,85.30 ,2165.00 ,
2010-02-01,,,,26.47 ,24.68 ,22.38 ,4418.00 ,,5.43 ,41.97 ,,,,,,,8566.49 ,,,,,,,,,,,
2010-02-02,,,,26.73 ,24.60 ,22.38 ,4441.00 ,,5.45 ,42.77 ,,,,,,,8474.79 ,,,,,,,,,,,
2010-02-03,,,,26.70 ,24.62 ,22.32 ,4491.00 ,,5.42 ,43.01 ,,,,,,,8598.66 ,,,,,,,,,,,
2010-02-04,,,,26.43 ,24.64 ,22.36 ,4461.00 ,,5.42 ,43.03 ,,,,,,,8607.85 ,,,,,,,,,,,
2010-02-05,,,,26.57 ,24.62 ,22.32 ,4328.00 ,,5.52 ,42.48 ,,,,,,,8683.03 ,,,,,,,,,,,
2010-02-08,,,,26.50 ,24.54 ,22.32 ,4338.00 ,,5.40 ,42.01 ,,,,,,,8626.63 ,,,,,,,,,,,
2010-02-09,,,,26.63 ,24.60 ,22.30 ,4327.00 ,,5.29 ,41.70 ,,,,,,,9201.29 ,,,,,,,,,,,
2010-02-10,,,,26.63 ,24.46 ,22.50 ,4353.00 ,,5.29 ,41.45 ,,,,,,,9166.12 ,,,,,,,214.00 ,10.00 ,,,1550.00 
2010-02-11,,,,26.57 ,24.44 ,22.50 ,4375.00 ,,5.40 ,41.42 ,,,,,,,9246.52 ,,,,,,,,,,,
2010-02-12,,,,26.73 ,24.42 ,22.50 ,4410.00 ,,5.47 ,41.00 ,,,,,,,9269.92 ,,,,,,,,,,,
2010-02-15,,,,26.63 ,24.42 ,22.52 ,,,,39.92 ,,,,,,,,,,,,,,,,,,
2010-02-16,,,,26.73 ,24.50 ,22.72 ,,,5.31 ,40.53 ,,,,,,,,,,,,,,,,,,
2010-02-17,,,,26.73 ,24.38 ,22.72 ,,,5.39 ,39.48 ,,,,,,,,,,,,,,,,,,
2010-02-18,,,,26.73 ,24.28 ,22.72 ,,,5.17 ,38.97 ,,,,,,,,,,,,,,,,,,
2010-02-19,,,,26.50 ,24.46 ,22.64 ,,,5.04 ,38.95 ,,,,,,,,,,,,,,,,,,
2010-02-21,,,,26.70 ,24.26 ,22.64 ,,,,,,,,,,,,,,,,,,214.00 ,10.00 ,,,
2010-02-22,,,,26.56 ,24.36 ,22.54 ,4531.00 ,,4.90 ,38.63 ,,,,,,,9240.30 ,,,,,,,,,,,
2010-02-23,,,,26.63 ,24.50 ,22.52 ,4516.00 ,,4.78 ,39.15 ,,,,,,,9476.83 ,,,,,,,,,,,
2010-02-24,,,,26.53 ,24.38 ,22.32 ,4504.00 ,,4.82 ,39.50 ,,,,,,,9593.25 ,,,,,,,,,,,
2010-02-25,,,,26.73 ,24.24 ,22.26 ,4524.00 ,,4.77 ,39.40 ,,,,,,,9879.55 ,,,,,,,,,,,
2010-02-26,,,,26.73 ,24.40 ,22.30 ,4500.00 ,,4.81 ,39.03 ,,,,,,,9846.93 ,,,,,,,,,,,
2010-02-27,,,,26.60 ,24.38 ,22.30 ,,,,,,,,,,,,,,,,,,216.00 ,10.00 ,,,1000.00 
2010-02-28,4814.20 ,610562.00 ,275013.00 ,,,,,7.59 ,,,,,,,,100.00 ,,6100.87 ,4115.74 ,1556.58 ,122.60 ,309933.00 ,279368.00 ,,,87.57 ,2355.00 ,
2010-03-01,,,,25.97 ,24.26 ,22.06 ,4534.00 ,,4.68 ,39.40 ,,,,,,,10044.78 ,,,,,,,,,,,
2010-03-02,,,,25.67 ,24.12 ,22.02 ,4512.00 ,,4.71 ,38.85 ,,,,,,,9929.30 ,,,,,,,,,,,
2010-03-03,,,,25.70 ,24.34 ,21.80 ,4520.00 ,,4.76 ,38.60 ,,,,,,,9991.46 ,,,,,,,,,,,
2010-03-04,,,,25.87 ,24.26 ,21.64 ,4550.00 ,,4.58 ,38.05 ,,,,,,,9456.48 ,,,,,,,,,,,
2010-03-05,,,,25.87 ,24.24 ,21.44 ,4539.00 ,,4.59 ,38.03 ,,,,,,,9323.39 ,,,,,,,,,,,
2010-03-08,,,,25.43 ,24.22 ,21.22 ,4570.00 ,,4.53 ,38.27 ,,,,,,,9415.21 ,,,,,,,,,,,
2010-03-09,,,,25.50 ,24.10 ,21.22 ,4562.00 ,,4.52 ,37.69 ,,,,,,,9372.46 ,,,,,,,,,,,
2010-03-10,,,,24.50 ,24.30 ,21.20 ,4564.00 ,,4.56 ,38.31 ,,,,,,,9164.45 ,,,,,,,216.00 ,10.00 ,,,1000.00 
2010-03-11,,,,23.83 ,23.74 ,21.20 ,4558.00 ,,4.44 ,38.18 ,,,,,,,9053.73 ,,,,,,,,,,,
2010-03-12,,,,23.17 ,23.60 ,21.18 ,4562.00 ,,4.40 ,38.17 ,,,,,,,9035.90 ,,,,,,,,,,,
2010-03-15,,,,23.03 ,23.78 ,21.22 ,4545.00 ,,4.39 ,38.79 ,,,,,,,9209.66 ,,,,,,,,,,,
2010-03-16,,,,23.60 ,23.68 ,21.22 ,4526.00 ,,4.35 ,38.10 ,,,,,,,9223.12 ,,,,,,,,,,,
2010-03-17,,,,22.80 ,24.02 ,21.26 ,4577.00 ,,4.30 ,37.41 ,,,,,,,9439.13 ,,,,,,,,,,,
2010-03-18,,,,22.90 ,23.84 ,21.30 ,4636.00 ,,4.09 ,36.55 ,,,,,,,9451.71 ,,,,,,,,,,,
2010-03-19,,,,21.67 ,22.82 ,21.30 ,4634.00 ,,4.17 ,36.58 ,,,,,,,9421.86 ,,,,,,,216.00 ,13.00 ,,,1000.00 
2010-03-22,,,,21.33 ,22.96 ,21.22 ,4604.00 ,,4.08 ,37.22 ,,,,,,,9457.97 ,,,,,,,,,,,
2010-03-23,,,,21.00 ,23.08 ,21.20 ,4616.00 ,,4.13 ,37.43 ,,,,,,,9220.10 ,,,,,,,,,,,
2010-03-24,,,,21.37 ,22.84 ,21.30 ,4627.00 ,,4.11 ,37.04 ,,,,,,,9209.34 ,,,,,,,,,,,
