指标名称,申万行业指数:纯碱,市场价(中间价):轻质纯碱:华中地区,市场价(中间价):轻质纯碱:华南地区,市场价(中间价):轻质纯碱:华东地区,市场价(中间价):轻质纯碱:华北地区
2010-01-04,2536.48 ,,,,
2010-01-05,2555.63 ,1250.00 ,1250.00 ,1250.00 ,1325.00 
2010-01-06,2574.43 ,1250.00 ,1240.00 ,1250.00 ,1320.00 
2010-01-07,2525.05 ,1260.00 ,1260.00 ,1250.00 ,1320.00 
2010-01-08,2500.64 ,1260.00 ,1270.00 ,1250.00 ,1330.00 
2010-01-11,2495.10 ,1270.00 ,1280.00 ,1250.00 ,1330.00 
2010-01-12,2555.93 ,1270.00 ,1300.00 ,1250.00 ,1330.00 
2010-01-13,2551.08 ,1270.00 ,1310.00 ,1250.00 ,1330.00 
2010-01-14,2603.07 ,1290.00 ,1310.00 ,1260.00 ,1330.00 
2010-01-15,2615.36 ,1300.00 ,1310.00 ,1260.00 ,1330.00 
2010-01-18,2633.91 ,1300.00 ,1310.00 ,1260.00 ,1330.00 
2010-01-19,2602.63 ,1300.00 ,1390.00 ,1270.00 ,1330.00 
2010-01-20,2459.49 ,1310.00 ,1400.00 ,1280.00 ,1340.00 
2010-01-21,2434.19 ,1310.00 ,1420.00 ,1290.00 ,1340.00 
2010-01-22,2359.57 ,1310.00 ,1430.00 ,1290.00 ,1340.00 
2010-01-25,2345.58 ,1310.00 ,1450.00 ,1300.00 ,1340.00 
2010-01-26,2242.03 ,1320.00 ,1460.00 ,1300.00 ,1330.00 
2010-01-27,2212.13 ,1320.00 ,1470.00 ,1300.00 ,1330.00 
2010-01-28,2234.40 ,1320.00 ,1470.00 ,1320.00 ,1330.00 
2010-01-29,2235.91 ,1320.00 ,1470.00 ,1360.00 ,1350.00 
2010-02-01,2156.10 ,1350.00 ,1470.00 ,1360.00 ,1350.00 
2010-02-02,2151.04 ,1370.00 ,1470.00 ,1390.00 ,1380.00 
2010-02-03,2197.66 ,1390.00 ,1560.00 ,1420.00 ,1380.00 
2010-02-04,2195.02 ,1400.00 ,1570.00 ,1440.00 ,1410.00 
